,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.392272509291729,0.0432175449999804,0.0703569469486044,0,0,0,0,0,0,0.20147594884911,0,0,0,0,0,0,0,0,0,0,0.0492703342241378,0.0627354884223308,-0.0219100694360047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00794759336465603,0,0,0,0.0177286409169544,0,0,0,0,0,0.0436697698635075,0.062421505857784,-0.0991649859745976
X601939.CH.EQUITY,0.311383655980138,0,0,0.203513333822269,0,0,0,0,-0.0517277782054028,0,0.132688186847079,0,0,0.0710561002078952,-0.0880292893206984,0,0,0,0,0,0,0,0.191773531188763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255736695708358,0,0,0,0.123751168567531,-2.16840434497101e-19,0,0
X601318.CH.EQUITY,0,0,0,-8.67361737988404e-19,0.289110181247179,0.0484112315083218,0,0,0,0,0,0.0412515632722478,0,0,0,0,0,0,0,0,0,0.17520713407149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964311897802177,0,0,0.0731367870784822,0,0.153922647322588,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.360919732962594,0,0,0,0.33286315610226,0,0,0,0,0,0.0231034934875233,0,0,0,0,0,0,0,8.67361737988404e-19,0.0744236099297654,0.0308650253265463,0,0,0,0,0,0,0,0,0,0,0,0.0438857254182907,0,0.0880191775095841,0,0,0,0,0.0418665980596498,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.500796118500726,0,0,0,0,0,0.23631290005824,0,0,0,0,0,0.225104731447463,0.0664323676521423,0,0,0,0.0441276065065403,0,0,0,0,0,0.0870824559004567,0,0,0,0,0,0,0,0,-0.583416956579557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.024477021989764,0,0,0,0,0,0,0,0,0,0.20796212999851,-0.0262547676347462,0,0,0,0.109736816979448,0,0,0,0,0.139002106110323,0,0,0,0,0,0,0,0,0,0.262415236232985,0,0,0,0,0,0,0,0,0.126450573528591,0,0.118018551469319,0.116424427563459,0,0,0,0,0,0,-0.0201357874499481,0
X1299.HK.EQUITY,0,0,0,0,0.0349802452155621,0,0,0,0,0,0,0,0,0.15735569112683,0,0,0.050268935740756,0.502673124842111,0,0,0,0,0,0.135508302379974,0,0,0,0,0,0,0.0884250236667442,-0.025727875875734,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0777331600206439,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.0319674375662908,0,0,0,0,0,0,0,0,0,-0.139855916778729,0,-0.121962217022816,0,0,0,0,0,0,0.389221804190096,-0.15274801566278,0,0,0.734656967374733,0,0,0,0,0,0,0,0,0,0.367315900152775,0,0,0,0,0,0,-0.242174954353401,0,0,-8.67361737988404e-19,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,-0.0141166230595189,0,0,0,0,-0.171289946741316,0,0,0,0,0.108914386322234,0,0,0,0.314539452347106,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0618481667928913,0,0,0,0,0,0.262671727735653,0.0160338886944708,0,0,0,0,0,0.148863448946505,0,0,0.0790838671059256,0
X601658.CH.Equity,0,0,0,0.146164215867238,0.145245009084261,0,0,0,0,0,0,0,0,0.109443952147405,0,0,0,0,0,0,0,0,0,0,0,0,0.0632609336942567,0,0.100499198090065,0,0,0,0,0,0,0,0,0.256570043525119,0,0,0,0,0,0,0,0,0,0,0.380143588344416,0,0,0.047780360435024
