,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.271665643580312,0.111743355859949,0,0.263927526217828,0,-0.130999191212354,0,0,0.0465683226625257,0.0867992684369,0,0,-0.0491214855061061,0,0,0.0698937357664394,0,0,0,0,0.0401911042946478,0,0,0,0,0.143434338970829,-0.11644253629085,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,-0.0448077310305425,0,0,0,-0.0575822391273289,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.149355063184584,0,0,0.277571087730124,0,0,0,0,0,0.0364686709985319,0,0,0,0,0,0,0,0,0,0,0.084570996120861,0,0,0,0,0,0,-0.158778116666851,0.321621837545361,0,0,0.11626328058442,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.476955260690468,0,0,0,0.104189782119304,0.0376114217608569,0,0.0742949732811932,0,0,0,0,0,0.168408313663785,0,0,0,0,0,0.0149328628820738,0.131563884604464,0.0209500234476827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316363708896647,0,0,0,0,0,0,-0.16322803077366,0,0,-0.0266161024487916,0,0
X601288.CH.EQUITY,0.428015803328036,0.0132365803598853,0.102831304250928,0,0.0523897595172013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397487654869036,0,0,0,0,0,0,0,0,0,0,0,0,0.0551924713443532,0,-0.0475107295304816,0,0.0647935984733163,0.103725244572229,0.0563438769001644,0,0,0.202495412143322,0,0,0,0,0,0.108410215597827,0,0
X5.HK.EQUITY,0,-0.223299585400209,0,0,0,0,0,0,-0.375668098210053,0,0.207595036662778,0,0,0,0,0,0,0.0261241894194436,0,0.023783064012459,0,0.658788721949672,0,0,0,0,-0.0178370052774215,0,0,0,0,0,0,0,0,0,0,0,0.0508158399638117,0,0.0804153765074888,0,0,0,0,0,0,0,0,0,-0.359117091727411
X601988.CH.EQUITY,0,0,0.169849995139721,0.0497431832427862,0,0,-0.116688693591783,0.00386500743671776,0,0.246211418442731,0.237367936790441,0,0,-0.0522558267759471,0,-0.127067364899719,0,0,0,0,0,0,0.542876434247728,0,0,0,0,-0.146550265067868,0,0,0,-0.0211371990599817,0,0,0,-0.00673673008129103,0,0,0,0,0,0,0,0,0,0,0.0520277619496994,0,0,0.0292043457735678,0
X600036.CH.EQUITY,0,0.0902908257105622,0,0,0,0,0,0,0,0,0,0,0,0.18703536840873,0.0816300030373084,0,0,0,0.0449091130881457,0,0,0.0258467283289782,0,0,0,-0.0434294197272242,0,0,0,0,0,0.273457508855607,0,-0.0437415907531269,0,0,0,0,0,0.0583088127064183,0,0,0,0,0,0,0.274158971447729,0.157251631141578,0,0.136183735728987,0
X601628.CH.EQUITY,0,0.0253292966095926,0,0.615518648114668,0,0,0,0,0,0,0,0,0.0988315347047164,0,0,0,0,-0.0505787993956244,0,0.0241307906264219,-0.0416317523902552,0,0,0.0515451912817197,0,0.0620561130528994,0,0,0,0,0,-0.104478841087439,0,0.122769701110375,0,0,0,0,0,0,0.0882028449692859,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0267835648842947,0,0,0,0.0155926460068798,0.161471010630125,0,0.100540628490621,0,0,0.193087087039332,0,0,0,0,0.419404893510039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666874353726194,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.151284466832778,0,0,0,0,0,0,0,0,0.32390462189418,0,0,0,0,0,0,0,0,0,0,0.0775891515074023,0,0,0,0,0,0.495446452018442,0,0.166495112548762,0,-0.036154880515714,0,0,0,0.192075483912842,0,0,-0.279463724829854,0,0,0,0,-0.0655475960404599,0,0,0
