,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.163354868662968,0.0727940618495193,0.0463356281903295,-0.00300982257766279,0,0.354620628507417,0,0,0,0.0765000521537159,0,0,0.0258846781616515,0,0,0,0,0,0,0,0,0,0,0.0747495331119277,0.0740274010736768,0,0,0,0,0,0,0,0,0,0,0.104219054382343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0653892603098977,0.0576381799497756,0,0,0.0864557564286379,0,0,0,0.048839398606003,0,0,0.054551444238522,0,0.0935556647383475,0,0.222932230967533,0,0.0872114228508317,0,0,0,0,0,0,0.0215927665100422,0,0.167915557421687,0,0,0,0,0,0,0.129635150981643,0,0,0,0,0.0384139770883997,0,0,0,0,0,0.0368036270618045,0,0,0
X601939.CH.EQUITY,0,0,0,0.194084729440878,0,0,-0.0576309979854141,0,0,0,-0.0196716502535467,0.148078105611498,0,0,0,0,0,0,0.137278858432766,0,0.021195791998517,-0.116327267011774,0,0,0.122487229829309,0.580626570353149,0,0,0.0533226957680058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174142922514358
X601288.CH.EQUITY,0,0,0.126100608497503,0,0,0.0627694199807999,0,0.446411141573391,0,0,0,0.0235006719801442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895858642764744,0,0,0,0,0.0599391524433195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612715297596411,0,0,0,-0.0869876636470087
X600036.CH.EQUITY,0,0.131108379957493,0,0,0,0,0.208566544926599,0,0,0,0,0,0.204775170682877,0,0.164170077040692,0,0,0,0.0163504709490077,0,0,0,-2.16840434497101e-19,0,0,0.166192365158246,0.237011994895459,0,0,0.0226444802236108,0,0,0,0,0,0,0,0,0.0904967632652581,0,0.0232645588200212,0,0,0,0,0,0,0,0,0,-0.0764646200276046,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.224130129859428,0,0,0,0.0785591628192206,0,0,0.16299830513565,0,0,0,0,-0.119662499760936,0,0,0,0,0,0,0.0841649118664889,0.604515338234836,0,0,0,0,0,0,0,0.075126007431877,0,0,0,0.0148754074378583,0.0330142901555702,0,0,0,-0.0405266781427403
X1299.HK.EQUITY,0,0,-0.0745471999986055,0,0.0643715177413196,0,0,0,0,0,0.164806840329497,0,0,0,0,0,0,0,0,0,0.179878184799057,0,0.171210547140401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105907212599931,0,0.0735046072256614,0,0.0784912425609114,0.132102431570907,0,0.0883824507390559,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.631417964118502,0.202210233484157,0,0,0,0,0,0.118328616512269,0,0.0906063240042898,0,0,0,0.0733194919253413,0,0,0,0,-0.0453373753801501,0.0141905543896179,0,0,0,0,0,0,0,0.0444354763060529,0,0,0,-0.00274877391552946,0,0.0187389761117958,0,0,0,0.0889461859903558,0,0,0,0,0,0,0,0,0,-0.0644057600060325,0
X5.HK.EQUITY,0,0,0,0,0,0.00931174622877835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134060586526347,0,0,0.174258855445383,0.0841764831625132,0,0,0,0,0.015534108215932,0,0,0,0,0,0,0,0,0,0.339413568194054,0,0,0,0,0.162957512509586,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0487224691977768,0,0.071121737783953,0,-0.00760619599662084,0,0,0,0,0.0616937504901986,0.140160374917959,0,0.0786379916288918,0,0,0,0,0,0,0,0,0,0,0,0.156762969166715,0.38658851561892,0,0,0,0,0,0,0.0323048408981657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
