,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0332696694539943,0,0,0,0,0,0,0,0,0,0,0,0,0.510065843478942,0.763760991700178,0.0107400903784981,0,0,0,-0.110900340170347,0.217208315123219,-0.228267089459682,0,0,0,0,-0.322246483208636,0,0,0,-0.0454928690576315,0,-0.0608779286950484,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.209996691455993,0,0,0,-0.00915184718085611,0,0,0,0,0,0,0,0,0,0.0427388422048488,0,0,0,0,0,0,0,0.0578688773115507,0,0,0,0.0400852990225555,0,0,0,0,0.234599436259438,0,0,0,0,0,0,0,0,0,0.0927487486746389,0,0,0.342060149157745,0,0
X601939.CH.EQUITY,0,0,0,0.825116679276477,0,0,0,0,0,0.0217407537012042,0,-0.0458012736535558,0,0,0,0,0.0737564472769414,0,0,0.061128571899509,0,0.00894579075320709,0,0,0,0,0.0625634569110543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501457988198016,0.0301234883571168,0,0
X601288.CH.EQUITY,0.0451286404850251,0,0.904867143005055,0,-0.0483609775781339,0,0,0,0,0,0,0,0,0,0.0281124232033048,0,0,0,0,0.0820090711743738,0,0,0,0,0,0,0.0399777450107795,0,0,0,0,0,0.0208320116133611,0,0,0,0,0,0,-0.0915417159255632,0,0,0,0,0,0,-0.0355176304637361,0,0,0,-0.0813903361638154,-0.0201731083303567
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0273949191526031,0,0.108684584978634,0.273526682130147,0,0,0,0,0,0,0,0,0.0295437348487489,-0.00177171562717884,0,0,0,0,0,0,0,0,0,0,0,0.497332774911372,0,0.0179729769195558,0,0,0,0,0,0,0,0.0658619407440201,0.0199224993547014,0,0,0,0,0.187292646333022,0.2451381604864
X600036.CH.EQUITY,0,0,0.408401353407487,0,0,0,0,0,0.0248237334938604,-0.00642764897880453,0,0,0,0,0,0,0.106566054244801,0,0.00488327421990674,0,0.0126828557303321,0,0,0,0,0,0.192378334468958,0,0,0.123021543815319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.145298989337692,0.0820701351659819,0,0.0280470802359358,0,0,0,0,-0.00083339088590525,0.0383953780888328,0,0,0,0,0,0,-0.0746366006761544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107147513299405,0,0,0.011002919930652,0,0,0,0,0,0,1.01553785226942,0,0.0368360379598964
X1299.HK.EQUITY,0,0,0,0,0.20193790071893,0,0,0,0,0.176911679618065,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195846669323063,0.0262927073424916,0,0.391215524881773,0.317987635188714,0,0,0.148900775866653,0.10462063445137,0,0,0,0,0,0,-1.38777878078145e-17,0,0.0343602259923731,0,0,-0.13764933720645,0,0,0,0,0,0,0.0950712838411819,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27538584225364,0,0,-0.238415969539133,0,0,0,0,0.139816233199314,0,0.0995431878346759,0.396492491257369,0.177634560496945,0,0,0,0,0,0,0,-0.192373862142888,0,0,0,0,0,0,0,0.0947934374513312,0,0,-0.0898712222127568,0,0,0,0,0.166785233682281,0
X388.HK.EQUITY,0,0,0,0,0.289618765001798,0,0,0,0,0,0,0,0,0,0,0,0,-0.225297431191699,0,0,0,0,0,0,0.46998843165491,0,0,-1.38777878078145e-17,-1.73472347597681e-18,0,0,8.67361737988404e-19,0,0,0,-0.0481078645255887,0,0,0,0,0,-0.0592364476206422,-0.113522864967368,0,0.0278962593610307,0.250283753517914,0,0,0,0,-0.122906149080532,0.0145478264045132
