,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177369343523499,0,0,0,0,0.407920205005426,0,0,0,0,0,0,0,0,-0.0878549078485147,0,0,0,0,0,0,0,0,0,0,0,0.657345200805155,0,0,0,0,0,0,0,0,-0.00517927545147811,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.181309703656629,0,0,0,0,0,0,0,0.0282587352267266,0,0.0722593660537458,0,0.0587342958667247,0,0,0,0,0,0.136948047803946,0.0613533266571451,0,0,0,0,0,0,0,0.196063739685682,0,0,0,0.0479905819891986,0.186635110039414,0.00425292236283862,0,0,0.0728834068665419,-0.0325440271728471,0,0,0,0,0
X601939.CH.EQUITY,0.407208069976088,0,0,0,0,0,0,0,0,0.0224745523520959,0,0,0,-0.0599647588083743,0,0,0,0,0,0,0,0,0.120832323198339,0,0,-0.375533164422875,-0.0790042313271155,0,0,-0.0531679896406896,0,0,-0.0935414697136099,0,-0.327869236181111,0,0,0,0,0.850929042046209,0,0,0,0.170512387534536,-0.135569866194896,0.195499161096395,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.293860551895036,0,-0.240204658946226,0,0,0,0.817314563160126,0,0,0,0,-0.132399672180082,0,0,0,-0.22820557529605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152476882302301,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.133394850794314,0.374187781821558,0,0,0,0.0471922963254947,0,0,0.187887117422526,0,0,0,0,3.46944695195361e-18,0,0,0,0.0259059364541927,0,0,0.0343941774754279,0,-0.122561454502555,0,0,0,0,0,0,0,0,0,0.0785368911918707,0,0,0.131261740109678,0,0,0,0,-0.184127671986793,0,0,0.135650738240219,0,0
X601988.CH.EQUITY,0,0,0,0,0.37375507950053,0,0,0,0,0,0,0,0,0.113640652674138,0,0,0,0.142894107092138,0,-0.0695531330093851,-0.0249191943898091,0,0,0,0.217665890708368,0,0,0,0,0,-0.334736365823982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357807390616414,0,0,0,0,0,-0.0415722311357036
X1299.HK.EQUITY,0,0,0,0,0.260567011468299,0,0,0,0,0,0,0,0,0,0,0,0,0.14010551414706,0,0,0.0213095319411461,0,0,0,0,0,0.0887353744069844,0.130756971932365,0,0.0897597580935042,0,0,0,0,0,0,0,0.321421827308459,0,0,0,0,0,-0.133711870721878,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.135933827283332,0,0,0,0,0,0,0,0.484919807135456,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.229636198131108,0,0,0,0,0,0,0,-0.00207037968902728,0.126575985026887,0,0,0,0,-0.211120221237569,0,0,-0.157141020633802,0,0,0,-0.00861266201371847,0,0,0.211356714026608,0,-0.0260022884266732,0,0,0,0,0
X601628.CH.EQUITY,0,0.277940753374094,0.0138249161680573,0.0533404581451768,-0.0935537722138279,0,0,0,0,0,0,0,-0.0134369326710838,0,0,0,0.242808691151588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149691374359064,0.0721154682626158,0,0,0,0,0,0.158353288667639,0,0.0747884014413881,0.0972402063705477,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.722759116740966,0,0,0,0,0,0,0,0,0,0,0,0.20772289907092,0,0,0,0,0,0.0854540424318839,0,0,0,0,0,0,0,0,0,0,0,-0.0561552255795721,0,0,0,0.0186806660038721,0,0.0514322752763554,0,-0.183781630124157,0,-0.0572516746877864,0,0,-0.012358812857001
