,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.182877512594621,0.239944913246894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430097753006786,0,0.0740953324922851,-0.416527744718861,0,0,0,0,0.685899096727527,0.133344028139562,0,-0.210516886146195,-0.0233499657766725,0,0.168810924177417,-0.0353075110687856,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.141722438518176,0,0.0028222857874295,0.0253064059606567,0,0,0,0.0755441311166148,0.0394652397063287,0,0,0.169196976236332,0,0,0,0,0.0223364135502776,0,0,0,0,0,0.0940350108353243,0,0,0,0,0,0,0,0,0,0,0.489722748812884,0,-0.0720911756080709,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.230519826019852,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125044204630207,0,0,0,0,0,0,0,0,0.0470450871991084,0,0,-0.00548210782129965,0,0.37446875281755,0,0,0,0,-0.0182101257723727,0,0.0732269146583577,0,0,0,0,0.0438357875247179,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.23592254840635,0,0,0,0.00750873275946733,0,0,0.075955904313518,0,0,0,0,0,0,0.114328905160597,0,0,-0.0175741303945069,0,0,0,0,0.118567523094427,0,0,0,0,0,-0.0736445823600823,0,0,0,0,0,0.291219253993724,0,0,0,0.1293686107355,0,0,0,0,0.0819530558268024,0,0
X5.HK.EQUITY,-0.119865240222971,-0.157750733228926,0,0.133112371113772,0,0,0,0,0,0,0,0,0,0,0.249110232909731,0,0.251080750087636,0,0,0,0,0.0844470214414664,0,0,0.358104051249155,-0.0694510002998814,0,0,-0.097652061916747,0,0,0,0,-0.223501230156309,0,0,0,0,0,0,0.253945656389748,-0.128601027024582,0,0,0,-0.0172225872998353,0,0,-0.0707341036752168,0,-0.0375439807462295
X601988.CH.EQUITY,0.196626257787057,0,0.0138039007327026,0.619063632185542,0,0,0,0,0,0,0.112530869506902,0,0.129512828750462,0,-0.140349692187636,0.0168587395191655,0.11760598491087,0,0,0,0.0298311285520155,0.0353490820943518,0,0,0,-0.0401050167818139,0,0,0.0165495545484057,0.0165044906576902,0,0,0,0,0,0,0,0.0279947306378312,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.696078896188127,0.0392896944556694,0,0,0,0,0,-0.188036476222776,0,0,0,-0.0164108187154524,0,0,0,0,0,0.152758476403633,0,0,0,0,0,0,0.0417135786177292,0,0,0.0327192753706901,0,0,0,0,0,0,0,0,0,0,0,0.264897903775374,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0506711094617167,0,0,0,0,0,0.162372254854734,-0.0479133677896691,0.0857262310539929,0.189435843661385,0,0,0.125675399080315,0,0,0.224487575422851,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-0.0300748872734012,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.110879789746836,0,0.115216382604668,0,0,0,0,0,0,0.063947341025911,0,0,0.27511387388824,0,0,0,0,0,0,0,0,0.095134557108851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190803929718674,0,0.0475731193855057,0,0,0,0,0,0,0,0,0,-0.00841919187787048,0
X601328.CH.EQUITY,0,0,0.0356204113100249,0.341882203867055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162084239444063,0.171728868290293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
