,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.601740447712608,0,0.0209694817544436,0,0,0,0,0,0,0,0.100590443286636,0,0,0,0,0,0,0.124392360208821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202185083130319,0,0,0,0,0.0797262553179808,0,0.0461887447378519,0,-0.00301213361069337,-0.0131190335634109,-0.0395273634651288,0,0.0393138866786652,0,-0.0115250162365257
X601318.CH.EQUITY,0,0,0,0.198415244889759,0,0,0,0,0.0744164030957138,0,0,0,0,0,0,0,0,0,0,0.190765252292796,0,0,0,0,0,0.0264271093787331,0,0,0.0993256480831144,0,0,0,0,0.0646155579560795,0,0,0,0,0,0,0.183401793868378,0.0196519623502606,0,4.33680868994202e-19,0,0,0,0.0898196213165226,0,0,0
X601939.CH.EQUITY,0.154092233462824,0,0,0.305323779331954,0,0.252384957566869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999584913266723,0,0,0,0,0.0806839152566998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498944985031251,0,0,0
X601288.CH.EQUITY,0.0133771026215538,0,0.2888398839652,0,0,0,0,0,0,0.211313096017705,0,0,0,0,0,0,0,0,0,0.0500624747368413,0,0,0,0,0.0131368529195207,0.224672633107097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720495990531448,0,0,0,-3.46944695195361e-18,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.210122741059129,0,0,0,0,0,0,0.0637016184295125,0.23183136352677,0,0.174683597818318,0,-0.0920848086353377,0,0,0,0,0,0.365961986016408,0,0,0,0,0.11626120166404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.459211716579466,-0.0969573625686956,0,0.0216112059062638,0,-0.217600476820576
X601988.CH.EQUITY,0,0,0.110747763306497,0,0.0360864858681271,0,0,0,0,0,0,0,0.0650186175631469,0.0579601740100813,0,0,0,0,0,0.00594402088901471,0,0,0.620384978747544,0.0150805432781095,0,0,0,0,0,0.107741368765288,0,0,0,0,0,0,0,0,0,0,0.0461204249468653,0,0,0,0,0,0,0,0,0.0852794199576625,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0431382614352546,0,0,0,0.261094535910149,0,0,0,0.172422661848212,0,0,0,0.0743915840211091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.00994813104857945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789035571774402,0,0,0.0054688783429602,0.068509115700784,0,0,0,0,0,0,0,0,0,0,0,0,0.0148507092333183,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.212571278900893,0,0,0,0,0,0.0309698243904473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574808091681524,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.398404380888309,0,0,0.230527686881264,0,0.00121403661218806,0.0277536992582405,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.111993755649097,0,0,0,0,0.150360021907036,0,0,0,0,0,0.189856687442172,0,0,0,0,0,0,0,0.267048339668695,0,0,0,0,0,0,0.0409496923841341,0,0,0.000211282372657173,0,0,0,0,-4.33680868994202e-19,0,0,0.0397114024546816,0.206490145619992,0.0223306266966485,0,0,0,0,0,0,0.0119101961853703,0,0
