,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.217057237269625,0,0,0,0,0.394577395568979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265768378668422,0,0.0258784054106847,0,0.0126725209723602,0,0,0,0,0,0.0687205535840348,0.0539561642471799,0,0,0,0,0,0,0.0268734123188947,0,0,0,-0.0946062856346905,0,0,0
X601318.CH.EQUITY,0,0,0.246877039466799,0,0,0,0,0,0.0804508840407935,0,0.0748755410607691,0,0.0153412223012852,0,0.181296181515544,0,0,0,0,0,0,0.0581579992982653,0,0,0,0,0,0.191311423045929,0,0,0,0,0,0.0500197715041311,0.0215822669870146,0,0,0,0,0,0,0,0,0,0.0623699682321186,0,0,0.0368075242492887,0,0,0,0
X601939.CH.EQUITY,0.28525066242288,0.222898169668481,0,0,0,0,0,0.497140219425508,0.0806793281216547,0,0,0,0,0,0,0,0,0.0303275988875264,0,0,0,0,0,0,0,0,0,0,0,0,-0.021022936449143,0,0,0,0,0,0.056031373131564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18847134378013,0
X600036.CH.EQUITY,0,0,0,0,0,0.152015744386047,0,0,0.0605826525208234,-0.101948354963597,0,-0.101269282401496,0.152708742027577,0,0,0.156753045253117,0,0,0,0.163827144514883,0,0,0,0,0,0.403841149575086,0,0.0349869803802049,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735346359401572,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0309271978094029,0,0,0,0,0.52373311348932,0,-0.0662934834977522,0,0.00680872879977251,0,0,0,0,0,0,0.0168142645544948,0.0420198147209852,0,0,0.0734045332962178,0,0,0,0.109444890294156,0.111879604128046,0,0,0,0,0,0,0,0,0.0589586311888281,0,0,0,0,0,0,0,0,0,0,0.0216900077464437,0.0126865763071542,0.0287479494869189,0.0372917923673111,0
X1299.HK.EQUITY,0,0,-0.0810717058336791,0,-0.0155413379851948,0,0,0,0,0.219330849730265,0,-0.0627366743634621,0,0,0,0,0,0,0,0,0,0,0.170910989686215,0,0,0,0,0,0,0,0.0232077383423042,0,0,0,0,0,0.130854669106976,0.0270309017554271,0,0.206525376824497,0,0.205347059797043,0,0,0,0,0,0,0.199723843947642,0,-0.0783368131516168,0
X601628.CH.EQUITY,0.0761988957450922,0,0,-0.00341427982279883,0,0,0,0,0,0,0,0,-0.00275429546294308,0,0,-0.180628618926047,0,0,0.260712477381736,0,0,0,0,-0.109108954743745,0,0,0,0,0,0,0,0,0,0,0,0.589580693737321,0,0.0510089262689166,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0580947776150616
X601988.CH.EQUITY,0,0,0.0751344273539819,0,0.441490783661863,0,0,0,-0.0912192465392141,0,0,0,0,0,0,0,0,0.279322225158883,0,0,0,0,0,0.0456317821448074,0,0,0.0832162183615085,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.00190646743623075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0521877143269864,0,0,0,0,0,0,0,0.196820412665471,0,0,0,0,0,0,0,-0.00774736020346427,0,0,0,0.217466588220425,0,0.0671989222262909,0,0,0,0,0,0,0,0,0,0,-0.114822179737667,0.184145584738472,0,0,0,0.218393621094814,0.184420880165708,0.039799546111084,0,0,0,0,0.1149987164898,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.194694482847616,0,0.418588107357329,0,0,-0.173158882063355,0,0,0,0,0,-0.0392364334695152,0,0,0,0.35263464259886,0,-0.170269527456531,0,0,0,0,0,0,0,0,0,0,0.181268358881005,0,0,0,0,-0.0319560594874387,0,0.0389426349647333,0,0,0,0,0.0340373842649684,0,2.16840434497101e-19,0,0,0,0,0.190893550390718,0
