,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.36092143978537,0,0.308947673340403,0,0,0,0,0,0.0476952498776213,0,0,0,0,0.0514728749223029,0,0,0,0,-0.044456833718416,0,0,0,0,0,0,0,0.0431144933229716,0,0,0,0,0,0,0,0,0,0,0,0,0.0900643577410444,0,0,0,0,0,0.0587992861031861,0,0,0,0,0
X601318.CH.EQUITY,0.128382853700654,0,0,0,0,0,0,0,0.169240174554718,0,0,0,0,0,0,0,0.18586350187977,0.0151352239836586,0,0,0,0,0,0,0.070534730814151,0,0,0,0,0,-0.0407606425738618,0.12923959506694,0,0,0,8.67361737988404e-19,0.141950670994136,0,0,0,0,0,0.0422902653747934,0,0.0710670269338854,0,0,0,0.130391485530613,0,0,0
X601939.CH.EQUITY,0,0,0,0.28339425757038,0,0.0676955662828191,0,0,0,0,0,0,0,0.459183169624743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732404309073807,0,0,0.0127557598239779,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.355187954151086,0,0.00688798799141001,0,0,0.502567068417189,0.0229776528959968,0,0,0,0,0,0,0,0.0332222446781335,0,1.38777878078145e-17,0,0,0,0,-0.0349962329244248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125647179354411,0,0,0,0,0.0922191004068182,0,0.00296249333672714,0.00679827624906147,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.084478142245403,0,0,0,0,0,0,0,0,0,0.131453117524934,0,0,0,0,0,0,0,0,0,0.0797544317320972,0.267021610676694,0,0,0.37429682989863,0,0,0.0199794690184142,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-3.46944695195361e-18,0,0,0,0.0714339704009455,0,0
X601988.CH.EQUITY,0.408385351073443,0,0.0659504940629802,0,0,0,0,0,0.0417429525758166,0,0,0,0,0,0,0,0,0.0874856253402205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161203360821065,0,0,0,0.0309793434759245,0,0,0,0,0,0,0,0,0,0,0.202605376631862,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.20357210532224,0,0,-1.73472347597681e-18,0.282146383439866,0.0975984100754318,0,0,0,0.133737036749266,0,0,0,0,0,0,0,0,0,0,0.0340056937321684,0,0.109530037812459,0,0.0397366956555178,0,0,0,0,0.00330158969183875,0,0,0,0,0,0,0,0,0,0,0,0,0.028258454977433,6.93889390390723e-18,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.101049460817307,0,0,0,0,0,0,0,0.425044768321845,0,0,0.133195093081954,0,0.131516691822228,0,0,0,0,0,0,0,0,0.241862638706618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.192209221943608,0,0,0,0,0.15748458834198,0,0,0,0,0,0.0192299547698194,0,0,0,0,0,-0.0163164026240617,0,0.208760197283832,0,0,0,0,0,0,0,0,0,0.0768988612599753,0,0,0,0,0,0,0.0464060674491263,0,0.0570165927284734,0,0,0,0,0,0,0,0,0,0.112227663608955,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,-0.292903806381441,0,0.222134984196854,0,-0.228824249151007,-0.118202237321265,0,0,0,0,0,0,0,1.01534771922916,0,0,0,0,0,0,0.167277306101852,0,0,0,-0.0835584273638496,0,0,0,0,0,-1.08523325587836,0,0,0,0.00537368131700829,0.943680197018321,-0.214192330491411,0,0,0,0,0
