,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.187411032401879,0,0,0,0,0,0,0.165220134344843,0.128971884572766,0,0,0,-0.210627314029443,0,0,0,0,0,0.315322818525554,0,0,0,0,0,0.251216063578651,0,0.0525898778015742,0,0.122715512739439,0,0,0,0,0,0,0,0,0,0,0.0969285021882765,0,0,-0.039373263954456,0,-0.0911308958554957,0,-0.0106240062475095,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.175204691890024,0,0,0.148276190550334,-0.114920743020761,0,0,0.0909216578971065,0,0,0,0,0,0.00530934684504716,0,0,0,0,0,0,0,0,0,0.168220439361558,0,0,0,0,0,0,-0.229153031422297,0.327741804164483,0,0.125368784255299,0,0,0,0,0,0.131953527002961,0,0,0
X601939.CH.EQUITY,0.473542012658079,0,0,0,0,0.183904203579334,0,0,0,0,0,0,0,0.0324250346984752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365919497863749,0,-0.157248990559265,0.0868764875425482,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.498566145278705,0.0303680659700251,0.154401473815313,0,0.171655140048335,0.0744897024917964,0,0,0.0127269008081299,0,0,0,0.0295921891822433,-0.0459774161026616,0,-0.0420055870629881,0,0,0,0,0,-0.0554639081676578,0,0,0,0,0.0515796020526714,0,0,0,0,0,0,0.0292080741043289,0,0,0,0.158848221191659,0.163254826588588,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0862576542935701,0,0,0,0,0,-0.335077071364699,0,0,0.167367736668233,0,0.0275014535048846,0,0,0,0,0.530874704306613,-0.131128483825993,0.0476376414300073,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,-0.0649160369713721,-0.089049734280574,0,0,0,0.0980925355649726,0,0.142467306522311,0,0,0.21664660301963,-0.044210280446809,0,0,0,0,0.139495182807164,-0.247380884571177
X601988.CH.EQUITY,0.102934482085182,0,0.127946659386585,0.165481520894083,0,0,0,-0.0192862503504509,0.158759257173202,0.0895540590126132,0.221490524166669,0,-0.357323471948845,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.123793758019654,0,0,0,0.089419490277387,0,0,0,0,0,0,0,0.0296719797281345,0,0,0,0,0,0,0,0,0,0.0496347589630665,0,0,0,0,0.0138789892110212,0
X600036.CH.EQUITY,0,0.377671963772031,0,0,0,0,0,0.0336991276987986,-0.0112713659238782,0,0,0,0,0.288252235455389,0,3.46944695195361e-18,0.0201819678057925,0,0,0,0,0,0,0.176949532602619,0,0,0,0,0,0,0,0.0930827317188558,0,-0.0400548263580319,0.000541621263224844,0,0,0,0,0,0.16740006638086,0,0,0,0,0,0.0164489977782773,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0427862653266821,0,0,0.0562964909382343,0,0,0,-0.0197913980119375,0,0,0.19313747129316,0.252926151022448,0,0,0,0.160249745317607,0,0,0,0,0.166972760702588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168226817908935,0,0
X601628.CH.EQUITY,0.205701363917419,0.328923770497006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231955673770541,0,0,0,0,0,0,0,0,0.0200879862986301,0,0,0,0,0,0,0.0111978553232281,0,0,0,0,0,0,0,0,0,0,0,0.193471079897558,0,-0.157844035218189,0.0331472159150012,0.206280474178309,0
X601166.CH.EQUITY,0.131429016662061,0,0,0,0,0.0499475734298925,0.500937244485267,0,0,0,0,0,0,0.0645153770404017,0,0.267764589749883,0,0,0,0,0,0,0,0,0,0,0,0.0575302410633924,0,0,0,0,0,0.0894360824026478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
