,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.23577302410077,0,0,0.0873004850121597,0,0.241266975749325,0,0,0,0,0,0.12801228415245,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0383280765902776,0,0,0,0,0.0942219791861255,0,0,0,0,0,0.0226204728694945,0,0,0,0,0,0,0.10720777406706,0,0,0,0,0,0
X601318.CH.EQUITY,0.13176921947467,0,0,0,0,0,0,0,0.184579513764486,0,0,0,0,0,0,0,0.241286563728763,0.0451868166611919,0,0,0,0,0,0,0.0316428580697162,0,0,0,0,0,-0.0596682287944291,0.148664724594469,0,0,0,0.122615450889343,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0557397824783551,0,0.048694567287873,0,0.0893002267379703,0,0,0
X601939.CH.EQUITY,0.0607812198093947,0,0,0.268661143891472,0,0.0503255810678038,0,0,0,0,0,0,0,0.422959083904383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043757162372866,0,0.0660247219039155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.299795540006301,0,0.102311929015765,0,0,0.352308254171163,0,0,0,0,0,0,0,0,0.0250623203052092,0,0,0,0,0,0,0.00568282389501625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462099835469949,0,0,0,0.0596884780446257,0,0,0,0.10641286026715,0.00772103078806698,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074993335407669,0,0,0,0.0683296750534867,0,0,0,0,0,0.097131036122873,0.144946790135273,0,0,0.553993959413155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352163376676502,0,0
X601988.CH.EQUITY,0.22376682717845,0,0.0103247682344715,0,0,0,0,0,0,0,0,0.195705289237004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168232691480922,0,0,0,0,0,0.0548576716841265,0,0,0,0,0,0,0,0,0.28667590058933,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.409744093959335,0,0,0,0,0.195852022605911,0,0,0,0,0,0,0,0,0,0,0,0.00232238899481239,0.0153258113010975,0,0.106723170762228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113980253401182,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378698460048307,0,0,0.170819573280673,0.0133339364005599,0.0714952009202542,0,0,0,0,0,0,0,0,0.272647456053329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0624074554711118,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0260098364694651,0,0,0,0.133755362692448,0,0,0,0,0.22964246922419,0.0886051403245477,0,0,0,0,0,0,0,0.112432857092074,0,0,0,0,0,0,0,0,0,0,0.17868611072162,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.640184371986762,0,0,0,0,0,0.215123205434575,0,0,-0.596469276751202,0,0,0,0,0,0,0,0.471917712985627,0,0,0,-0.002343247492967,0,0,0.224475105258778,0,0,0,0,0.0391932997520721,0,0,0,0,0.423730027079424,-0.294641966515582,0,0,0,0.750183587876298,0,0,0,-0.0513859690154965,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71285375957775,0,0,0,0,0,0,0,0,0,0.140626468412028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968030700283875,0,0,0,0,0,0,0,0,0,0,0
