,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601688.CH.EQUITY,0,0,0,0,0,0,0.0811916464376435,0,0,0,0,0,0.0678994525405917,0,0,0,0.113628283147991,0,0,0,0,0.28042192758663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271265684698706,0,0,0,0.242571424768305,0,0,0.0911116236912585,0.0551110323231167,0,0.195037259044137,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0.294117412610252,0,0,0,0,0.0331728129177994,0,0,0,0,0,0,0,0,0.156546117370969,0,0.180807641614288,0,0,0,0,0,-0.129846136241806,0,0,0,0,0,0,0,0.251403380200281,0,0,0,0.142741286173026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.00321090037008147,0,0,0.2100020725844,0,0.0271182359250593,0,0,0.152570746684243,0,0,0,0.180249874745669,0,0,0,-0.0691637206190726,0,0,0,0,0,0,0.0402241846658985,0.210946743483639,0.00292553268947684,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0.0866168645465705,-6.93889390390723e-18,0,0,0
X601211.CH.EQUITY,0,0,0,0.0989881669952555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.273134590133674,-0.120253384099788,0.20258013599651,0,0,0,0,0.0259082016538888,0,0,-0.0523019994795534,0,0,0.133373325078735,0,0,0,0,0,0,0.104188195947323,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0.248210095258521,0,0,0,0,0.176161958653612,0,0,0.0103370599844804,0,0.125799354351241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0564729987369036,0,0,0,0,0.0965438165301976,0.182336602022494,0,0,0.0250322832425685,0,0,0,0,0,0,0,0.244625214111003,0,0,0,0.0810909294590093,-0.226544525973272,0,0.118923064469248,0,0
X002736.CH.EQUITY,0.141112274794598,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.117327805413567,0,0,0,0,0,-0.0736623798776048,0,0,0,0.0885528429597431,0,0,0,0,0,0,0,0.271725793955553,0,0,0,0,0,0,0.250897593621776,0,0,0,0,0.0160416081723812,0,0,0.00330889370333113,0,0.0172238566008543,0,-0.0305143223633681
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.153978041717716,0.0997243528838286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285792120933598,0.289957024741962,0,0,0.165462916201856,0.179034362672448,0,0.065270287936202,0,0,0,0,0,0,0.0360761156242663,0,0.306781115238426,0.0181192886977468,0,0,0.0960094800566558
X001979.CH.EQUITY,0,0,0,0,-0.125051116329518,0,0,0,0,0,0,0,0,0,0,0.156769255425121,0,0,0.82550374110382,0,0,0,0,0,0,0,0,-0.0103574513983396,0,0,0,0,0,0,0,0.164370262409326,0,-0.0721445612991804,0,0,0,0,0,0,-0.217034488960505,0,0,0,0,0,0,-0.0376777122060016
X601229.CH.EQUITY,0,0,-0.0929503017328855,0,0,0.216598064772911,0,0,0,0,0,0,0,0,0,0.205730200675752,0,0,0,0.113549120665754,0,0,0,0,0.0369684749751804,0,0.387295052789395,0,0,0,0,0,0,0,0,0,0,0,0,0.118558665182375,0,0,0,0,-0.0128006784462055,0,0,0,0,-0.0455306525544444,0,0
X12.HK.EQUITY,0,0,0,0,0,0.116590555037537,0,0.552014090840873,-0.0972695664399448,0.222586867971009,0,0,0,0,0,0,0.0647659500981283,0,0,0,0.162544566358016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0510672300482079,0,0,0,0,0,-0.140448450296131,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.17942661430366,0.0191513865497436,0,0,0,0,-0.248559433594031,0,0,0,0,0,0.102629299094159,0,0,0,0,0.222614765634092,0,0,-0.0751490138732813,0,0.0881388411590256,0,0.0515274814811125,0.804064485283361,0,0,0,0,-0.765664222588431,0,0,0,0.0920197818567105,0,0.338627354937731,0,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.107344579741339,0,0,0,0,0.149467812866481,0.0841385222867359,0,-0.151761798786917,0,0,-0.290101260895123,0,0,0,0,0,0,0,0.0492273572834185,0,0,0.0641524583853732,0,0,0,0.0481137475098996,0,0,0,0,0,0,0,0.0995488730099801,0,0,0.181868221081548,0,0,0.750792259207377,0,-0.046801947324778
X000776.CH.EQUITY,0,0,0,0.121468502416319,0.0487764156468378,0,0,0,0,0,0.225645801055195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304344273221721,0,0.217865350546051,0,0,0,0.25412597888591,0,0,0,0,0,0,0,0.0682655069122083,0.0857944326887424,0,0,0
X823.HK.EQUITY,0,0,0,0,0.248922810667308,0,0,0,-0.0750123800075195,0,0,0,0,0,0,0,0,0,0,0,0.352558625402099,-0.172693989377547,0,0,0,0,0,-0.133807950218575,0,0,0,0,0,-0.00281303346685972,0,0,0,0.104712785953661,0,0,0,0,0,0,0.138722722678848,0,0,0,0,0,0,-0.046190229128751
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415084704779271,0,0,0,0.0286727238940746,0,0,0,0,0,0,0.122024239641116,0.0353344786116803,-0.0491173616911736,0,0.676087867660329,0,0,0,0,0,0.154597745458135,0,0,0,0,0.0846639244699367,0
X601169.CH.EQUITY,0,0.0101653600752488,0,0,0.173241117878454,0,3.46944695195361e-18,0,0,-0.0514097273877518,0.14119224361754,0,0,0,0,0,0.0982820194911447,0,0,0,0,0,0,0.0973933303351338,0,0,0,0,0,0,0,0,0.0942189348775793,0,0,0,0,0,0,0.0592995125421499,0,0.1939152865747,0,0,0,0,0,0,0,0,0,0.0374663669735549
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150252917308387,0.103744098807428,-0.133732251513202,0,0,0,-0.296596914793502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20819693548056,0,0.170951547125499,0,0,0,0,0.48033124448196,0,-0.0528823269380391,0,0,0,0,0
FXI.US.EQUITY,-0.231078977937543,-0.0403168751442405,0,0,0,0,0,0,0.138791259478834,-0.0963114344831329,0,0,0,0.236599735804453,-0.220107913421569,0,0,0,0,0,0.0499571741111524,0,0,0,0.0469134052816614,0.0482420893538255,0,0,0,0,0.135455229312652,0,0,0,0,0,0,0,0,0,0,0,0.0588282439610425,0,0,0,0,0.211015031602278,0,0,0,-0.425300555469503
VXFXI.INDEX,0,0,0,-0.120214207681503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141346119332165,0,0,0,0,0,0,-0.680809888799802,0,0,0,0.00562799125556902,0,0,0,0,0,0,0.104997075809528,0,0,0,0,-0.00135048670520044,0,0,0.357226189810879,0,-0.223009926538564,-0.51155437172691,0
