,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X600999.CH.EQUITY,0,0,0,0.11868698143574,0,0.113969859499925,0,0.100792220341483,-0.015149766656306,0,0,-0.10743359709485,0,0,0,-0.0514875917833906,0,0.121640244286446,0,0,0.0411054249994438,0,0,0,0,0,0,0,0,0,0,0,0.264796173553456,3.46944695195361e-18,0,0,0,0.110037020783326,0.147817063799112,0,0,0,0,0,0,0,0,0.0691249615332329,0,0.0556704106157798,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0320621035461065,0.0553596658036024,0.153182936251142,0.100806752960346,0,0,0.250198377347335,0,0,-0.167314579180807,-0.118181475608338,0,0,0,0,-0.0973866630429077,0,0,0,0,0,0,0.0569746823369292,0,0,-0.0517172399160233,0.239524382273986,0,0,0,0,0,0,0,0,0,0,0.147201363361111,0,0,0,0,0
X1109.HK.EQUITY,0,-0.177089032409675,0,0,0,-0.00113824356273683,0,0,0,0,0.0950831070931147,0,0.146831885818449,0,0,0,0,0,0,0,0,0,0,0.116213784811258,0.163026217785893,0,0,0,0,0.00550843672854468,0,0,0,0,0,0.226468326361771,0,0.0651388953282947,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0647999099348202,0.120025941321828,0,0
X600048.CH.EQUITY,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0381829823295035,0.234733891497881,0,0,0,0.312784691857139,0,-0.116895229573739,0,0.22997101637944,0,0.205059003414649,0,0,0,0,0,-0.169821703341297,0,0.0646849690778338,0,0,-0.069748281849096,0,0,0,0.177469830964429,0.119288733621164,0,0,0,0,0,0,0,0,0,0,0,0.227405660135009,0.0437663077012472,0
X601688.CH.EQUITY,0,0,0,-0.0143413331921285,0,-0.0737007752607987,0.0746053682466991,0,0,0,0,-0.137498849460697,0,0.295715246688728,0,0,0,0,0,0,0.0212134417810092,0,0,0,0,0.282907467048715,0,0,0,0,0.0164311106805543,0,0,0.472629130374065,0,0,0.0848252379580317,0,0,0,0,0,0,0,0,0,-0.011761287271742,0,0,0,0,-0.0517408469442222
X601211.CH.EQUITY,0,0,0,0.0289155068128911,0,0,0,0,0,0,0,0,0,0,0,0,0.250362290670011,0,0.0489330438036649,0,0,0.00614075464386691,0,0,0,0,0,0,0,0,0,0,0.319974602090933,0,0,0,0.00543963780647016,0,0.0658404001845391,0.0246770510612049,0,0,0,0,0.0291065520177043,0.0558249495696975,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,-0.124945059954832,0,0,0,0,0,0,0,0,0.254775249487844,0,0,0.102227353181558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143333885535398,0,0,0,0,0,0.0556371439757193,0,0.198574355991552,0,0.124520656416011,0,0,0.0430231167894095,0
X688.HK.EQUITY,0.49661657603517,0,0,0,0,0,-0.0183577369337076,0,0,0,0.0339189159244122,0,0,-0.207351662872938,0,0,0,-0.266796030649742,0,0,0,0,0,0,0,0,0,0,0,0.380898098788006,0.389212467693505,0,0,-0.0301126378708939,0,0,0,-0.174959933130774,0,-0.110930293824805,0,0,0,-0.107470210266441,0,0,0,-0.0767838795036443,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.0922688134012745,0.476587815474942,0,0,0,0.0642579511643822,0,0,0,0.125335493114796,-0.09013294025662,0,0,0,0,-0.0142615261257656,0.291047516818485,0,0.00100199800641743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671884228838609,0,-8.67361737988404e-19,0,0,0,0,0.0544297529907555,0,0.00426063548160986
X267.HK.EQUITY,0.137359586107475,0,0,0,0,0.182339283829869,0.126002952016994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0898187026752148,-0.0505867757450699,0,0,0,0,0,0,0.158309045398789,0,0.030692855138006,0,0,0,0.103937591556697,0,0,0,0,0,0.470870275502485,0,0,-0.519120098374542,0,0,0,0,0,0,0,0.0918405684257266
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.235739686847611,0,0,-0.106000105460167,0,0,0.0497330022961571,0,0,0,0,0,0,-0.121969899356814,0,-0.0593315134990695,0,3.46944695195361e-18,0,0.272204301597108,0,0,0,0,0.204785600615249,0,0,0,0,0,0,0,0,0.175264548056993,0,0.131077581309472,0,0,0,-0.233825721793083,0,0.0053740150925725,-0.0248579981893539
X2882.TT.EQUITY,0,0,0,0,0,0.289668530965001,0,0,0,-0.0445116143594175,0,0,0,0,0,0,0.0425368572059955,0,0,0.0619572995560918,0,0,0.079779057369193,0,0,0,0,0,0,0.0306168581459201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00473447572728653,0,0,0.503391516416203,0,0,0,0,0.0527437863918808
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0.114719247816623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0669565072573322,0,0,-0.10956781048696,0,0.0537217507105257,0,0,0,0,0,0,0.0900137213809103,0,-0.0579906828610611,0,0.460728406382151,0,0.0154266512641368,0.0438545910869466,0,-8.67361737988404e-19,-0.0130079638601789,0,0,0.241818911944,0
X1113.HK.EQUITY,0.0633188945509025,0,0,0.045366427961346,0,0.0462120115464828,0,0,0,0.0749667318399237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1322265534926,0,0,0.0124074908051899,0,0.0260425923641575,0,0,0,0,0,0,0,0,0,0.245850535528685,0.0563917294707488,0,0,0.0935321673788524,-0.035220447106424,0,0.0542021678979029,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0819315840121861,0,0,0,0,0,0.28059768313684,0,0,0,0,0,0,0,0,0,0,0,0,0.0042346871378501,0,0.338067425906265,0.104460481529886,0,0.0639683086810685,0,0,0,0,0,0,0,0.31347284292704,0.0433410128156349,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0184708614985976,0,0,0,0,0,0,0,-0.0786038063967118,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0271438718292594,0.106169740447717,0,-0.136711460257342,0,0.0658263623818784,0,0,0.0650075101971631,0,0,0,0.174007001910998,0,0,0,0,0,0,0.0264930597914821,0,0,0
X600918.CH.Equity,0,3.46944695195361e-18,0,0.0326173920181242,0,0,0,0,0,-0.0456792001309885,0,0,0,0.0930355156218396,0,0,0,0,0,0,-0.0673456033847523,0,0,0,-0.0322436959442345,0,0,0,0,0,0,0,0,0.335914261706824,0,0,0,0,0,0,0,0,0.132675142036649,-0.008167674249009,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0392495742230447,0.0398795946615004,0,0,0,0.0220456419752683,0,0,0,0,0.368191833969265,0,-0.137378871637653,0,0,0,-0.0309085264817675,0,0,0,0,0,0,0,0,0.209116681883899,0,0,0,0,0.0965325811370891,0,0,0,0.0714867616399119,0,0,0,-0.0487008255138338,0,0.0932883580003211,0,0,0
X2881.TT.EQUITY,0,0,0.134983510397268,0,0.0222489492864114,0,0,0,0.036675192058043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180659420647843,0,0.250367515908267,0,0.515582398304531,0,0,0,0,0,0,0,0,0.0310740642585585,-0.0177096821127233,0.0262994194780186,0.0791568413096783
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186972117642376,0.131390690666265,0,0,0.657792118991972,0.171601538780352,0,0,0,0,-0.0280555052065691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1997.HK.EQUITY,0,0.145773891433514,0,0,0.0446007010753776,0,0,0,0,0.224052426672096,0,0,0,0,0,0,0,0,0.230310662886789,0,0,0,0.0666306252083921,0,0,0,0,0.051275244144496,0,0.134142115838621,0,0,0,0,0,0.121597765984399,-0.0833596459605703,0,0,0,0,0,0,0,-0.474683077655831,0.224309139811398,0,0,0,0,0.038787620079523,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351231776750647,0,0,0.402328546664251,0.216906136458483,0,0,0,0,0,0.0139324434310245,0,0,0,0,0,0,0,0,0,0.172880228565644,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,-0.121309471124422,0,0.0777367975816156,0,0,0.214535060214213,0,0,0,0,0,0,0,0,0,0,0,0.0415984239998494,-0.156257516988719,0,0,0,0,-0.228841892098949,0,0,-0.0215227657373149,0,-0.0786665098421509,0,0,0,0,0.362009500358195,0,0,0,0,0,0.0329077137163385,0,0.135337093833483,0,0,-0.321943741658786
VXFXI.INDEX,0,0,0,0.10719653906517,0,0,0,0,0,-0.0816455145410119,0,0,0,0,-0.0786534822094169,0,0,0,0,0.261490717680509,0.153837730673182,0,0.0216882235671657,0.0376529171133567,0,0,0,0,0,-0.341897359238606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286465830812586,-0.139598259455563,0.0808602424310376,0,0,-0.0953307392246941,-0.462622958928812,0
