,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.0594290459363987,0,0.131865420535759,0.170356700165065,0,0.348047993883721,0,0,0,0.00235628902253264,0,0.133314819745018,0,0,0,0,0,0,0,0,0,0.0110473776198604,0,0.00474190026423593,0,0,0.112229549206542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.13964337698636,0,0,0,0,0,0,0,0.314895214546125,0,0,0,0,0,0.0152248338005113,0.358824639204735,0,0,0,0.00995168094233586,0,0,0,0,8.67361737988404e-19,0.124808649317283,0.0239799312770207,0,0,0,-0.127729013071245,0,0,0.122128393953739,0,0,0.0661836988055844,0,0,0.011640015391222,-0.0457386403773683,0,0,0,0,0.004522347926684,0,0,0,0,0,0
X601939.CH.EQUITY,0.267987596757729,0,0,0,0,0,0,0,0,0,0,0,0,0.414927957156903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19453537353713,0,0.108782501974685,0,0,0.00680488894623804,0,0,0,0,0,0,0.00387848901099829,0,0,0
X601288.CH.EQUITY,0.343771770786401,0,0.0424130111981514,0,0,0.46877673845125,0,0,0,0,0,0,0,0,0.0357294089768652,0,0,0,-2.77555756156289e-17,-0.0109618386340005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11286763010229,0,0,0
X5.HK.EQUITY,0,0,0,-0.0301616556763258,0,0,0,0.16459515837619,0,0.155921111634154,0,0,0.370437073124442,0,0,0,0,0,0,0,0,0.0485915351614677,0.689624841387872,-6.93889390390723e-18,0,0,0.0201865183245905,0,0,0,0,0,0,0.0965698956146452,0,0,0,0,0,0,-0.294771404410467,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.134454048196209,0.0556958675659315,0,0,0,0,0,0,0.113664901047475,0,0.0704831056309309,0,0,0.115572874300646,0,0,0,0,0.0684059895308486,0,0.158395797329446,0,0,0.115066273336421,0,0,0,0,0,0.0231205590035764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110969765995456,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.197053032225869,0,0,0.229187169618895,1.38777878078145e-17,0,0,0,0.17708507180078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149006549287833,0,0.00530075179158916,0.152876065621842,0,0,0.0961322658963247,0,0,0,0,-3.46944695195361e-18,0,0,0.0374014412283254,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.146685704269414,0,0,0,0,0,0,0,0.358923645837714,0.0238539037050876,0,0,0,0,0.180204786957836,0.266881649659038,0,0,0,0,0,0,0.268728404170768,0,0,0,0,0,0,0,0.00966811774650129,0,0,0,0,0,0,0,0,0,0,0,0.0744871171043318,0,0,0
X601628.CH.EQUITY,0.306115250744378,0,0,0,0,0,0,0,0,0,0,0,0,5.55111512312578e-17,0,0,0,0,0,0,-0.0171384961375717,0,0,0,0,0.0823781517715766,0,0,0,0.0730168954014885,0,0.267095191930024,0,0,0,0,0.177793416373598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.144918119936425,0,0,0,0,0,0.202769143792832,0,-0.0846090497405701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20471468330564,0,0,0,0,0,0,0,0,0.677142992535051,0,0,0,0,0,0.520804910383858,-0.138404721763809,0,0,0
