,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.243679646276164,0,0.178333632738376,0,0,0,0,0,0,0.198905941035309,0,0,0,0,0,0,0,0,0,0,0,0.049204172794282,0,0,0,0,0,0,0.129523566891331,0,0,0,0,0,0,0,0,0,0,-0.0640383466035748,0.0398866155525964,0,0,0,0,0,0,0.023285687380407,-0.0109054950847027,0,-0.209680943281827
X601939.CH.EQUITY,0.453940148136527,0,0,0.0808896809583164,0,0,0,0,0,0,0,0,0,0.103458262973203,-0.149120838997315,0,0,0,0,0,0,0,0,0,0,0.269586531602718,0,0,0,0,0,0,0,0,0,0,0,-0.0210394341009501,0,0,0,0,0,0,0,0,0,0.142319280580194,0.0714814952252623,0,-0.0749570442246355,0
X601318.CH.EQUITY,0,0,0,0,0.152115166501465,0.160675004362274,0,0,0,0,0,0,0.0309731349727221,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.136964652411634,0,0,0,0,0,0.0569381609425964,0,0.0308150399255032,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.29642480988434,0.0946629519054564,0,0,0.174283930942174,0,0,0,0,0,0,0,0,0.185006109282587,0,0,0,0,0.0448310186616483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119221392246963,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.240271719989214,0.0407753728284083,0.303422740177997,0,0,0,0,0,0.253468248350001,0,0,0,0,0,0.122915679848177,0,0.0930262039273399,0,0,0,0.0130894841290777,0,0,0.122129340830232,0,0.132438991883331,0,0,0,0,0,0,0,0,0,0,-0.6177166720495,0,0,0,0,0,0,0,0,0.0771864032981529,0,0,0,0,0
X600036.CH.EQUITY,0,0.0497356473339416,0,0,0,0,0,0,0,0,0,0,0.169962012239887,0,0,0,0,0.0286759610017344,0,0,0,0,0.207888233329645,0.0133222493768188,0,0,0,0,0,0,0,0,0.357856702026107,0,0,0,0,0,0,-3.46944695195361e-18,0,0.112146250098863,0,0.142508416348515,0,0,0,0.0028507237256024,0,0,0,0
X1299.HK.EQUITY,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.212712225115564,0,0,0.434887920551538,6.93889390390723e-18,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0708877243005617,0,0,0,0,0,0,0,0,0,0,0.0405805293098921,0,0.0777521349194106,2.16840434497101e-19,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.181497029680702,0,0,0,0,0.226231362649543,0,0,0,0.0659008756027618,0.000566820805675446,0.206388513934598,0,0,0,0,0,0.0660939993500623,0,0,0.0479984443558216,0,0,0,0,0,0,0,0,0,0.222882758650378,0,0,0,0,0,0.0868217787047217,0,0,0.0771281905939578,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363041620748175,0,0,-0.0781773693335529,0,0,0,-0.405456192643432,0,0.629779554417928,0,0.0661278580007786,0,0.695753463613482,0,0,0,0,0,0,0,0,0,0,0.0433631222816394,0,0,0,0,0,0,-0.135913218946036,0,0.257831407142272,0,0,0,0
X601658.CH.Equity,0,0,0,0.0780688411085083,0.0729990631970509,0,0,0,0,0,0,-0.0453969686495362,0,0.0980937194026296,0,0,0,0.143785582784372,0,0,0.289179443094708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318551592176396,0,0.109528399010623,0,-0.150135011463805,-0.154209185459993,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0
