,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.363155737055916,0,0,0.097132118870146,0,0.314044777348321,0,0,0.106712226113609,0,0,0,0,0,0.0904321994999131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152449496212974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.421354145671563,0,0,0.0415346541407602,0,0,0,-0.113952131988247,0,0.0468738665128511,0,0,0.431418487480917,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0487567864012246,0,0,0,0,0,0,0,0,0.0481109079406981,0,0,0,0,0,0,0,0,0,0,0.0270755262105643,0,0,0.039265777186128,0,0
X601318.CH.EQUITY,0,0,0,0.0482030706682916,0,0,0,0,0,0,0,0.366296129604997,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0150537296777936,0,0,0,3.30348004132976e-05,0,0,0,0,0,0,0,0,0,0,0,0.0791230575275648,0,0.0607991820564004,0.170572387826035,0,0,0,0,0,0.152529328036066,0,0,0,0,0,0
X601288.CH.EQUITY,0.415466847184964,0,0,0,0.400639168188991,0,0,0,0,0,0.0655557891297578,0,0,0,0,0.0697562587073629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340616325225895,0,0,0,0,0,-0.014539589203795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.27740912572604,0,0,0,0,0,0.00161758387124183,0,0,0,0,0,0,0,0.136260880048419,0,0.135298553159566,0,0,0,0,0,0,0,0,0.00147519508537306,0,0.0662530688084497,0,0.0119458617166525,0,0,0,0.0468225154647598,0,0,0,0,0,0,0,0.165843585764977,0,0.149504918281883,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309021499757489,0,0.111589425380243,0,0,0.00510614306270191,0,0,0.411142181265147,0,0.142389826106607,0,0.501469657506018,0.138339912995711,-0.552210343508611,0,0,0,0,0,0,0,0,0,0,0,-0.0289686400284253,0,0.157652994029436,0,0,0,0,0,0,0,-0.0383845794853692,0,-0.148297545838113
X600036.CH.EQUITY,0,0,0.0284392086503994,0,0,0.0493971890388913,0,0,0,0,0,0.333139097270635,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0250573895682046,0,0,0.0897878362019839,0,0.00155906909198993,0,0,0,0,0.132536331357317,0,0,0,0,0,0,0.0718292843377208,0,0,0,0,0,0,0,0,0.275816144149298,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0251710141584252,0.0607543465241048,0,0,0,0,-1.38777878078145e-17,0,0,0,0.280350026101484,0,0,0,0,0,0.149273356054605,0,0.0570062199337186,0,0,0,0.136494150291524,0,0,0,0,0,0,0,0,0.204392934412867,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0
X601628.CH.EQUITY,0.113546998371195,0,0,0,0,0,0,0,0,0,0,0.0281655204049634,-4.33680868994202e-19,0,0,0,0,0.195204810993861,0,0,0.0384972176139024,-3.46944695195361e-18,0.235795316837435,0,0,0,0,0,0,0,0.059220205575561,0,0,0,0,0,0,0,0,0.131956241751748,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0224633002262736,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110733544779952,0,0,0,0,0,0,0,0.0461983548713475,0,0,0,0,0,0,0.430525857527833,0,0,0.200226892713062,0,0,0,0,0,0,0.0594795476562071,-0.394418705575505,0,0,0,0,0.737809995178171,0,0,0,-0.0208845803364304,0
