,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.287906021882131,0.0220219196900242,0.0336903872671821,0,0,0.435606596099997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10167108179085,0,0.0426300359201513,0,0,0,0,0,0,0,0,0,0,0.0794911252871788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.0978797822076778,0.0699113665836649,0,0.17175940047294,0,0,0.164916021313337,0,0,0,0.0921583771988575,0,0.109632834139815,0,0,-6.93889390390723e-18,0,0,0.267147867685928,0,0,0,0,-0.0107061440464935,0,0,0.124579254539868,0,0.113992909013238,0,0.0196596018299742,0,0,0,0,0,0,0,0,0.031640806206175,-0.149536946012065,0,0,0,0,0.0638055816313354,0,0,0,0
X601939.CH.EQUITY,0.454751803613738,0.131294794350877,0,0,0,0,0,0.243593718199709,0,0,0,0,0,0,0,0,0.0117106617782332,0,0,0,0,-0.137378936003269,0,0,0,0,0,0,0.15986762548616,0,0,0,0.117937164960762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117296008196832,0.159906957010473,0
X600036.CH.EQUITY,0,0,0,0,0,0.208739937108145,0,0.100493503776805,0,0,0,-0.0690371397588605,0.177439755672609,0,0,0.0770257558068196,0,0,0,0,0,0,0,0,0.0655357392793779,0,0.0898147117627623,0,0.0608249660987713,0.041762382342334,0,0,0,0,0,0,0,0.00552991401163745,0,0,0,0,0,0,0,0,0,0,0,0.38329795477127,-0.0489804941819427,0
X601288.CH.EQUITY,0,0,0.0631424625184604,0,0,0,0.0237017596036029,0.475567707514248,0,0,-0.0552856889769452,0.0695606827530266,0,0,0.072654050332674,0,0,0,0,0,0,0,0.0697811926100445,0,0.00768213488852671,0,0,0,0.0922999059007596,0,0,0,0.0213874871358564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281790023901643,0.107301861781856,0,0,0
X1299.HK.EQUITY,0,0,-0.0796787057819093,0,0,0,0,0,0,0,0.120598720567071,0,0,0,0,0,0,0,0,0.175502369677096,0,0,0.178704820406729,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0183914863833958,0,0,0.18390580793983,0,0.0808088437705138,0,0.178666067483177,0,0,0,0.143458079474272,0,0,0,0,0
X601628.CH.EQUITY,0.0495057253100997,0,0,-0.0131951676987482,0,0,0,0,0,0,0.00910149304320973,0,-0.0940698480592803,0,0,-0.227632498074382,0,0,0,0,0,0.186698933663057,0,0,0,0.137831961120811,-0.0653494891992656,0,0,0,0,0,0,0.0741631402941339,0.564299679340814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546773546783862
X601988.CH.EQUITY,0.0494840566576493,0,0.0906738959545096,0,0.358089359139866,0,0,0,0,0,0,0,0.213223297382603,0,0,0,0.141718395252085,0,0.0199184307374284,0,0,0,0.0116947027310627,0,0.0251744194780503,0,0,0,0,0,0.122669065966974,0,0,0,0,0,0,0,0,0,0,0,0.00843869903438523,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.12334683444123,0,0,0,0,0,0,0,0,0,0,0.00282355080922459,-0.0944764892282386,0,0,0,0,0,0,0.23392827102694,0,0.190218299688094,0.140197639645541,0,0,0,0,0,0,0,0,0.0600226419752617,0,0,0,0,0,0.19778563562327,-0.063219674441819,0.0620778945013847,-6.93889390390723e-18,0.257946635112575,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0480309431854423,0.0604862810146765,0,0,0,0,0,0,0,0.0722317221997526,0.145928668126383,0,0,0.08062379968571,0,0,0,0,0,0,0,0,0,0,0.159022967646337,0,0.38497825763166,0,0,0,0,0,0.028927283355363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
