,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.205529476843939,0,0.0734738118283688,0,0,0,0,0.282187552279149,0.0559711159181776,0,0,0,0,0,0,0,0.168143677305945,0,0,0,0,-0.00416636565693177,0,0,0,0,0,0,0,0.12431505615705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370073536678999,0,0,0,0,0.0163859322967352,0
X601939.CH.EQUITY,0.458483373463123,0,0,0.0178357643624874,0,0,-0.0321420244218363,0,0,0,0.191749528453078,0,0.228199959532265,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862140709354562,0,0,0,0,0,0,0,0,0,0.000188335668771968,0,0
X601318.CH.EQUITY,0,0,0,0,0.14816451182442,0,0,0,0,0,0.00573460084819226,0.287472823480299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241653507378286,0,0,0,0,0,0,0.00686959858051907,0,0,0.0738477717429958,0,0,0.0691909860722673,0,0,0,0,0
X601288.CH.EQUITY,0.424706284532105,0,0.0177716179016405,0,0.209135947279113,0,0,0,0,0,0,0,0.0162826557871859,0,0,0,0,0,0,0.0720314184299099,0.119515946579721,0.0417455417649197,0,0,0,0,0,0,0,0,0.0183802681122296,0,0,0,0,0,0,0,0,0,0.0307783036614562,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0586320131899875,0,0.228682975246204,0,0,0,0,0,0,0.1629859396867,0.223915960387269,0.125240784783121,0.0828249294358073,0,0,0.0248436904066073,0,0,0.0555436689111515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05650100565714,0,0,0,0,0,0,0,0,0,0,-0.0942133561187164,0
X600036.CH.EQUITY,0,0,0.0196609344102839,0,0,0,0,0,0,0,0,0.409571068856041,0,0,0,0,0,0,0,0,0,0,0.0527905766034461,0.0138072110035432,0.126798096259507,0,0,0,0,0,0,0,0,0,0,0.0863293017559446,0,0,0,0.0580437570259459,0,0,0,0,0,0,0,0,0,0.265162483595709,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.117635429939635,0,0,0,0,0,0,0,0,0,0,0,0.00564785077614251,0,0,0,0,0,0,0,0,0.074373379882204,0,0,0.158495730657838,0,0.0455335466453391,0,0,0.1984930811111,0,0,0,0,0,0,0,0,0,0,0,0,0.199582869779804,0,0,0,0
X5.HK.EQUITY,0,-0.164289380360894,0,-0.11234204080687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21878820928183,-0.793133386817377,0,0,-0.0083296825275431,0.491407252542344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422790085042415,0,0,0,0,0,0,0,0,0,-0.0878342764413046
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.147082164059747,-6.93889390390723e-18,0,0,0,0,0.0896155653116527,0,-6.93889390390723e-18,0.186060017449011,0.116843433812749,0,0,0,0.163600637055333,0,0,0,0.0394886939193496,0,0,0,0,0,0,0,0,0,0,0.0327969465473074,0,0,0,0,0,0,0,0,0,0.0505435087891979,0
X601658.CH.Equity,0,0,0,0.349183840475666,0,0,0,0.0706553232203922,0.0994557583929078,0,0,0,0,0,-0.340507778932331,0,0,0,0,0,0,0,0.0868578094174989,0,0,0,0,0,0,0.726233963394792,0,0,0,0,0,0,0,-0.0161085318840372,0,0,0,-0.12275460571458,0,0,0,0.475006731190582,0,0,0,-0.117747345071358,0,0
