,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00614845216265852,0,0,0,0,0,0,0,0,0.25459854457051,0,0,0,0,0.353443745598577,0,0,0,0,0,0,0,0,0,0,0,0.125474260689958,0,-0.240386037886235,0.49901984289014,0,0,0,0,0,0,0,0,-0.0256707132051228,0.112945883170237,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0219343663091964,0,0.171753468431318,0,0,0,0,0,0,0,0.0312584790998883,0,0.0695775308877363,0,0.0521739640992627,0,0,0,0,0.144564192337823,0,0.0612534604227967,0,0,0,0,0,0,0,0.207520427980809,0,0,0,0.147719949777408,0.0764494874417553,0,0,0,0.112082024133191,-0.0469693128730554,0,0,0,0,0
X601939.CH.EQUITY,0.206479812483969,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0519201993286558,0,0,-0.00979645078672539,-0.147730429469198,0,0,0,0,0,0,0,0,0,0,0,-0.0631699725458574,0,0.503718198599756,0,0,0.161453464887116,0,0,0,0,0,0.0116732138318324,0
X601288.CH.EQUITY,0,0,0,0,-0.169125419031365,0,-0.00962523167599456,0,0,0,0.432461079377654,0,0,1.73472347597681e-18,0.35927940130254,-0.118705435374699,0,0,0,-0.152705327050753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169369297136636,0,0,0.046402371028132,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.135547745108556,0.403615941165774,0,0,0,4.33680868994202e-19,0,0,0,0.18224684393151,0,0,0,0,0,0,0,0.0608260224742748,0,0,0,0.0351222099712585,-0.133449928411631,0,0,0,0,0,0,0,0,0,0.0692474310869292,0,0.158503992810462,0,0,0,0,0,-0.171525441096298,0,0,0.118254408631944,0,0
X601988.CH.EQUITY,0,0,0,0,0.273229541599313,0,0.0429979388420161,0,0.0430414513647242,0,0.109109860293445,0,0,0,0.130647125020324,0,0,0.0968076126397943,0,-0.0307367189450596,0,0,0,0,0.0495634032310208,0,0,0,0,0,-0.270044380570342,0,0.107274396026175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880613865625754,0
X1299.HK.EQUITY,0,0,0,0,0.284775963767629,0,0,0,0,0,0,0,0,0,0,0,0,0.129041262626246,0,0,0.060210018761517,0,0,0,0,0.0682766917821181,0,0.120647529929425,0,0.0946054431565851,0,0,0,0,0,0,0,0.311317321480591,0,0,0,0,0,-0.202480249725863,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.266598025173054,0,0,0,0,-0.00681468237524328,0,0,0.395462272814257,0,0,0,0,0,0.0701883741675696,0,0,0,0.295319049883078,0,0,0,0,0,0,0,0,0.154491044539825,0,0,0,0,-0.124290700917946,0,0,-0.181984249130212,-0.0577054854678178,0,-0.0441187758774523,0,0,0,0.21835281475899,0,-0.0281554731499139,0,0,0,0,0
X601628.CH.EQUITY,0,0.181414858771571,0.0166011976547827,0.0831044512789919,0,0,0,0,0,0,0,0,0,0,0,0,0.212998193644576,0,0,0,0,0,0,0,0.0389195646847712,0,0,0,0,0,0,0,0,0,0.229306187400509,0.0192352925623409,0,0,0,0,0,0.0970762940012218,0,0.0930516463309144,0.112904177768903,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.755856725106646,0,0,0,0,0,0,0,0,0,0,0,0.147907754408771,0,0,0,0,0,0,0.0386969590903639,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.00949264919326413,0,0,0.0207241446429841,0,0.00343450088447035,0,-0.204210794094027,0,0,0,0.051777163752075,0
