,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.0146651439626427,0,0.151890095097768,0,0.0111767027452975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675460592671817,0,0.25933276578387,0,0,0.0584183238635262,-0.124469976845166,0,0,0,0,0,0.269340304092554,-0.193662862390887,0,0,0,0,0,0,0,0,0,0,-0.139056917837545,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.150293271420596,0,0,0,0,0.0850281771025536,0,0.00165126733766193,0,0,0,0,0,0,0.261555869123979,0,0,0,0,0,0,0,0,0.0987213472553526,0.0449944244848337,0,0,0,0,0,0,0,0.240380264497064,0,0,0,0,0,0,0,0,0.016896021590065,0.00970586564308595,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.847971199693107,0,0,0,0,0,0,0,0,0,0.0499145050218364,0,0,0,0,0,0.0354586206127213,0,0.0205547583627931,0,0.0447261589079999,0,0,0,0,0.0847159984103562,0,-0.121886631142227,0,0,0,0,0,-0.00938551272988627,0,0,0,0,0.076349689026617,0,-0.0648160525384865,0,0,0,3.46944695195361e-18,0.0212750987168781,0.0393238042967897,0,0
X601288.CH.EQUITY,0.0102868429991718,0,0.895157906834684,0,0,0,-0.0633952936596449,0,0,0,0,0,0.00412134517733477,0,0,0.0426235872408506,0,0.106435352683432,0,0,0,0,0,0,0,0.0516354037439158,-0.0617307343755713,0,0,0,0,0,0,0,0,0,0,0,-0.0958193111063026,0,0,0,0,0,0,0,0,0,0,0,-0.0464219729368711,-0.0100271155789071
X601988.CH.EQUITY,0,0,0,0,0,0,-0.0170259492462154,0,0,0.000611137076221581,0,0,0,1.18310947135861,0,0,0,0,0,-0.242569324203921,-0.205276426991382,0,0,0,0,0.0443100473254445,0,0,0,-0.132844452128215,0,0,0,-0.0424656705829307,0,0,0,0,0,0,0,0,0,0.0143334102074695,0.0519235556902316,0,0,0,0,0.0459380864113194,0,0
X600036.CH.EQUITY,0,0,0.280327591995909,0.0981279615477422,0,0,0,0.0167657030819749,0.0194294600367325,0,0,0,0,0,0,0,0,0,0,0.0265164703154687,0,0,0,0,0,0.0662505678292025,0,0,0,0.103887857144294,0,0,0,0.363460788842799,0,0,0,0,0,0,0,-0.0559614410148207,0,0,0.0629685596501809,0,0.0708254146336983,0,0,0,0.064188055661515,0
X601628.CH.EQUITY,-0.00675961595822418,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0161012420862526,0.681363917153915,0,0,0,0,0,0,0,0,0,0,0.0830623219371623,0,0,0,0,0,0,0.0793917930770198,-0.084927444968147,0,0,0,0,0,0,0.300453904162277,0,0,0,0.299602390774591,0,0,-0.213430837035499,0,0,0,0,0,0.0768631683150389,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.185887473241065,0,0,0,0,0,0,0,0,0,0,0,0.157151619442395,0.0638004212257889,0,-0.139602820592841,0,0,0,0,0,0.019998880690165,0.152486430332072,0,0.185259119801588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440394988411672,0,0,0,0.0847145251495915,-0.0116640015745627
X5.HK.EQUITY,0,0,0,0,0,0,-0.246245600220881,0,0,0,0.0737706354960567,0,0,0,0,0.275036187969305,0,0,0,0,0,0.0692529131987746,0,0,0.270329819028129,0.123954770470289,0.120453895145485,0,0.187194437200831,0,0.134254711397147,0.0505779936151738,0,0,0,0,0.210025217586848,0,0,-0.17186078155239,0,-0.0530461807216625,0,0.156577352457426,0,0,-0.280648452910026,0,0,0,0.252299080587271,0
X601658.CH.Equity,0,0,0,0.232063372985847,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22541428482605,0.0572972913990059,-2.16840434497101e-19,-0.113665766320243,0,0,0,0,0,-0.13188536488682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387825152372186,0,0,0.0642839073330791,0,0,0,0,0,0
