,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0.144714006464286,0,0,0,0,0.0981829764816357,0,0,0,-0.0611548225693795,0,0,0,0,0,0,0,0,0.240816603409449,0,0.0130135169535506,0,0,0,0,0,0,0,0,0,0.0434569184630984,0,0,0.118625254792465,0,0,0,0,0,0,-0.0579839826323455,0,0,-0.116951252088183,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.149201393800919,0,0.0784597617579727,0,0.281408629414127,0,0,-0.0293579205081663,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0808754003217,0,0,0,0,0,0,-0.260868073881236,0.32611798467477,0,0.181050424739425,0,0,0,0,0,0,-0.0442069091572472,0,-0.0245661734845217
X601939.CH.EQUITY,0.319322526460477,0,0,0,0.0817405159394913,0,0,0,0,0,0,0,0,0.153164280561537,0,0,0,0,0,3.46944695195361e-18,0.0737182591035151,0,0,0,0,0.150946037350553,0,0,-0.00513306761985152,0,0,0,0,0.108214867899588,0,0,0,0,0.041409877382697,0,0,0,0,0.112543776247585,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.211465545114473,0.0654587296951949,0.0928276588875055,0,0.028408509034942,0,0,0,0.027492800022151,0,0,0,0,0,0,0,0,0,0,0,0.0836397075177553,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279522084732682,0,0,0,0.188403569961397,0,0,0.27160909553885,0,0,0,0,0,0.147442682129638,0,0,0
X5.HK.EQUITY,0,-0.154542033751321,0,0.383872278043773,0,0,0,-0.258647432506671,0,0,0.0218426038543827,0,0,0,0,0,0,0,0,0.113199606022816,0,0,0.514911471973762,0,0,0,0,-0.0525338711973573,0,0,0,-0.117591303361579,0,0,-0.103376626747823,0,0,0,0.0218185537569514,0,0,0,0.174830680521922,0,0,0,0,-0.157440056056579,-1.73472347597681e-18,0,-0.119174071616486
X601988.CH.EQUITY,0.0742785261013135,0,0,0.0615592779110666,0,0,-0.123725411597522,0,0.125024087293823,0.156012065731749,0.319239758438251,0,0,0,0.0305855366495114,0,0,0,0,0,0,0,0,0.256623892170895,0,-0.00164423973779621,0,0,0,-0.0295364038353399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143367489266836,0
X600036.CH.EQUITY,-0.0473431193912658,0.210675323687424,0,0,0,0,0,0,-0.0157792487811358,0,0,0.105451891053727,0,0.264855405079147,0,0,0,0,0.168517597396998,0,-3.46944695195361e-18,0,0.0476688215964576,0,0,0,-0.0492173005622862,0,0,-0.0193589635002526,0,0.144374698614192,0,0,0,0,0.0686238659499567,0,0,0.0734332549884295,0.214774245959678,0,0,0,0,0,0.0489732672137427,0,0,0.0985064070083892,0
X1299.HK.EQUITY,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0241801519102679,0,0,0,0.0833992439403244,0.156806669631051,0,0.227191890656041,0.105073788791811,0.0583423997503696,0,0,0,0,0,0.175562532651143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634277702506904,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.00865120949333117,0,0.0343977956109253,0,0,0,0,0,0,0,0,0,0,0.124721478122462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551996762854279,0,0,0,0,0,0.298596950694371,0,0,0,0,0,0,0,0,0,0.156502504855564,0
X601166.CH.EQUITY,0,0,0,0,0,0.156189404224771,0,0,0,0,0,0,0,0,0,0.256161208324045,0,0,0,0,0,0,0,0,0,0,0.0421456265647792,-0.00563587622240759,0,0,0,0.506113095531768,0,0.175189526037112,-0.0802678757460242,0,0,0,0,0.210116409756806,0,-0.137806327084723,0,0,0,0,0,0,0,0,0
