,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.0871237344178184,0,0.394159233875442,0,0,0.101964099654753,0,0.109086275752104,0,0,0,0,0,0,0.18951335012845,0,0,0,-0.0718653899084192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872281600555946,0,0,0,0,0,0,0,0,0,0,0,0.0661972763625148,0,0,0
X601939.CH.EQUITY,0.223626264677257,0,0,0.0349682896082182,0.0743331161638666,0,0,0,0,0,0,0.06953769682423,0,0.334359968156258,0,0.206693959311286,0,0,0,0,0,0,0,-0.0514670738691523,0,-0.0868198867340202,0,0,0,0,0,0.0636811581236835,0,0.0262512339804703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.0849702756140689,0,0,0,0,0,0.151772540397751,0,0,0,0,0,0,0,0,0.0136597233838794,0,0,0,0,0,0,0.13107999228909,0,0,0,0,0,0,0,0,0,0.158775790327014,0.00134039533898777,0,0,0,0.0289345739207083,0,0.326713643974751,0,0,0.0543514561879101,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.388550224285196,0.0308326610761417,0,0,0.354791343119332,0,0,0,0,0,0.0990901017682883,0,0,0,0,0,0,0.0515619544787941,0,0,0,0,0,0,0,0,0,0,0,0.019550698706586,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.0322587020347506,0,0
X601988.CH.EQUITY,0,0,0,0.27184844250167,0,0,0,0,0,0,0,0,0,0.0883628920718831,0,0.10084515094152,0,0,0,0,0.268000374968929,0,0,0,0.00323575386592165,0,0,0,0,0,0.0383809624560341,0.0509552684677835,0,0,0.122856527406019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.196035464496721,0,0,0,0,0.271137344674936,0,0.0707606315651868,0,0,0,0,0.313390095765632,0,0,-0.209187681209447,0,0,0,0.0979903180563766,0,0,0,0,0,0,0,0,0,0.158746698969836,0,0,0,0,0,0,0,0,0,-0.152368294184033
X600036.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0.0491845843954216,0,0,0,0,0,0.438411796314129,0,0,0,0,0,0,0,0,0,0,0,0.0294789592308597,0,0.0912239158714053,0,0,0,0,0,0,0,0.121533568626268,0,0,0,0,0,0,0.0375606599541747,0,8.67361737988404e-19,0,0,0,0,0,0,0.224540453267655,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.184941649077879,0,0,0,0,0,0,0,0,0,0,0,0.207082896245114,0,0.130949800118614,0,0,0,0.0961296700564604,0,0,0,0.0762600749094484,0,0,0,0,0.147015875521791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.31172823352626,0,0,0,0,0,0,0,0,0,0,0,0.00916015724767739,0,0,3.46944695195361e-18,0.13656705579421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461992647331485,0,0,0.117962055830624,0,0,0,0.164595163431385,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.00525047553671454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.558813121144286,0,0,0,0.330736478035078,0,-0.0586236269684569,0,1.24452811660619,0,0,0,0,0,0,0,0
