,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0138968577071277,0.0837032799849185,0,0,0,0,0,0,0.277098847839478,0.123287697958888,0,0,0,-0.167402770839971,0,0,0,0.0843651213461692,0,0,0,0,0,0,0,0.0487246343721128,0,0,0,0.0367292125619638,0,0.0545370348734821,0,0,0,0,0,0,0,0.257389516263222,0,0,0,0.0425610709916306,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0279237301526408,-1.38777878078145e-17,0,0.244946144401253,0,0,0.275509583066559,0,0,0,0.0752866637784762,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.115238812290099,0,0,0,0,-0.251835466882998,0.107855040900875,0,0,0.179111431259873,0,0,0,0,0,0.088974736885086,0,0
X601939.CH.EQUITY,0.468769162462425,0,0,0,0,0.189653342912983,0,0,0,0,0,0,0,0.0493355149915663,0,0,0,0,0.0090793952815189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372475351063602,0,-0.125523677696381,0,0.0512449845250853,0,0,-0.0393932813439797,0,0,0,0,0
X601288.CH.EQUITY,0.579268783781422,0.0584417400141295,0.063151766499429,0,0.07118007763548,0.0813033988296342,0,0,0,0,0,0,0.0371125010575902,-0.0217211416007892,0,0,0,0,0,-0.0168716928017013,0,0,0,0,0,0.0501481697772894,0,0,0,0,0,0,0.0817807745545351,0,0,0,0,0.1352930400647,0.175988245636298,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0397139061444964,0.199669178906076,0.0808457460945081,0,0,0,-0.160057462707389,0,0,0,0.228819683960488,0,0,0,0,0,0.594566950900862,0,-0.02703181492554,-0.149912498411597,0,0,0.118378897636103,0,-0.118899990193194,0,0,0,0,0,0,0,0,0,0.0440345995838427,0,0,0,0,0,0,0,0.0986577525439884,0,0.157991739556653,0,0,-0.067246626090022,0,0
X601988.CH.EQUITY,0.0858125322333682,0.0227229322757684,0.143227599172689,0.203639299530112,0,0,0,-0.0223811928991953,0.144201582011129,0.0968640015229764,0.1741698493805,0,-0.350630160577242,0,0,0,0,0,0,0,0,0,0.137968860428617,0,0,0.0676233758414852,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0338800652908194,0,0,0,0,0.0426526251498058,0
X600036.CH.EQUITY,0,0.35977079165202,0,0,0,0,0,0,0,0,0,0.183991379948337,0,0.16157560758931,0,0.050785618648973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933593015712584,0,0,0.0138902648802177,0,0,0,0.0934151491327252,0,0,0,0,0,0.0389517992326893,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0682104803309066,0,0,0,0,0,0,0,0,0,0.223365307682976,0.296975072239688,0,0.215875972314792,0,0,0,0,0,0.041733769070111,0,0,0.0358135508152909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.22071563105973,0.150555931229435,0,0,0,0.00522650305335356,0,0,0,0.00710271401410306,0,0,0,0,0,0,0,-0.0711875395366233,0.0399600885277144,0,0,0,0,0,0,0,0,0.145887022722129,0,0,0,0,0.0104271094189743,0,0,0,0,0,0,0,0,0,0,0,0,0.073141607214105,0,0,0,0.349166010377831,0
X601166.CH.EQUITY,0.232958592038375,0,0,0,0,0.106727387901133,0.432564877292668,0,0,0,0,0,0,0.0113573402370732,0,0.391120962937568,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0483800662526288,-0.131881569648949,0.0363465752655399,0,0,0,0,0.0375239647828767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0596570800061492,0,0,0.0948357011167227,0.00673433685916837,0,0,0,0.0225762577999448,0,0.2367752534629,0,0,0,0,0,0,0.228787380526232,-0.118582433352264,0,0.0651569978046334,0.119749893369804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239533272015256,-0.0331996611102265,0,0.185360653415012,0,0.0846787400904894,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.065033659035798,0,0,0,0,0.251840767555716,-0.0311688015252938,0,0,0.384368216877475,0,0,0.064505322260907,0,-0.106202366663145,0,0,0,0,0,0,0,0,0,0,0,0.22203578096268,0,-0.00146609486455657,0,0,0,0.034501319974567,0,0,0,0,0,0,0,0,0,0,0,0,0.0321729702925687,0,0.162619390871673,0,0
X000002.CH.EQUITY,0,0,0,0,0,-0.0185959243223328,0,0,0,0,0,0,0,0,0,0,0.176444083415775,0,0.0744660686418069,0,0.0117438908562979,0.00435798896446711,0,0,0,0.0431198874771106,0.017324001893696,0,0.330632776031906,0,0,0,0.340225371161869,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0.00843741482322756,0,0,-0.000891314794000908,0.123519777385251,0,0
