,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.248641063220544,0,0.0220165804666234,0,0,0,0,0,3.46944695195361e-18,0.253057239575283,0,0,0,0,0,0,0,0,0,0,0,0,0.116593805840176,0,0.0155297435746731,0,0.0933222932986028,0,0.206133962041742,0,0,0,0,0,0,0,0,0,0,-0.0643176188631359,0.0392781891088452,0,0,0,0,0,0,0,-0.0976304703438026,0,-0.2292442649698
X601939.CH.EQUITY,0.154267856149329,0,0,0.351717987000563,0,0,0,0,0,0,0,0,0,0.254180505527075,-0.110786621115472,0,0,0,0,0,0,0,0,0,-0.077548637364689,0.220783233423889,0,0,0,0,-0.0124123696524677,0,0,0,0,0,-0.0205245848822368,0,0,0,-0.0254516380251288,0,0,0,-0.0269907453799903,0,0,0,0.124458600902317,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0937479241439913,0,0,0,0,0,0,0.0897709171609193,0,0,0,0,0.0624435777577071,0.171418838466083,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0360801555918003,0,0.00701027896606203,0,0,0,0,0,0.023740187800215,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.311916259155203,0,0,0.224350989790299,0,0,0,0,0,0,0,0.192367789778392,0,0,0,0,0,0,0.174976800592825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198403357444966,0,0,0,-0.0252651956189112,0,-0.0451733978327314,0,0,0,0,0.00522313189439291,0,-0.0266023078350141,0,0,0,0.0226320294506563
X601988.CH.EQUITY,0,0.170758194013144,0,0.340325905942477,0,0,0,0,0,0.255419403237266,0,0,0,0,0,0.230007197822733,0,0.0566060550502532,0,0,0,0,0,0,0.17941298836858,0,0.0735982237617924,0,0,0,0,0,0,0,0,0,-0.553271428518033,0,0,0,0.0657744564668483,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.17903387449005,0.0164147879311275,0,0,0,0,0,0.0987737933908623,0,0,-0.0295521472870347,0.124275258623995,0,0,0,0,0.169846015748666,0,0,-0.0217683791338763,0,0,0.131450241164403,0.0296167504903122,0,0,0,0,0,0,0,0.367946974243594,0,0,0,0,0,0,0,0,0,0.0310400314488363,0,0,0,0.0615641850022113,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0861041356785226,0,0,0.17546927511311,0,0,0.288849020533544,-6.93889390390723e-18,0,0,0,0.136687936317464,0,0,0,0,0,0,0.0900519931044683,0,0,0,0,0,0,0,0,0,0,0.150651824450928,0,0.0357588749431161,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436568235154326,0,0,-0.0376182563735745,0,0,0,-0.381251570994846,0.61046600717537,0,0,0.0433560676658578,0,0.690244920457752,0,0.0174761920481758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148249777579552,0,0,0.28614409343333,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.234287895497982,0,0,0,0,0,-0.165750113736338,0,0,0,0,0.0885003159947185,0,0,0,0,0.0946439192930495,0,0.0453744215730396,0,0,0,0,0.197515599905229,0,0,0.0229141347582696,0,0,0,0,0,0,0,0,0,0.21145417279584,0,0,0,0,0,0,0,0,0.117006026130841,0
X601658.CH.Equity,0,0,0,0,0.118490356459515,0,0,0,0,0,0,-0.106915674435716,0,0.114736300000562,0,0,0,0.0967924133422554,0.227108013759371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157174709323757,0.323854737534122,0,-0.147221419292395,-0.135904652333108,0,0,0,0,0.1043176459103,0,0,0,0,-5.42101086242752e-20,0
