,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184723317788254,0,0,0,0,0.499096872912569,0,0,0,0,0,0,0,0,0,0,0,0,-0.15585032026172,0,0,0.503661784369697,0,0,0,0,0,0,0,-0.016259246321979,0.0825385024572048,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.136131300358967,0,0.246055313365235,0,0,0,0,0,0,0,0,0.292631487692579,0.0827906810779617,0,0.0429648386998938,0,0,0,0,0.0990975251129258,0,0,0,0,-0.0117446090902293,0,0,0,0,0.0641100905658631,0,0,0,0,0.0263737895462837,-3.46944695195361e-18,0,0,0.0181547056981472,0,0,0.0299402979750491,0,0,0
X601939.CH.EQUITY,0,0,0,0.563314216767346,0,0.0319481146661779,0,0,0,0.312266676198969,0,0,0,0,0,0,0,0,0,0,0.123983522771099,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.0183455828960457,0,0.103901739457022,0,0,0,0,0.0382769109427298,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.398223203496792,0,0,0,0.990266031563333,0,0,0,0,-0.117045163543916,0,0,0,-0.305033177372082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160880772816355,0,0.201041978251824,0,0,0,0,0,0.0181374771716408,0,0,0,0,0.0446946421581433,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.129228088605068,0.384493107036297,0,0,0,0,-0.0335761828411445,0,0,0.2369626029191,0.0823841057421033,0,0,0,0,0,0,0.210660465476175,0,0,0.0520898373935831,0.036528277643587,-0.192803495654079,0,0,0,0,0,0,0,0,0.00256468427172744,0,0,0,0,0,0,0,0,0,-0.228254253959307,0,0.124796961890295,0,0
X601988.CH.EQUITY,0,0,0,0,0.348726087279821,0,0,0,0.106647606055962,0,0,0,0,0,0.0888785469031324,0,0.0291842106446174,0,0,-0.0489428727110968,-0.0654477254941485,0,0,0,0.215999840532662,0,0,0,0,0,-0.214741737670922,0,0,0,0,0,0,0,0,0.0751589613715755,0,0,0,0,0,0,0,0,-0.0354097078568171,0,-0.130122301156696
X1299.HK.EQUITY,0,0,0,0,0.232954689370605,0,0,0,0,0,0,0,0,0,0,0,0.192268914697285,0,0,0,0,0,0,0,0,0.0354743037589617,0,0.0365620910644526,-0.115763224497364,0.0877084776090693,0.0531244073283856,0,0,0,0,0,0.541580917628946,0,0.00215582549999563,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.00965601585509699,0,0,0,0,0,0,0,0,0.438838239361482,0,1.73472347597681e-18,0,-0.0129713669523949,0,0,0,0.227679276648094,-0.0404309998545717,0,0,0,0,0,0,0,0,0,0.00580904581146675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216998458477411,0,0,0,0,-0.1298942623043,0,0,0
X601628.CH.EQUITY,0,0.109846253626436,0,0.00996049472802309,-0.0783842691646904,0,0,0,0,0,0,0.046166945697409,0,0,0,0,0,0.188002883361666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424501709907973,0,0,0,0,0,0.18938002342247,0.0931921988502174,0,0.0714038718612799,0,-0.00672964318566682,0,0,0,0.0216813517481672
X601328.CH.EQUITY,0,0,0.105807378730911,0,-0.0566026371264826,0,0,0.417198757605554,0,0,0,-0.0402498896241694,0,0.472323002663446,0,0,0,0,0,0,0.139156821922306,0,0.0925126451320293,0,0,0,0,0,0,0,0,0,-0.0912671916726387,0,0,0,-0.0947138305671774,-0.192515501922779,0,0,0,0,0,0,-0.0601451850838036,0,0,0,0,0,0
