,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.258837685402974,0,0,0,0.262717523100556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17005342458746,0,0,0,0.0916022780248175,0.03534288604911,0,0.00978396291602534,0.0601940354866645,0,0.0800747223573946,0,0,0,0,0,0,0,0,0,0,0,0,-0.0325304287394323,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.125030881464442,0,0,0,0.00258250460480551,0.131899349546618,0,0.0242671519833358,0,0.175362712890129,0.0751782471268383,0,0,0,0,0,0.210846607212648,0,0.0780892916705871,0,0,0,0,0,0,0.192829309429143,0,0,0.0453660150492574,0,0,0,0,0,0,0,0,0,0,0,-0.0904788717138459,0,0,0.10759318578086,0,0,0.0672637924868472,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.175467983457284,0,0,0,0,0,0,0.21654186909386,0,0.0467068253475826,0,0,0,0,0,0,0,0,0,0.103666236264976,0,0,0.0504174432387657,0.0445397271490859,0,0,0,0.10218952051213,0,0,0,0,0,-0.0960272355192828,0,0,0,-0.0762821244856031,0,0,0,0,0,-0.0597784721949265,0.374026763197295,-0.0548344002206454,0
X601939.CH.EQUITY,0.627222576855851,0.175491700514758,0,0,0,0,0,0,0,0,0.0911121320336676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782200137501574,0,0,0,0,0,0,0,0,0,0,0.176244516617314,0,0,0,0,0,0,0,0,0,0,0.094643099450411,0.0114061499117377,0
X601288.CH.EQUITY,0,0.0716611614240391,0,0.0449486561303534,0,0,0,0.520279771742214,0,-0.0237713574308158,0,0,0,0,0.0215601537213038,0,0,0,0.0836471033727461,0,0,0,0.0160403867168409,0,0.13510124156365,0,0,0.0862997906621733,0,0,0,0,0.107602113704497,0,0,-0.0543912119425393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282900467834936
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.110463434597109,0,0.145917141641873,0,0,-0.00721755525734127,0,0,0,0,0,0,0,0,0,0.167767124702598,0,0,0,0,0,0,0,0,0,0.0505000387982117,0,0,0,0.0317547663217336,-1.73472347597681e-18,0,0.250709748268201,0.094014560952785,0,0.057554725686544,0,0,0,0,0.282763573894856,0,0,-0.111403307332111,0
X601628.CH.EQUITY,0,0,-0.0549872587312437,0,0,0,0,0,0,0.161289937777199,0,0,0,0,-0.0679494032628362,0.13511505082063,0,0,0,0,-0.0325318378762132,0,0.133876706234568,-0.0667640340170925,0,0,0,0,0,-0.0258309577944774,0,0,0,0,0,3.46944695195361e-18,0,0.399279688970136,0,0,0,0,0,0.0101803666161633,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.204468234069809,0,0,0,0.409014570016377,0,0,0,0,0,0,0.071520487493477,-0.0514049117067659,0,0,0,0,0.103856545493284,0,0.0940282636292794,0,0,0,0,0.0333451621723803,0,0,0,0,0,0,0,-0.178761156099156,0,0,0,0,0,0,0,0.0859701753342767,0,0,0,0,0.0631578411598194,0,0,0,0,0,0
X5.HK.EQUITY,0,0.240845808184224,0,0.0325128455279836,0,0,0,0,0,-0.121303012546171,0.0376352463893799,0.0828463329185076,0,0,0,0,0,0,0,0,0,0,0.295086689034692,0,0,0,0.144679716253059,0,0,0,0,0,0.0489816562908972,0,0.0605897038746355,0,0,0,0.225160580633689,0,0,0,0,0,0,0,0.0439669132851868,0,0,0,0.0590196366873845,0
X388.HK.EQUITY,0,0,0,0,0,0.120483849046319,0,0,-0.108329067369635,0,0,0,0,0,0,0,0.268196965091205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.308327019354567,0,0,0,-0.100105796341995,0.290842693537295,0,0,0,0,0.00827412965895342,0,0.0209634419516003,0,0.102435877723614,0,0,0,-0.0642513244356559,-0.510623253011505
