,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.521291340590027,0,0,0,0.122279299663187,0,0,0.050986900901015,0.0496940324561766,0,0,0.16970615721507,0,0,0,0.0361652789652913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253380058783296,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.138634403060837,0.271478163761634,0,0,0,0.0338878158062956,0,0,0,0,0.315411264194568,0.0930382603908345,0,0.0647108559674942,0,0,0,0,0.0462316376191538,0,0,0,-0.0474802338647295,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0677964509404708,0,0.000619680106312668,0,0,0,0,0.00177655256374375,0,0,0,0
X601939.CH.EQUITY,0.447425184187736,0,0,0.261884898511328,0.150687034299186,0.0226193736223511,0,0,0,0,0,0,0,-0.00267707019344721,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.197742488313914,0.109792715453442,-0.161676908261782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164344226912714,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.21717348851089,0.103833303509011,0,0.853523769620432,0,0,0,0.0685483596381655,0,0,0,0,-0.139270715908299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581130191825054,0.0238042107053381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.286611254992223,0,0.0870271914293529,0,0,0,0.0761053978114392,0,0,0,0,0,0,0.166465389988359,-0.199465279538593,0,0,0,0,0,0.0397980285421249,0,0,-0.0247994701624095,0,0,0.0193501607537496,0,0,0.201137031820721,0,0,0,0,0.387275880143988,0,0,0,0,0,0,0.195672723698297,-0.141014853158638,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.297620388155681,0,0,0,0.15254759736226,0,0,0,0,0,0,0.0360724695276088,0.0940953368796474,0,0,0,0,0,0,0,0.0589790428218153,0,0,0,0,-0.187030929582497,0,0.102517562015902,0,0,0,0,0,0,0,0,0,0.0495631940103092,0,0,0,0,0,0,0,0.0807977290562373,-0.0704415680679184
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.102938574462724,-0.0483297694079627,-0.0362889709180783,-0.0137015150380584,0.0984307888768751,0,-0.107001738809348,0,0,0,0,0,0.516779442271636,-0.0425095318794678,0,0.0851265729988526,0,0,0.138091422315005,0,0,0,0,0,0.0284761602371075,0,0,0,0,0.0266769713598793,0,0.242977983897261,0,0,0.097078177079656,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.234147971900046,0,0,0,0,0,0,0,0,0,0,0,0.141184739685616,0,0,0,0.033112994995629,0,0,0,0,0,0.0353043637307981,0,0.033519316091809,0,0.0234570723522591,0.285148161128524,0,0,0.17697255308358,0,0,0,0,0,0,0,-0.0556612651120068,-0.225472785382463,0,0.077320428394595,0,0,0,0,0
X601628.CH.EQUITY,0,-1.73472347597681e-18,0,0.0318335818568755,0,0,0,0,0,0,0,0,0.132119335541526,0,0,0,0,0.409292285097456,0,0,0,0,0,0,0.00350074365847522,0,0,0,0,0,0,0,0,0,0,0.0655501474598269,0.182434670741789,0,0,0,0.190274109928793,0,0.0782384849049294,0.0490411584721922,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.00558997337611953,0,0.414405373263648,0,0,0,0,0,0,0,0,0.412334475469855,0,0,0,0,0,0,0,0,0,0.0544890775763429,0.0493387415235434,0,0,0,0,0,0,0,0,0,0,0.0136728072751454,0,0,0,0,0,0.0924975599276771,0,0,0,0.229806976891777,0,0,0.0626671697083542,0,0,0,0
