,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204243168352687,0,0,0,0.197886382723116,0,0,0,0.480531853375136,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154790367361888,0.492684179678857,0,0,0,0,0,0,0,0,0,0.101321407972425,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256410117548877,0.0170719635402644,0.0860989219939333,0,0.0467052677173501,0,0,0,0,0.116175778221511,0,0,0,0,0,0,0,0,0,0.253836378462894,0,0,0,0.19923160415886,0,0.0208045999775447,0.0680855726591617,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.576660335171648,0,0,0,0,0,0,0,0,0.05034671974299,0,0,0,0,0,-3.26056943310459e-05,-0.0306265700442528,0,0,0.232680410456117,0,0,0.0148627630787287,0,0,-0.100526178575901,-0.513383302359021,0,0,0,0,0,0,0,-0.140098024302533,0,0,0,0,0,0.543399100306444,0,-0.0870397050510863,0,0,0.171584579443529,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0516369629700638,0,0.153100239649117,0,0.25888384949588,0,0.0217841563619758,0,0.350904149339487,-0.103165247448262,0,0,0,0,-0.0747061877918126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0592229120521734,0,0,0,0.17235661979244,0.368900269572569,0,0,0,0,0,0,0,0,0.0168100580387084,0,0,0,0,0,0,0,0,0,0,0,-0.208011603833223,0,0,0,0,0,0,0,0,0.120806666115533,0,0,0.298650484109134,0,0,0,0,0,-0.0881793436462558,0,0,0.0487546224286838,0,0
X601988.CH.EQUITY,0,0,0,0,0.306673968195565,0,-4.33680868994202e-19,0,0.114426166160841,0,0.108643090543641,0,0,0,0.1498125206664,0,0,0.0564784303423172,0,0,-0.0681682381835784,0,0,0,0.09030051433164,0,0,0,0,0,-0.243271260871457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0972959921279113,0
X1299.HK.EQUITY,0,0,0,0,0.18163510000013,-0.0260374788812153,0,0,0,0,0,0,0,0,0,0.0810050553530702,0,0.138466592933678,0,0,0,0,0,0,0,0.0758654684792909,0,0,0,0.116697333790598,0,0,0.0656111093188851,0.0333127962677674,0,0,0.45750845919869,0,0,0,0,0,0,-0.187765408975362,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0489788864633277,0,0,0,0,0,0,0,0.502178466467261,0,0,0,0,0,0.0195487715942003,0.089401887937477,0,0,0,0.260580067500067,0,0,0,0,0,0,0,0.167655295927181,0,0,0,-0.243538592660026,0,0,0,0,-0.18425836105642,-0.0106350669179963,-0.0327937963692915,0,0,0,0.19108897897605,0,-0.0207438579839908,0,0,0,0.0561826932816929,0
X601628.CH.EQUITY,0,0.165863947902854,0,0.0737775000061961,0,0,0,0,0,0,0,0,0,0,0,0,0.139702176977979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.176079158389594,0.135550895185968,0,0,0,0,0,0.155542754026901,0.105934450978969,0.136139156035035,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0246231898286334,0,0,0,0,0.70316358343692,0,0,0,0,0,0,0,0,0,0,0,0,0.100110247461733,0,0,0,0,0,0.0135937503172863,0,0,0,0,0,0,0,0,0,0,0,-0.0281354434500692,0,0,0.0227665641376595,0,0,0,-0.154864007388651,0,0,0,0.0282545715686294,0
