,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0511938920047321,0.205370558622127,-8.67361737988404e-19,0.0415860346090952,0.028633027350689,0,0,0,0,0,0,0,0,0,0,0.201242971126258,0,0,0,0,0.0223863483609217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0624943682760441,0.00258762698799673,0,0.0292563061578189,0,0,0.102086285012406,0,-0.0353139766338953,0
X601318.CH.EQUITY,0,0,0,0,0.0841224000922398,0,0,0,0.133997077323952,8.67361737988404e-19,0,0,0.0809586136269023,0,0.0750492212282859,0,0,0.0549427896992447,0,0.210101917287062,0,0.125828785073032,0,0,0,0,0,0,0,0,0.153738934412775,0,0,0,0,0,0,0.0615442613841678,0,0,0,0,0,0,0,0,0,0,0,0.0695611034259092,0,0
X601939.CH.EQUITY,0,0,0,0.0764851187078728,0,0,0,0,0,0,0.109034766249414,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.640811029527284,0,0.150099602002898,0,0,0,0.0821483857692486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,2.16840434497101e-19,0,0.14172341335222,0,0,0.0761180298581313,0,0.39688611805121,0,0,0,0,0,0,0.0641571906736962,0,0,0,0,0,0,0,0,0,0,0,0,0.152931397469958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256206632277347,0,0,0,-0.0733652413722018
X600036.CH.EQUITY,0,0.131503972154421,0,0,0,0,0.200209665974475,0.0223896684171995,0,0,0,0,0.173525405370728,0,0,0.127109379912469,0,0,0,0,0,0,0.175573114463141,0.24581865004813,0,0,0.00129239835519209,0,0,0.0372775038913215,0,0,0,0,0,0,0,0.00461091030154494,0,0.0711903844321015,0.0196388484400431,0,0,0,0,0,0,0,0,0,-0.0669115987167229,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106759752456351,-0.0140923537798097,0,0,0,0,0.209309037626944,0,-0.0957689504279548,0,0,0,0,0,0.0141560763372612,-0.0191761857715048,6.93889390390723e-18,0,0,0.707950821358454,-0.0286623877869711,0,0,0,0,0,0,0.105567343580453,0,0,-0.0756709353567867,0,0.179961142552561,0,0,0,-0.0430002299910937
X1299.HK.EQUITY,0,0,-0.0956303606286279,0,0.114058753641714,0,0,0,0,0,-3.46944695195361e-18,0.19243102786888,0,0,0,0,0,0,0,0,0.138957683998312,0,0,0,0,0,0.164629215383487,0,0,0,0,0,0.0493454956921859,0,0,0,0,0,0,0.0329719348133357,0.132642760201619,0,0.0862729352511578,0,0.048959324739588,0.118277169391254,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.663418356888693,0.158464676823623,0,0,0,0,0,-0.00365415796392227,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0842827334987752,0,0,0.237381608556969,0,0,0.0077611872378556,0,-0.0239328742116913,0,0.100465412233516,0,0.132632577090185,-0.0107737340318033,0,0,0,0,0,0,0,0,-0.0188802497518342,0,-0.032513077134535,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.00957943409558081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131017458988215,0,0,0,0,0,0.0858151753113845,0.180465965673649,0,0.0159979905353151,0,0,0,0,0,0,0,0,0,0,0.342819433524522,0,0,0,0,0,0.152729243829745,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0850497186697678,0,0.0419139176206756,0.0376620990139099,0,0,0,0,0.0348509681723647,0,0.123162970880293,0,0,0.04398062248697,0,0,0,0,0,0,0,0.158185399004632,0,0,0,0.391089044416138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,-6.93889390390723e-18,0,0,0
X601658.CH.Equity,0,0.108613936116559,0,0.0891585240657232,0,0,0,0,0,0.324238724604985,0,-0.0330338023727726,0,0,0,0,0,0,0,0,-0.0650466873401485,0,0,0,0,0,0,0.286996895025312,0.280949405754922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013487107008192,0,0,-0.17517222613242,0,0,0.0375488480531024,0
