,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.125445073713916,0,0,0.0936864387166268,0,0,0,0,0,0.0757144704155171,0,0,0,0,0,0,0,0,0,0,0,0,0.202969702154558,0,0.292544141295225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137102394953968,-0.0432009658253036,0,0,-0.23101157650886
X601939.CH.EQUITY,0.145755993355456,0,0,0.396173791644659,0,0,0,0,0,0,0,0,0,0.115964315976029,-0.0407231727380678,0,0,0,0,0,0.00688966751585646,0,0,0,-0.101848728212558,0.314534756178902,0,0,0,0,-0.130256484978408,0,0,0,0,0,0,0,-0.0190773334069734,0,-0.0424358277241272,0,0,0,0,0,0,0.172437322128631,0,0,0,0
X601318.CH.EQUITY,0.0577067832034747,0,0,0,0.246165620864151,0.187319736645458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107947030275179,0,0,0,0.136947664666332,0.0121640315085939,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0650026797560654,0,0,0,0,0.0466660122334368,0,0,0,0,0,0,0,0,0,0,0,-0.0213552176202958
X601288.CH.EQUITY,0,0.261710116662822,0.0777600554062072,0,0.226069483561823,0,0,0,0,0,0.370477342273799,0,0.174895550780118,0.043801582506658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176067319797782,-3.46944695195361e-18,0,0,0,0,0,-0.0427059886496372,0,0,0,0,0,0,-0.123689086063376,0,-0.0600183042109819,0,0
X601988.CH.EQUITY,0,0.122453658319523,0,0.370393284869659,0,0,0.00368111735060731,0,0,0.277421480668757,0,0,0,0,0,0.106265523976911,0,0.102350502352411,0,0,0,0,0,0,0.1783098204225,0,0.086382462376263,0,0,0,0,0,0,0,0,0,0,0,-0.587590320756645,0,0,0,0,0,0.0748444643634692,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.175170416932578,0,0,0,0,0,0,0.0971866722915375,0,0,0,0.0354382032652358,0,0,0,0,0.17521290786659,-0.00178769750020197,0,0,0,0,0.181219471475349,0,0,0,0,0,0,0,0,0.369988061050023,0,0,0,0,0,0,0,0,0,0.0429920537695414,0.0083116981940022,0,0.0893698153388835,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131097448261174,0,0,0.373020989319932,8.67361737988404e-19,-3.46944695195361e-18,0,0,0,0.00749409220919766,0,0,0,0,0,0,0,0.0441561952304549,0,0,0,0,-2.16840434497101e-19,0,0,0,0.291457275168127,0,0,0.0289319712121197,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104584495896772,0,0,-0.0110928829628606,0,0,0,-0.356866284359103,0.563570849260943,0,0,0,0,0.640181357930469,0,0.105666774494631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245346772954286,0.0126136678183734,0,0,0
X601628.CH.EQUITY,0,0.026029746634999,0,0,0,0.185436587250172,0,0,0,0,0,-0.141814193432497,0,0,0,0,0.104495243773314,0,0,0,0,0.180009437837583,0,0,0,0,0,0,0.137451282385156,0,0,0,0.0747756208358972,-0.14494903700786,0,0,0,0,0,0,0,0.117507348024645,0,-0.00777953866642117,0,0,0,0,0,0.0897423807115549,0.133795626441445,0
X601658.CH.Equity,0,0.145498108522469,0,0,0.0151775811923621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394240949378147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187779258729359,0,0,0.11177463705025,0,0,0,0,0,0,0.00877328023385821,0,0,0,0,0,0
