,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0696133237885396,0,0.391704760061237,0.109178934686739,0.09894523227552,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0.202640216122727,0,0,0.0109640403746409,0,-0.0354314513167695,0,0,0.0448609153383162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598295105139123,0.0406103590106746,0,0,0,0.0346452343764143,0,0.122304234231088,0,-0.0803900368588043,1.73472347597681e-18
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.153502575255373,0,0,0.0525278822952357,0.0846425175126776,0,0,0,0,0,0.206894753423262,0,0.169339218481099,0,0,0,0.0176073095343185,0,0,0,0.156610718011113,0,0,0,0,0,0,0,0.0606352736964842,0,0,0,0,0,0,0,0.0536602316662681,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.262870279298551,0.00694745375240458,0,0,0.13406015211789,0,0,0,0,0,-0.0361057719535291,0.105583604724076,0,0.0684667946825504,0,0,0,0,0,0.0950766511037108,0,0,0.272151385537635,-1.73472347597681e-18,0,0.218540726954884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.135098508313797,0,0,0,0.0459511628098108,0.0901943247096333,0.131992618730893,0,0,0,0,0.173292158942248,0.09071057324737,0,0,0,0.00596059142196704,0,0,0,0,0,0,0,0,0.271982591903299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109955729068733,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.2112238152163,0,0.032370814506571,0,0,0.0522056397784909,-0.104012633096855,0.318439581313535,0,0,0,0.0475305371843144,0,0,0,0.074392538117783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177970855446175,0,0,0,0,0,0,-0.123269980104616
X601628.CH.EQUITY,0.0737006426243652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163602826564448,-0.0219163285291671,0,0,0,0,0,0,0.139017808969502,0,-0.114128766188643,-0.0686351545209789,0,0,0.0099761829847972,0,0.184773941469027,0,0,0.597394330767874,0,0,0,0,-0.025922473310656,0.142953124023259,0,0,0,0,0,0,0,-0.0413640223211998,0,0
X1299.HK.EQUITY,0,0,-0.0453924096680779,0,-0.0364392366793688,0,0,-0.0442319067886608,0,0,0.10683695993512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473425864016916,0.0803272290898984,0,0.284032964980312,0.29046099791664,0,0.142646605086593,0,0,0,0,0,0.289076919373566,0,0.106772876552995
X601988.CH.EQUITY,0,0.121202422166171,0.00711897646955209,0.312645459624109,0.244574251182893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269685461000443,0,0,0,0,0,0,0,0,0.0979532481652673,0.118494702414157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333926155240975,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.128291356205933,0,0,0,0,0,0.0385822909333607,0,-0.00822750593746176,0,0,0,0,0,0,-0.0762212648380093,0,0,0,0,0,0,0.0784504422265059,0,0.0187688464780371,0,0.312453836532491,0,0,0,0,0,0,0,0,0.107216040445089,0,0.22045781810357,0,0,0.234438191459889,0.116998987000715,0,0,0,0,0.0168811374679238,0,0,0,0
X601166.CH.EQUITY,0,0,0.119578155035761,0.167299730109396,0,0,0,-0.0724526523885032,0,0,0,0.101249998910132,0.0358890917019889,0.0123854229854075,0,0,0.0778321439326245,0,0,0,0,0,0,0.00636139251216184,0,0,0.158268849962145,0,0,0.350742836383884,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415228632786851,0,0,0,0,-0.0358831795499998,0,0,0,0
