,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.109360310831155,0,0,0,0,0,0,0,0,0,0,0,0.606564634894656,0.462371556977374,-0.0834586901231747,0,0.0976595979842471,0,0,-0.00144713345366095,0,-0.113852123738238,0,0,-0.246664011353523,0,0,0,-0.434914088385079,0,0,0,0,0,0.0590547576690337,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0320721509978218,0,0.00696351285785099,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0.337467734514108,0,0.0698522088677811,0,0,0,0,0,0,0,0,0.0847766900065039,0,0,0,0,0,0,0,0,0.320591609336581,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0429800022021473,0,0,0.222996452083151,0.064226607640228,-5.42101086242752e-20,0,0,0,0,0,0,0,0.294621756502665,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0465999935389027,0,0,0,0,0,0,0,0,0,0,0,0.417277926043742,0,0
X601288.CH.EQUITY,0,0,0.255860185832696,0,0.353377006797171,0.111016120258821,0,0.0368977692389535,-8.67361737988404e-19,0,0.00838473070463166,-0.0190064760315751,-2.71050543121376e-20,0.163870103147743,0,0,-0.0188469027302351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0696745520946121,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.239072759635341,0,0,0,0,0,0.455962524848644,0,0,0,0,0.172287926415744,0,0,0,0,0,0,0,0.224678692471235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.438870117775954,0,0,0.0644706412678588,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.230940888848748,0.10125365521216,0,0,0,0.102959584139318,0.0985922608775421,0,-0.04452980421962,0,0,0,0,0,0,0,0,0.00368587777432231,0,0,0,0,0.0328583345917922,0,0,0,0,0,0,-0.0178077844644414,0,0.255389191669454,0,0,0,0.0279523231798716,0,0,0,-0.0857604028458034,0,0,0,0,0,0.120425744707869,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.350403055233152,0,0,0,0,-0.0770297403677875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14617578615068,0,0,0.0941303839672674,0.0558940921874136,0.0890299297472405,0.0401460791436518,0,-0.0306992469404959,0.0814795302462975,0,0.131883418332743,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0778284665236798,0,0,0,0,0,0,0,0,0,0.0334211268100092,0,0,0,0,0.185361066573659,-0.0589910320674875,0,0,0,0,0,0,0.161083723495562,0,0,0,0,0,0,0.0219198245334792,0.0386155045500917,0,0,0,0.173028338914693,0.11723771379702,0,0,0,0,0.444535113097232,0,0,0.089095573933393,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0619853111667947,0,0,0,0,-0.163633403255201,0,0,-0.324553513281829,0.776437631765136,0,0,0,0,0.680856527499613,6.93889390390723e-18,0,0,0,0,0,-0.156084594717902,0,0,0,0,0,0.218209872008353,0.17717148340317,0,0,0,0,0,0.106218390705108,0
X601658.CH.Equity,0,0,0,0,0.00989724985276372,0,0,0,0,0,0,0,0,0,0,0,0,0.212185896420793,0.0385709695184122,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.250022498254387,0,0,0,0,-0.0132483019039729,0,0,0,0
X388.HK.EQUITY,0,0.35030800022809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309575848602423,0,0,-0.374936418001765,0,0.117648867464659,0.087395803965012,0,0.361680861545695,0,0,0,0,-0.0857307673056685,0,0,0,0,0.109349544518917,0,0,0,0.439565909033913,0,0,0,0,-0.291417668478815,-0.0383547907344794,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.00317667341163241,0,0,0,0,0,0,0.232867937220046,0,0,0,0.0127188787449573,0,0,0,0,0,0.0224251022186172,0,0,0,0,0,0,0.0395639696553449,0.362944655536235,0,0,0.0968384469666827,0,-6.93889390390723e-18,0,0.0480494375895421,0,0,0,0,0,0.00140328259707045,0,0,0,0,0.0478485532257928,0
