,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,-0.155220927915958,0,0,0,0,0,0,0,0,0.521168259727137,0,0,0.0191770347504369,0,0.0191449636449309,0,0,0,0,0,-0.189512997833218,0,0,0,0,0,0,0,0,0,0,-0.308128996756366,0,0,0,0,0.700479277048216,0,-0.154892376424515,0.0589101697414585,0,0,0,-0.0527206491231262,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.189908417097204,0,0.025821171165003,0.0299465781485741,0,0,0,0,0,0,0.0276655521069854,0.124961719801644,0,0,0,0,0,0,0.0493371761009614,0,0,0,0,0.0991884336765052,0,0,0,0,0,0,0,0.038187949899891,0.530595557085185,0,0,-0.111002240791635,0,0,0,-0.0331843177473033,0,0,0,0,0
X601939.CH.EQUITY,0.330630906612388,0,0,0,0,0,0,0,0.0285192260349479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181757592265957,0,0,0,0,0.160810974846215,0,0.0594413486641465,0,0,0,-0.181618838346816,0,0,0.360505413314388,0,0,0,0,0,0,0,0,0,0,0.0414389208728589,0,0
X601288.CH.EQUITY,0,-4.33680868994202e-19,0,0,0,0.23045601442244,0,0,0,0.012461099991754,0,0,0.0527546682833963,0,0,0,0,0,0.0589519243694875,0,0,0,0,0,0,0,0.129408852314423,0,0,0,0,0,0,0,0,0,0,0,0.311919344436806,0,0,0,0,0.167031515200166,0,0,0,0,0,0,0
X5.HK.EQUITY,-0.0576403916962636,-0.136258059287625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350238011446647,0,0,0.20589093989393,0,0.175162385351304,0,0.309208357388646,0,0,0,0,0,-0.108735678170576,0,0,0,0,0,0,0,0,0,0,0.197296468712146,-0.0768221093905499,0,0,0,0,-0.0859866788506852,0,0,0,0
X601988.CH.EQUITY,0.250184317826941,0,0,0.573138285319155,0,0,0,0,0,0,0.101983590516278,0,0.103062022716177,0,0,0,-0.0540501030946259,0,0,0,0,0,0.00635163116417878,0.060529451162843,0,0,0,0.046577341150898,0,0.00379607358972006,0,0,0,0,0,0,0,0.0217457511785079,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.58130845936458,0,0,0,0,0,0,-0.00487728036665431,0,0,0,-0.0882588650589882,-0.141445298660214,0,0,0,0,0,0,0,0,0,0,0,0.255165378451575,0,-0.125897928677561,0,0,0.0201946644918129,0,0,0,0,0,0,0,0,0,0.17237188793017,0,0,0,0,0.132206101720641,0,0,0,0,0
X1299.HK.EQUITY,0,0.180365159255064,0,0,0,0,0,0,0,0,-0.0922106512246754,0,0,0,0,0.260822506097528,0,-0.154046964410602,0.0711371947184122,0,0,0.0608652848074842,-0.0253370558252599,0,0.548950567981959,0,0,-0.0957906575320177,0,0,0,0,0,0,0,0,0,0,0,-0.0873414328674171,0,0,0,-0.0119650251162944,-0.134073067948575,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.110985038358333,0,0.0421686647548719,0,0,0,0,0,0,0.0284239777735808,0,0.0164056977072731,0.227067088793322,0,0,0,0,0,0,0,0,0,0,0.14694932954029,0,0,0,0,-0.0179142437012417,0,0,0,0,0,0,0.118948503813072,0,0.171461118187909,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0
X601328.CH.EQUITY,0,0.224918878075153,0.167815773516731,0.312145089179374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236753519346139,0,0,0.111592357294588,0,0,0.258129296161252,0,-0.0340092316676629,-0.0745278842908751,0,0,0,0,0,0,0,0,0,0,0,0,0.0736341328510732,0,0,-0.0296689972683918,0,-0.286249783872334,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.313369800618225,0,0,0,0,0,0,0,0.542887906553892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160234097189417,0,0,0.332460816098889,-0.118476250971612,0,0,0.36491357865804,0,0,-0.0771317262897887,0,0,-0.135614756278689,0,0,0,-0.0580903288804541,0,0,0
