,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.427121759345741,0,0,0,0,0,0,0,0,0,0,0,0.0699989944678701,0,0,0.13972957332705,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0688688271219474,0,0,0,0,0,0,0,0,0,0.0784754709918663,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.172105659012789,0,0.220066693167486,0,0,0,0,0,0,0,0,0.242893803430978,0,0.0695191817621313,0.0142463760983467,0,0,0,0,0.132492640602211,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.132231214529606,0,0,0,0.0379734216377832,0,0,0,0,0,0,0,0.0414047348022443,0.0462041205848102,0,0
X601939.CH.EQUITY,0,0,0,0.729479618998044,0.0320505407007349,0.0541067628962634,0,0,0,0.235591882018658,0,0,0,0,0,0,0,0,0,0,0.0501804509101309,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.0234101255949822,0,0,0.0231353369785786,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.412057818448943,0,0.0302349483398276,0,0.942749847469964,0,0,0,0,0,0,0,-0.142832231829892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152349770995674,0,0,0,0,0,0,0,0,0,0,0.0492006911305061,0,0,0
X5.HK.EQUITY,0.00866122846604277,0,0,0,0,0.120743201786841,0.397533050314387,0,0,0,0,0,0,0,0.0447224608105193,0,0,0,0,0,0,0,0,0,0,0,0,-0.206843749814313,0,0,0,0,0,0,0,0,0.0959559162179016,0,0,0.322484730482271,0,0,0,0,0,0,-0.0975560506912083,0,0.021317927291735,0,0
X601988.CH.EQUITY,0,0,0,0,0.360399003979941,0,0,0,0.0909818136881086,0,0,0,0,0,0,0.0956104957634803,0.0396398928244107,0,-0.0700095219906224,0,-0.0725531210998063,0,0,0,0.243208974917287,0,0,0,0,0,0,-0.230244783745312,0,0,0,0,0,0,0,0,0.0691394371207853,0,0,0,0,0,0,0,-0.0301839446508317,0,-0.126251366562156
X1299.HK.EQUITY,0,0,0,0,0.227290464333694,0,0,0,0,0,0,0,0.0380995573939113,0,0,0,0.216190111047332,0,0,0,0,0,0,0,0,0.0579059223076094,0,0.121537561596306,-0.225240196309794,0,0.0663354070133135,0,0.0393723009547389,0,0,0,0.381301156046339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.408189011755236,0,0,0,0,0.0385607432761432,0,0,0.120658743565066,0,-0.110529836657947,0,0,0,0,0.181374996683654,0,0,0,0,0,0.2194657969436,0,0,0,0,0.11501709449167,0,0,-0.0306331210022415,-0.162339560784441,0.0818496292181159,0,0,0.132014713722176,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.127339608238031,0,0.00051453810937253,-0.089496998082871,0,0,0,0,0,0,0.0233422170813862,0,0,0,0,0,0.168083383884534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429776614046932,0,0,0,0,0,0.19891241456943,0,0.0840963404679941,0.063591828868824,0,-0.0137005727405337,0,0,0,0
X601328.CH.EQUITY,0,0,0.210522676034435,0,-0.0498013484069903,0,0,0.467551440187325,0,0,0,-0.0571387887738742,0.370194904402883,0,0,0,0,0,0,0,0.0342431985997524,0,0,0.0303814905404238,0,0,0,0,0,0,0,-0.162973745404246,-0.239253690137547,0.196448713772401,0,0,-0.00382885375390944,-0.181516639410654,0,0,0,0,0,0,0,-0.0155907219507925,0,0,0,0,0
