,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0201317579713748,0,0,0,0,0,0,-0.049264195474834,0,0,0,0,0,0.506767734482122,0.763254943513027,-0.125096756424496,0.012496656497096,0,0,0,0,-0.184213814443279,0,0.249281566573177,0,-0.317394016739055,0,0,0,0,-0.0625773513834003,-0.0463715244501339,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0.245133530554929,0,0,0,0,0,0,0,0,0.0781671903718355,0,0,0,0,0.100064578107004,0.0211354231213019,0,0,0,0,0,0,0,0.0326256044166015,0,0,0,0,0,0,0,0.311351090381531,0,0,0,0,0,0,0,0,0,0.088146703650462,0,0,0,-0.0457591816175064,0
X601939.CH.EQUITY,0,0,0,0.818223997483483,0,0.00736777283451902,0,0,0,0,0,0,0.0173174646593061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043545818575674,0.0405946244986531,0,0,0,0,0,0,0,0.0571944858157332,0,0,0,0,0,0,0.00878465913633438,0,0.0710423830002088,0,0
X601288.CH.EQUITY,0.0346827531222287,0,0.891736201774055,0,-0.0661447235633615,0,0,0,0,0,0,0,0,0.0219229162860134,0,0,0.0847003852394051,0.0586523127493218,0,0,0,0,0,0,0,-0.0265696488357086,0.0400127603573211,0,0,0,0,0,0,0,0,0,0,0,0,-0.144492934869311,0,0,0,0,0,0,0,0,0,0,-0.0646908016937898,-0.0240980617561757
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0655193387384634,0.861165508460248,0,0,0,0,0,0,0,0,0,0.0690210899885332,-0.00574036733660845,0,0,0,0,0,0,0,-0.0500939835473371,0,0,0,-0.0161723293751332,0,0.0784967165632483,0.0600863852023198,0,0,0,0,-0.0265210223761445,0,0,0,0,0,0,0.111472866891498,0.159124514407771,0.128833150525591
X600036.CH.EQUITY,0,0,0.337076070901115,0,0,0,0,0,0,-0.0143345561705805,0,0,0,0,0,0.15905972191576,0,0,0,0.0237506207900975,0,0,0,0,0,0,0.148384095305394,0,0.080528407242526,0,0,0,0.257101528102692,0,0,0,0,0,0,0,0,0,0,-0.0169561226609662,0.0409365490662566,0.0117707613322009,0,0,0,0,0.0620986085917953,0
X601988.CH.EQUITY,0,0,0,0,-0.144451124183508,0.0633680404695879,0,0.0377192193750177,0,0,0,0,0.0774986597167298,0,0,0,0,0,0,0,-0.0753285586739512,0,0,0,0,0,0.0077038615212596,0,0,0,0,0,0,0,0,0,0,0,0,-0.1029582061503,0,0,0.00992868840610642,0,0,0,0,0,0.982533798273007,0,0.0122304317860816,0.0439832192564298
X1299.HK.EQUITY,0,0,0,0,0.158131882063094,0,0,0,0,0.195759163890094,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114407123056376,0,0,0.262634581084703,0,0.340405248992831,0.120217817397126,0.121606204354455,0,0,0,0,0,0,0,0,0,0,0.129967882124076,0,0.0303723125771823,-0.161944401374537,0,0,0,0,0,0.124937344748718,-0.0268464660463511
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.191947695622366,0,0,0,0.218498274575569,0,-0.0410136648959404,0,0,0,0.0569054572713622,0,0,0.0769588920601352,0.311895776658607,0.388945206147491,0,0,0,0,0,0,0,0,0,0.0125896536078627,-0.190996250086067,0,0,0,0.0481064585516924,-0.124642916347632,0,0,0,0,0,0,0.142199304213513,0
X388.HK.EQUITY,0,0,0,0,0.278818546564103,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234570820530014,0,0,0,0,0,0,0.481608157116381,0,0,0,0,0,0,0,0,-0.0474389856242565,0,0,0,0,0,-0.0560311903744569,0,-0.115665961333945,0.256830164136565,0,0.0241985803485566,0,0,0,0,-0.116562033148381,0.00162307247912379
