,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.426451599530204,0,0,0,0,0,0,0,0,0,0,0,0.0695558496334435,0,0.138464527910401,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0681641718413383,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0777942563273169,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.183865227308956,0.187900623675076,0,0,0.00792303372721981,0,0,0,0,0.223410762126533,0,0,0.0656675237021985,0,0,0,0,0,0.147919017386456,0,0,0,0,0,0,0,1.73472347597681e-18,0.165346412715252,0,0,0,0,0.0536440153905048,0,0,0,0,0,0,0,0.0412920568594256,0.0633659997003791,0,0
X601939.CH.EQUITY,0,0,0,0.725094028551013,0.0318639862241359,0.0537858946427428,0,0,0,0.234247079173287,0,0,0,0,0,5.55111512312578e-17,0,0,0,0,0.050214701811105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233080797227001,0,0.0230772534238967,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.412881791929271,0.0301705794776708,0,0.941799062114544,0,0,0,0,0,0,0,-0.142998617406642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.152367287270569,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0491421111548748,0,0,0
X5.HK.EQUITY,0,0.0653705108193062,0,0,0,0.146611273270295,0,0.313365992153313,0,0,0,0,0,0,0.0102641732865835,0,0,0,0,0,0,0,0,0,0,0.0110327342219412,0,-0.181638791257839,0,0,0,0,0,0,0,0,0.116734322260244,0,0,0.28774605817374,0,0,0,0,0,-0.0867491338922917,0,0,0.0543149935652846,0,0
X601988.CH.EQUITY,0,0,0,0,0.388293135875649,0,0,0,0.0708608364142016,0,0,0,0,0,0,0.0597367181872959,0,0.0177998014695372,-0.0853818846185491,0,-0.0750155464697094,0,0,0,0.276191630873957,0,0,0,0,0,0,-0.241365438327649,0,0,0,0,0,0,0,0,0.0969330690901095,0,0,0,0,0,0,0,-0.0389381944751092,0,-0.126262096070915
X600036.CH.EQUITY,0,0.111670140836121,0,0,0,0,0,0,0,0.396300208232177,0,0,0,0,0.0412015629661084,0,0.160809320582293,0,0,-0.109479643625542,0,0,0,0,0,0,0,0,0,0,0.20976422934674,0,0,0,0.0419249753129559,0,0,-0.0292759877816603,0,-0.112657619652513,0.0720651841133678,0,0,0.201619176015428,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.219518782177112,-0.0244170004351846,0,0,0,0,0,0,0.0624985299847954,0,0,0,0,0.188338676573142,0,0,0,0,0,0,0,0.0632834673646183,0,0.122644766873795,-0.174667820057478,0,0.0702429690314284,0,0.0358333710659128,0,0,0,0.388358929616969,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.109959623971867,0,0.00633818216696832,-0.0905868255810861,0,0,0,0,0,0,0.0298245570646799,0,0,0,0,0.180302231070464,0,0,0,0,0,0,0,0,0,0,0.0153099029589718,0,0,0,0,0,0,0.42534609542121,0,0,0,0,0,0,0.202364905152252,0,0.0851567948143295,0.0701434880830572,-0.0203533161050192,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0858617403218042,0,0,0,0.397742986766455,0,0,0,0,0,0.43457309104806,0,0,0,0,0,0,0,0.151518402034215,0,0.237594294179876,0,0,0,0,0,0,0,0,0,-0.113922740600263,0,0,0,-0.0666532625007904,0,-0.125884162808397,0,0,0,0,0,0,0,-0.139553254399051,0,0,0,0
