,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0.266926020401321,0,0,0,0,0,-0.134557785001077,0,0,0,0,0,0,0,0,0,0,0.489840801173002,0,0.50236818847317,0,0,0.173160413528308,0,0,0,-0.00715842136906115,0,-0.147721182104871,0,0,-0.28889635865984,0,0,-0.830059176893149,-0.0673702534113952,-0.00253928056066978,0,0,0,0,0,0,0,0,0,0.0888691979701332,0
X601939.CH.EQUITY,0,0,0,0.279829175110961,0,0,0,0,0.240196965265085,0,0,0.0119663375674123,0,0,0.114220816742133,0,0,0,0.0152236370904141,0,-0.06414255802173,0,0,0.0605940612663401,0,0,-0.00250298575088324,-0.134669684102579,0,0,0,0,0,0,0,0,0,0,0,-0.0396542904829102,0,0,0,0,0,0,0.129009420797718,0.461104197417065,0,0,-0.131514592753089,0
X601318.CH.EQUITY,0,0,0,0,0,0.388965203878977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15699737005648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330372910342054,0,0,0.0180019770683655,0,0,0,0.0323738395451904,0,0,0
X601288.CH.EQUITY,0,0.394280570459198,0,0,0.226086532754774,0,0.056120595901023,0,0,0,0,0.204143034900386,0,0,0,-0.0553714569815748,0,0,0,0,0,0,0.211746145470633,0,0,0,0,0,0,0,0,-0.00942606584162216,0,0,0,0,0,0,0,0,0,0,0,-0.0537534143174433,0,0,-0.0917851531974333,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.331529889095959,0,0,0,0,0,0.156206904639481,0,0,0,0,0,0.240151611159167,0.277321837558621,0,0.0680779337306342,0,0,0,0.0315549807370904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.634388831011693,0.0361862562296448,0,0,0.0750083994269058,0,0,0,0,0,0,0,-0.000449544884358806
X600036.CH.EQUITY,0,0.0716365319306671,0,0,0,0,0.0810940137832702,0.0388721127949757,0,0,0,0,0.10554460333934,0,3.46944695195361e-18,0,0,0,0,0.0010306605879022,0.141821712738618,0,0,0,0,0.0161442189279541,0,0,0,0,0,0,0,0.425244798872389,0,0,0.00590413039957546,0,0,0,0,0,0,0,0.0915879425517532,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.125820525536926,0,0,0,0.122640062309404,0,0,0,0.236597138952276,0,-1.38777878078145e-17,0,-0.0587013150418709,0,0.0219818896459316,0,0.0802980706693963,0,0,0.0368233515726121,0,0,0,0,0,0.134091189470832,0.0696218788874616,0,0,0.0431403427134642,0,0,0,0.247529527906233,0,0,0,0,0,0.0155446830305804,0
X601628.CH.EQUITY,0,0,0,0,0,0.291248029815639,0,0,0,0,-0.129595380683439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153427868168496,0.104575765119698,0,0.105802341991008,0.00905431632741453,0.119849617903309,-0.00916065745124283,0,0.0112363771853372,0,1.73472347597681e-18,0,0.0993119385858881,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0323117525305616,0,0,0.0080945467017053,0,0,0.0355029106968282,0.871631517085689,-0.620141329985946,0,0,0.644173263059279,0.120863489757076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122316690133917,0,0
X601658.CH.Equity,0,0,0,0.101953977083937,0,0,0,0,0,0,0,0,0.144933917804918,0,0,0,0,0.145607724323784,0.219004299849754,-0.343062548876211,0,-0.160388837416222,0.0638771295344294,0,0,0,-0.194768841240573,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.715211653042648,0,0,0,0,0,0,0,0,0,0,-0.0838589316116294
