,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.647277800581086,0,0,0,0,0,0,0.0133510465295869,0,0.0856775470093901,0,0,0,0,0,0.0569585005961507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835685398720385,0,0,0,0,0.0374312340460508,0,0,-0.0136632630309885,0,0,-0.0101135604976585
X601318.CH.EQUITY,0,0,0,0.100240450176249,0,0,0,0,0.0546129313111713,0,0,0,0,0,0,0.0083649929221688,0,0.243062124043021,0,0,0,0,0,0,0,0.0347921732589392,0,0,0.0500229658156955,0,0,0,0.101082441909336,0,0,0,0,0,0,0.19109217237461,0.0866305314259269,0,0,0,0,0,0.0821056092227244,0,0,0,0
X601939.CH.EQUITY,0.168637313860882,0,0,0.287459972111174,0,0.264796466658487,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086511568576599,0,-0.0112898738662449,0,0.0864566349379301,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0.0447136226568128,0,0,0,0
X601288.CH.EQUITY,0.313651526488153,0,0,0,-0.0491490784787063,0.0290064839546326,0,0,0,0.125189288847334,0,0,0,0,0,0,0,0.0563699869425372,0,0,0,0,0,0,0.0362495468340175,0.174419797878759,0.0708847028925837,0,0,0.0995501210087307,0,0,0,0,0,0,0,0,0,0,0,0.11298750450619,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.299632658528527,0,0,0.0548164089697301,0,0,0,0,0.164883947928068,0.10788892827737,0,0,0,0,0,0,0,0.0765256908797357,0,0,0,0,0.228302269886893,0,0,0,0,0,0,0,0,0,0,0,0.106396225813263,0,0,0,-0.476326156487759,0,-0.0674267852449936,0,0,-0.238650703370511
X601988.CH.EQUITY,0,0,0.108540980681767,0,0.0352961099683894,0,0,0,0,0,0,0.0629784243452963,0,0.0570179871930007,0,0,0,0.00585101937566781,0,0,0,0,0.608769596814843,0.014870987340815,0,0,0,0,0,0.102353987441905,0,0,0,0,0,0,0,0,0,0.0453384577808238,0,0,0,0,0,0,0,0,0,0.0842767078617368,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.024287273534134,0,0,0,-0.0225468738457844,0,0,0,0,0.0745765090152359,0,0,0,0,0,0,-0.00766367095216658,0.695656575906253,0,0,0.0281924492495098,0.0934946925123404,0,0,0,0,0,0,0,0,0,0,0,0,0.0659413408072516,0,0.0494084002449218,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.042242106817689,0,0,0,0,0.257369137684027,0,0,0,0.168587679693435,0,0,0,0.0707262671840227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.162163860867174,0,0,0,0,0.0131833144990324,0,0,0,0,0,0,0,0,0,0,0.0328588036946422,-0.0160684484101692,0,0,0,0,0,0,0.147894901757246,0,0,0,0,0,0,0,0,0,0,0.359907524102674,0,0,0,0.215527026169048,0,0.0321906695377617,0,0.0195542717095791,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0616483962367515,0,0,0,0.144688411846355,0,0,0,0,0,0,0.203227925669227,0,0,0,0,0,0,0,0.243318931593227,0,0,0,0,0,0,0.077849470318927,0,0,2.16840434497101e-19,0.0445732199464617,-0.00710844637915365,0,0,0.00777832816156331,0,0,0.239750064770138,-3.46944695195361e-18,0,0,0,0.0361738832432795,0,0,0,0.0161474448777059,0,0
X601166.CH.EQUITY,0.0288608724679569,0,0.218004081113345,0,0,0,0.166645067972209,0,0,0.0811554086979127,0,0.00452322811437063,0,0.185988672852153,0,0,0,0,0,0,0,0,0,0,0,0.0893659778446673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0970504399076485,0,0,0,0,0,0,0,0,-0.047007766603615
X11.HK.EQUITY,0,0,0,0,0,0,0,0.234488328888782,0,0,0,0,0,0,-0.0164533564079634,0,0.179618053567642,0.1693321722706,0.24674865565786,0.0995596213263669,0,0,0,0,0,0,0,0.127724333797347,-0.199397933472109,0,0.00300006097989375,0,0,0.200903850695825,0,0,0,0,0,0,0,-0.020898941759044,0,0,0.0801890388972011,0,0,0,0.0218891098348223,0,0
