,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,-0.181353503444528,0,0,-0.0450842350742794,0,0,0,0,0,0.494432413248338,0,0,0,0,0,0,0,0,0,0,-0.14823233276644,0,0,0,0,0,0,0,0,0,0,-0.285146078754783,0,0,0,0,0.700105151970389,0,-0.151380479173559,0.059423468163645,0,0,0,0,-0.0393399639682521,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.163448810556003,0,0,0.0261049764222075,0,0,0,0,0.0592519618152059,0,0,0,0,0,0,0,0.121736578583581,0,0.033924863186676,0,0,0,0,0.0581264575325668,0,0,0,0,0,0,0,0.59124536898122,0.0224462064258166,0,0.0194296086401646,-0.077388451472544,0,0,0,0,-0.0400772302044024,0,0,0,0
X601939.CH.EQUITY,0.315148731498349,-0.0644454046048993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.118486069972334,0,0,0,0,0.15543720945335,0,0.0992476249371064,0,0,0,-0.366772568381948,0,0,0,0.603646891092807,0,-0.0269833841644738,0,0.0146482464617415,0,0,0,0,0,0.0828844096685082,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.341113890573373,0.00955379361070842,0,0.292962657379812,0.0550705620355482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145240899041339,0,0,0,0,0,0,-0.0228954004498056,0,0,6.93889390390723e-18,0,0,0.0749848722038686,0,0,0.132101215185452,0,0,0,0,0,0,-3.46944695195361e-18
X5.HK.EQUITY,-0.189086471475171,-0.0733207485878495,0,0,0,0,0,0,0,0,0,0,0,0,0.227579397037755,0,0,0,0,0.137532479419194,0.197507467662035,0,0,0.454452963532285,0,0,0,0,0,-0.115399631269822,0,0,0,0,-0.0272747839738867,0,0,0,0,0,0.192347360231842,-0.134968962433708,0,0,0,0,0,-0.116026507037257,0,0,0
X601988.CH.EQUITY,0.0832575776081333,0,0.0712433282293853,0.71052619101502,0,0,0,0,0,0,0.0893137968244604,0,0.0364838656522998,0,-0.134900960393228,0,0.114125240553314,0,0,0,0,0.0153161061696209,0,0,0,0,0.120581598347008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.00986627447990528,0,0,0
X600036.CH.EQUITY,0,0.464707210411301,-0.0186204504011433,0,0,0,0,0,-0.128591813677634,0.610395852384176,0,0,0,0,-0.129884976587402,0,0,0.0180516158628993,0,0.0972192903476106,0,0,0,0,0,0.106988291705057,0,0.0556806459697696,0,0.328922121667209,0,0,0,0,-0.229511998908761,0,0,0,-0.0623300631483312,0,0.170416093779567,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0628707822384751,0,0,0,0,0,0.297763335163797,0.194144964030694,0,0.0747406164766468,0,0,-0.0980316016078225,0,0.228065963821416,0.154343323634798,-0.0976307453030233,0,0,0,0,0,0,0,0,0,0,0,0,-0.0464560369831511,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0855379005588928,0.00733490940775782,0,0,0,0,0,0,0,0,0,0,0.281427286645197,0,0,0,0.0225868733918131,0,0,0,0,0,0,0.1248410454066,0,0,0,0,-0.0467807692048049,0,0,0,0,0,0,0.0710079097162021,0.253945376255355,0,0,0,0,0,0,0,0,0,0,0.0724965306644432,0,0
X601328.CH.EQUITY,0,0.237843051275322,0.169395915865623,0.349031651753057,0,0,0.262817284759274,0,0,0,0,0,0,0,0,0,0,0.130564438043083,0,0.102924457840682,0,0,0,0,0,0,0.400483573656987,0,0,0,0,0,0,-0.129741128869925,0,0,0,0,0,-0.148441757294842,0,-0.235077948387005,0,6.93889390390723e-18,0,0,0,-0.0431935719181664,-0.267661660430269,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.306688142891567,0,0,0.142300945371742,0,0,0,0,0.506680486030226,0,0,0,0,0,0,0,0,0,0,-0.200928273004006,0,0,0,0,0,0.0550037325823707,0,0,0.308566415625467,-0.0459360352359565,0,0,0,0.34590543311355,0,-0.04692938245043,0,0,-0.176042899630722,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.129797077841517,0.321103948664979,0,0,0.174601418543345,0,0,0,0.482638545833485,0,0,0,0,0,0,0,0,0,0,0,0.0326011770098923,0,0,0,0.0992620338881705,0,0,0,0.00195596853361802,0,0,0,-0.310157345583598,0,0,0,0,0,0.143959807145159,0,0,0,0,0.0677996129618135,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23862980871818,0,0,0,0,0,0,0,0,0.0507467301938833,0,0,0,0,0,0,0.141652356408058,0,0,0.311248028257193,0,0,0,0.00174429471001945,0,0,-0.133245589388264,0
