,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0556329106031946,0,0.598490793068292,0,0.108922935611897,0,0,-0.0544540672305353,0,0,0,0,0,0,0,0,0.123570006329496,0,0,0,0,0.0174195682616158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606818005332278,0,0,0,0,0,0,0,0.0662657311902649
X601318.CH.EQUITY,0,0,0,0,0,0.00309733880010373,0,0.102381433382031,0.0465012073257197,-0.0527144200859819,0,0,0,0.214787173850325,0,0,0,0,0,0.45064819087166,0,0.00759608403420525,0,-0.0822062714150701,0,0,0,0,0,0,0,0.10919899142427,0,0,0.0748506525184169,0.0666357114464295,0,0.103975315878323,0,0,0,0,0,0,0,0,0,0,0,0.0540045462829348,0,0
X601939.CH.EQUITY,0,0,0,0,0.439928513827961,0,0.0997697731465085,0,0,0.0658401642035905,0.107390119392747,0,-0.148448125014964,0,6.93889390390723e-18,0,0,0,0,0,0.0688489443965299,0,0,0,0.4199026421672,0,0,0,0,-0.0395752580990635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0982361272610084
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0385798237185808,0,0,0.231412841226051,0,0,0,0,0.153664004626802,0,0,0,0.206548184750348,0,0,0,0,0,0,0,0,0,0.0220612668687507,0,0,0,0.204659121403521,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.0890773968756635,0,0.105784870885638,0,0,0
X601288.CH.EQUITY,0.0526438482076776,0,0.106288462792921,0,0,0,0.233377051040202,0,0,0.0489692089644489,0,0,0,0.0596458531205511,0,0,0.0845999469074359,0,0,0,0,0,0,0,0.178483305208161,0,0,0,0,0,0,0,0,0,0,0,0.252862625016707,-0.0010142551473412,0,0,0,0,-0.0835185135199556,0,0,0,0,0,0,-0.0542980793781326,0,0
X600036.CH.EQUITY,0,0.258611312941863,0,0,0.0101816105205388,0,0,0.0702479093879132,0,0,0,0,0,0.275731490397683,0,0,0,0,0.11841358359539,0,0,0,0,0,0,0.257486208952565,0,0.0562296943692246,0,0.0739366656236196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015072412467807
X601988.CH.EQUITY,0.154916466665319,0,0,0,0.215813122196531,0.317047695837535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0920600333025543,0,0,-0.0216732294361653,0,0.0333863551789239,0,0,0,0,0.0217755236332874,0.204896975042157,0,0,0,0,0,0,0,0,0,0,-0.133304394405255,0,0.111273542335751,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.189980759824785,0,-0.0680815327174058,0,0,0,0,0.247842303278028,0.0489481787630347,0,0,0,0,0,0,0,0,0,-0.14802143620866,0,0,0.176414109386815,0,0,0.361459622816686,0,0,0,-0.00240304815269117,0,0,0,0,0,0.110584353939216,0.109681069989847,0,0,0,0,0.102236071391214,0.118657788378088,-3.46944695195361e-18,0,0,0,0,0,0,-0.0217319329546032
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.178808123660374,0,0,0,0,0,-0.159641268729591,0,0,0,0,0.205580433802314,0,0,0,0.0692754640711699,0,0,0.399883455706525,0.0599805721990905,-0.049254375221649,0,0,0,-0.0386748780556829,0,0,0,0,0,0,0.215340137777438,0.181151065035233,-3.46944695195361e-18,0,0,0,0,0.125356795557901,0,0
X388.HK.EQUITY,0,0.0921819030556876,0,0.122441036150745,0,0,0,0.047260454012827,0,0,0,0,0.0104579525757136,0,0,0,0,0,0,0,0.0683047845748066,0.135240671738542,0,0.0617880149806574,0,0,0,0,0,0,0.150861093503367,0,0,0,0,0,0.144112835794129,0.0929232255236489,0,0,-0.244552331960005,0,0,0.0279895489464357,0,0,0.2816460840561,0,0,0,0,0
