,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,3.46944695195361e-18,0,0.422294351477703,0.110122836320643,0.0898281606605565,0,0,0,0,0,0,0,0,0,0,0,0.0719889929565657,0,0,-0.0437409808576962,0,0,0,0.0335360770553766,0,0.0987452774508033,0,0,0,0,0,0,0.00368129009437317,0,0,0,0,0,0,0.0977294448491742,0.0290321507212177,0,0,0,0,0,0.2323380207423,0,-0.104202416822315,0
X601318.CH.EQUITY,0,0,0,6.93889390390723e-18,0,0,0,0,0.148008339077336,0,0,0,0.0318828951351893,0,0,0,0.00136264010823477,0,0.147742831627243,0,0.0995453017075462,0,0.0368394354962977,0,0,0,0,0,0.107600479339101,0,0.054230580121256,0,0,0.0235430895952163,0.155492736363818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.264861003274498,0,0,0,0.138082305962135,0,0,0,0,-0.0363668552551972,0.105521782317225,0,0,0,0.0653243755485879,0,0,0,0,0.0977096117098231,0,0,0,0.269521886135255,0.220905947415364,0,0,0,0.00376998987867126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.199313419803174,0,0,0,0,0,0.136722222425058,0,0,0,0,0.196486084289362,0,0,0,0,0.0375207252185304,0,0,0,0,0,0,0,0.0549117955176167,0,0.259766487136667,0,0.0305311561922437,0,0,0,0,0,0,0,0,0,0,0.0117441334697882,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.114845351378929,0,0.0797413223829426,0,0,0.098586390454418,0,0.381255630263458,0,0,0.019379894324448,0,0,0,0,0.0465793951061721,0,0,0,0,0,0,0.0136003785109206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193106286268955,0,0,0,0,0,0.0879378027506829,-0.0275829100371618
X601628.CH.EQUITY,0.079839489600056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150466625984078,-0.0183586956343091,0,0,0,0,0.141267922925951,0,0,0,-0.0401564806642979,-0.108863630262254,0,0,0,0,0.18266860846765,0,0,0.0512391544465671,0.55248041215172,0,0,0,-0.039860562562297,0.0897003565890606,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0348075455666506,0,0,0,0,-0.0814973664081951,0,0.0969028960733004,0,0,0,0,0,0.00632558960181801,0,0,0,0,0,0,0,0,0,0,0.0223559883748816,0,0,0,0,0,0,0,0,0,0,0,0.0727339416577399,0,0.294619238351542,0.265885978551922,0,0.176308577651643,0,0,0,0,0,0.288443654181986,0,0.0875301591938236
X601988.CH.EQUITY,0,0,0.0861963745649973,0.168692649680071,0.148388961444768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32755109942771,0.026835054093701,0,0,0,0,0,0,0.261266818543974,0.119445884873193,0.165765133169709,0,0,0,-0.0462771912136544,0,0.00734408037021358,0,0,0,-0.085842373420105,0,0,0,0,0,0.0469801282754005,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.030561511394705,0,0,0,0,0,0.177633964346229,0,0,0,0,0,-0.203127438522033,0.0432781957403928,0,-0.0435331634563748,0,0,0,0,0.0454677793828541,0.218690527122443,0,0.0597739415362546,0,0.350772535272823,0,0,0,0,0,0,0,0.0500196773262732,0,0,0,0.207670309768064,-0.0453750019418562,0,0.375088006668827,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.0158891300532651,-0.165892428050062,0,0,0.170356243026304,0,0,0,0,0,0,0.162651232918821,0,0,0,0,0,-0.147309764596186,0,0,0.269673171160966,0,0,0,0,0,0,0.0291618829999725,0,-0.00137359489468691,0.157342969421431,0,0,0,0,0,0,0.311762993584148,0,0.0676541036351656,0,0,0,0,-0.258136956801494,0,0,0.163124375092877,0.0907657953035565,0
