,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.498433706843827,0.0717027563574234,0.0451686507893419,0.0203609736090357,0.0376186626218597,0,0,0,0,0,0,0,0,0,0.0605163016403636,0,0.0803976736777162,0,0,0,0,0,0.0518658670838802,0,0,0,0,0,0,0,0,0,0,0,0,0.0300762692317945,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.223282013826228,0,0,0,0,0,0,0.0635521848501052,0,0,0,0,0,0,0,0.238928138914693,0,0.0480488138003506,0,0,0,0,0,0,0.0689755473905208,0,0,0,0,0,0.0387177296090012,0,0,0,0,0.0237064068181014,0,0,0,0,0,0
X601939.CH.EQUITY,0.49298582266168,0,0,0.0356626734847322,0,0,0,0,0,0.141352179933863,0,0,0,0,0,0,0,0,0,0.0131538032653191,0,0,0,0.0113351199190412,0,0,0.159242255840524,0.0492016276505577,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0548106880950112,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.501478362983572,0.0502355235146797,0,0,0,0.0500789236735375,0,0,0,0.0651845273132258,0,0,0,0,0,0,0.182926575421025,0,0,0,0,0,0,0,0,0.00442127152107096,0,0,0.0885659448573868,0.0573284946696267,0,0,0,0,0,0,0,0,-0.0515123623146198,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.312763131295976,0,0,0,0,0,0,0,0.32593995547759,0,0,0,0.213148537163925,-0.372485479934478,0,0,0,-0.0490633603052626,0.159951932052483,0,0.142906563660038,0,0,0,0.277003896018083,0,0,0,0,0,0,-0.0656256800720759,0,0,0,0,0,0,0,0,-0.0803019725545958,0,0,0,0,-0.17612001223017
X601988.CH.EQUITY,0,0,1.38777878078145e-17,0.176494800775028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297344340371879,0.0715967661893334,0,0,0,0,0,0,0,0,0.0734078176509029,0,0,0,0.00613675816802303,0,0,0,0.092766675831987,0,0.0837412590686606,0,0,0,0,0,0.0369530380393883,0,0,0
X600036.CH.EQUITY,0,0.111130080211998,0,0,0,0,0,0,0,0,0.0797268902554887,0,0.233339710014586,-0.0383984415637641,0,0,0,-0.0370695679113485,0.0792149224715073,0,0,0,0,0,0.381052607289416,0,0.0551828017218381,0,0,0.0600608588321506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546337388015489,0,0,0,-0.0381812819219582,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0126955760890501,0,0,-0.102941358225305,0,0,0,0,0,0,0,0.13741608397321,-0.0729286973637554,0,0,0,0,0.2143001525158,0.140871728336187,0.0899173501208852,0,0,0,0,0,0,0,0,0,0,0.0376503782247319,0,0,0,0,0,0,0,0,0.0505904004508239,0,0.248214853780559,0,0,0
X601628.CH.EQUITY,0,0.0290913620302024,0,0.0258044133455966,0,0,0,0,0,0,0,0,0.183587652000778,0.0239394641228354,0,0,0,0,0,0,0,0,0,0,0.00706026841158069,0,0.17240713672202,0,0,0,0,0.237382140957053,0,0,0,0,0,0,0,0,0,0.192620665338466,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0583883272702333,-6.93889390390723e-18,0,0,0,0.076986312719165,0.0117652923570424,0,0,0,0,0.125476828019831,0.0246627970224615,0,0,0,0,0,0,0.173761891958857,0,0,0,0,0,0,0,0,0,0.0521395761311803,0,0,0.014817877692773,0,0,0,0,0,0.192528172258527,0.238964041569865,0,0,0,0,0,0,0,0,0,0
