,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.484863427204901,0.0899718312747492,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0816340647535916,0.0668152935631922,0,0,0,0,-0.143777902998966,0,0,0,0,0,0,0,0,0.0247372327787155,0,0,0,0,0,0,0.0485293776933143,0,0,0,0,0,0,0,0,0,0,0.100368589605426,0.182415110164683,0.0392252247069308,0,0
X601318.CH.EQUITY,0,0,0.210127001976684,0.109194357665425,0,0,0,0,0,0,0,0,0,0,0.296311256463703,0.071049540363336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140467600597051,0,0,0,0,0,0,0,0.099704515110152,0,0,0,0,0,0,0,0.0238476133628049,0,0,0
X601939.CH.EQUITY,0.331723105181568,0,0,0,0,0,0,0,0,0,0,0,0,0.456195724227491,0,0,0,0,0.148640765171224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104704950829192,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0
X601288.CH.EQUITY,0.347937903876153,0,0.0171116719892841,0,0.506025956806824,0,0,0,0,0,0.01052397897778,0,0,0,0,0.0488324590208579,0,-0.0318663689878191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000453047902330119,0,0,0,0,0,0,0,0.0857517456337924,0,0,0
X601988.CH.EQUITY,0,0,0,0.109234852454111,0,0,0,0,0,0,0,0.499970625516923,0,0,0,0,0,0,0,0,0,0,0.020839406642293,0,0.007436897973613,0,0,0,0,0,0,0,0,0,0.104783684460529,0,0,0,0,0,0.112225932110126,0,0,0,0,0.0312459031459448,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.203828905748599,0,0,0,0,0,0,0,0.270027457131179,0,0,0,0.483780916353804,0.164369839367529,-0.600351940149527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.30832086145696
X600036.CH.EQUITY,0.0937124102848482,0.0304329697784772,0,0,0,0,0,0,0,0,0.156468297772797,0,0,0,0.0502167250764452,0,0,0,0.0729461760051275,0,0,0,0,0,0,0,0,0,0,0,0.107841038500517,0,0,0.239498652039825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213287280949164,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121504174347942,0.0260995516820861,0,0,0,0.0888972051921862,0.084314190695333,0,0,0,0,0,0,0.0707827335044308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313047493691885,0,0,0
X601628.CH.EQUITY,0,0,0.264630786106568,0.0322125769505214,0.226387414957783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539740797576579,0,0,0.132113448008818,0,0,0,0,0,0,0,0.110452479019794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.265901240259442,0,0,-0.0725810843540065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140598664546943,-1.38777878078145e-17,0.395210875731749,-0.360677156943568,-0.0739019919722497,0,0,0,0.841290024579186,0,-0.0553329258784559,0,0,0
