,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.296224124396597,0,0.00556282038169992,0,0,0.444302261584942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115306254475988,0,0,0,0.0651388919381302,0,0,0.0179432594765553,0,0,0,0,0,0,0,0.0769392362123749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.194191925074831,0,0,0,0,0,0.203924460125638,0,0,0,0.0574779845068417,0,0.109057781440018,0,0,0.0736097644592189,0,0,0.0366286718447717,0,0,0,0,0,0,0,0.147280765032503,0,0,0,0,0,0,0.117631992409096,0,0.0337535558954167,0,0,0,0,0,0,0.0167860462372387,0,0,0,0,0,0,-0.0528956867307506
X601939.CH.EQUITY,0.460674758771218,0.153285360334769,0,0,0,0,0,0.226737744158742,0,0,0,0.0121719799814772,0,0,0,0,0,0,0,0,0,-0.133518244159976,0,0,0,0,0,0,0.135437590113283,-0.0234587970950901,0,0,0.114170133500379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132791971771843,0.161846617890252,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.568906781043801,0,-0.08316823857124,0,0.0384187997478955,0,0,0,0,0,0,0,0,0.000394242598919307,0.0624206910517067,0.104644563745066,0.0765658277537192,0,0,0,0,0.114519133670197,0,0,0,0.055823087795334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540011885026954,0,0,0,0.00546721782920873,0
X600036.CH.EQUITY,0,0.156008996853132,0,0,0,0.0176625898117921,0,0,0,0,0,-0.00710440065317859,0.11263321782937,0,0,0.0297625353173114,0,0,0,0,0,0,0.0923483973991926,0,0,0,0.0847839466173906,0,0,0.0315830600156953,8.67361737988404e-19,0,0,0,0,0,0,0.053488134200315,0,0,0.0809294422815458,0,0,0,0,0,0,0,0,0.358497664268026,-0.287177379884467,0
X1299.HK.EQUITY,0,0,-0.15549136703471,0,0,0,0,0,0,0.174698527258524,0,0,0,0,0,0,0,0,0,0.147537678213005,0,0,0.0666764666478847,0.160952935663387,0,0,0,0,0,0,0,0,0.0717453569571721,0,0,0,0,0.210684802469548,0.0262997558435337,0,0.0476820766741469,0.072590015458737,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.115415989020404,0,0,0,0,0,0,0,0,0,0,0,-0.0191085472462251,0,0,-0.126552194124125,0,0,0,-0.0161104606082965,0,0.16065408863201,0,0,0,0,-0.120627931420307,0,0,0,0,0,0,0.569503064181783,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00998180533530394
X601988.CH.EQUITY,0.123723290804659,0,0.100248435549437,0.318316438472259,0,0,0,0,0,0,0,0,0.273261948357864,0,0,0,0.0902460622865841,0,0,0,0,0,0.00935336258446831,0.0196558666059452,0,0,0,0,0,0,0.17116197806894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.271183490463459,0,0,0,0,0,0,0,0,0,0,0,-0.0297549804139004,-0.102745552016123,0,0,0,0,0,0,0,0,0.382091075158239,0,0.0733452436942899,0,0.0994896012521324,-0.0194558583362683,0,-0.0396382597240328,0,0.0683638672522211,0,0,0,0,0,0,-0.0530623002659558,0.209562630757199,0,0.0657388551603299,0,0,0,0.153527780680131,0,0,0,0.0287631542601548,0
X388.HK.EQUITY,0,0,0,0,-0.0734669777401498,0.243668202168115,0,0,0,0,0,0,0,0,-0.0100100025794741,0,0,0,0,-0.113614634375475,0,0.475772942293478,0,0,0,0,0,0.0261141334753393,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.080067710963045,0.133209151915231,0,-0.081566283022898,0,0.155761750071877,0,-0.349703272637009,0.00485612494340206,0,0,0,0.170240038934481,0
