,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.365855939162138,0,0.294252876942033,0.00377622937508761,0,0.181054685276059,0,0.126401693689445,0,0,0,0,0,0,0,0,0,0,-0.114494009017223,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.104964580333686,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.0212040247231188,0,0,0
X601939.CH.EQUITY,0.317516914166334,0,0,0,0,0,0,0,0.058382477447073,0,0,0.0937082197795437,0.33058464833208,0,0,0,0,0.0931408585596261,0.0852836604024176,0,0,0,0,0,0,0,-0.116876402344533,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0129845667701796,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.155981879398989,0,0.114023862521182,0,0.0668758960094502,0.21618385165475,0,0,0,0,0,0,0,0,0,0,0,0.0243967993777455,0,0,0,0,0,0,0,0,0,0,0.0747682147036347,0,0,0,0.0820755752751366,0.230360831893101,0,0,0,0,0,0.00224282969347154,-3.46944695195361e-18,0,0,0,0,0
X601288.CH.EQUITY,0.403003290431365,0,0,0,0.414298729044628,0,0,0,0,0,0.0607122492170477,0,0,0,0,0,0.0746404626475339,0,0,0,0,0,0,0,0,0,0,0,0.036183786811541,0,0,0,0,0,0,-0.0132029679592979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.255119190498373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194849895464204,0,0.192408559960602,0,0,0,0,0,0,0,0,0.0049914695551078,0.10000384155649,0,0,0,0.0183386525102066,0,0,0,0,0,0,0,0,0.133363107792122,0,0,0.0851276421275877,0,0,0,0,0
X5.HK.EQUITY,0,-0.17265598989967,0,0,0,0,0,0,0,0,0,0,0,0.185558054049669,0,-0.00519226671441986,0.186202159092354,0,0,0.509755113137483,0,0.0186054678958886,0,0,0,0.450223039586518,0,-0.567554580390867,0,0,0,0.323019206924642,0,0,0,0,0,0,0,-0.0509285544323201,0,0.0779848608557485,0,0,0,0,0,0,0,0,0.134895569617157,-0.0996498351370966
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.237830797870264,0,0,0,0.281271885067925,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0188944807554171,0,0,0,2.77555756156289e-17,0.194688157387701,0,0,8.67361737988404e-19,0,0,0,0.0270818219288317,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.290887666066806,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0419876848604311,0.0173375510669623,0,0,0,0,0,0,0,0,0,0.140208767573039,0,0,0.16663396593292,0,0.0573566532320886,0,0,0,0,0,0.10087203275018,0,0,0,0,0,0,0.18448521932012,0,0,0,0,0,0.0105612185845288,0,0,0,0,0,0,0,0,0.177959892665098,0,0
X601628.CH.EQUITY,0.0440704939145209,0.0432863464416863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139178911174751,0,0,0,0.218689319555449,0,0.157633581298815,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0772171011070312,0,-0.0216388757824315,0.158016542271439,0,0,0,0,0,0,0,0,0,0,0.0483121515566656,0
X601658.CH.Equity,0,0,0,-0.00376619513682653,0,0,0,0,0,0,0,0,0,0.0719345823353041,0,-0.2356867401085,-0.351234442206136,0,0,0,0,0,0,0,0,0,0,0,0,0.177240615629981,0,0,0.20777734110015,0,0,0,0,0,0,0.425583153867888,0.0741941400060091,0,0,0,-0.120089035624101,0,0.456483379262692,0,0,0,0,-0.144203033153218
