,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.563647742913715,0.048086732136087,0.0303053214345603,0,0.0665011083108619,0,0,0,0,0,0,0.0467494918250268,0,0,0,0.0178684892724266,0.0620496577480142,0,0,0,0,0,0.0685978510690139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.096484513916347,0,0,0,0,0,0,0,0,0,0,0.186039590614479,0.0406421094968501,0,0,0,0,0,0,0.0496986524428929,0.0902766118258607,0,0,0,0,0,0,0,0,0,0.168987809413582,0,0,0.328730507849055,0,0,0,0.0159587566323769,0,0.0274477227778214,0,0,0,0,0
X601939.CH.EQUITY,0.468132893636237,0,0,0.183436164986509,0,0.111243780316161,0,0,0,0.017105643973013,0.134306123296653,0,0,0,0,0,0,0,0,0,0,0.000815420366652377,0,0,0,0,0.00122436849683734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004453362167888,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.436891687929748,0,0,0,0,0,0,0,0,0.176281783171148,0,0,0,0,0,0,0,0.127633934205513,0,0,0,0,0,0,0.0559593469716796,0.0424596900695844,0,0,0.0866027596303497,0.117985494715036,0,0,0,0,0,0,0,0,-0.0459728388388809,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0933162626220814,0,0,0,0,0,0,0,0,0.247452052852472,0,0,0,0,0,0,0,-6.93889390390723e-18,0.470977566125945,0,0,0,0.0982979018869966,-0.28897498811986,0,0,0,0,-0.124850790586234,0.413945944820536,0,0,0,0,0,0,-0.186792764781537,0,-0.306120322953868,0,0,0,0.266031218411027,0
X601988.CH.EQUITY,0,0,0.284018399381006,0,0,0,0,0,0.0103671667513869,0,0,0,0.0796184784641337,0.0871695512172995,0,0,0,0.0425580780598456,0,0,0,0,0,0.402023645524042,0,0,0,0,0,0.00726174599798113,0,0,0,0.135784453742407,0,0,0,0,0,0.0557070593368451,0,0,0,0,0,0,0.00147603827985069,0,0,0.0394814620603003,0
X600036.CH.EQUITY,0,0.0990691965182931,0,0,0,0,0,0,0,1.38777878078145e-17,0.100223123297185,0,0.289715407506059,0,0,0,-0.0542904157526151,0.00585000516615101,0.0957637927456106,0,0,0,0,0,0.347998965399228,0,0,0,0,0.0363947875852775,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034120336015932,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0458853408453391,0,0,-0.0904042500992643,0,0,0,0.140261703566611,0,0,0,0,-0.0337531760355831,0,0,0.266480086997838,0,0,0.0509460881090346,0.0650837579634398,0,0,0,0,0.0249152504152923,0,0,0,0,0,0,0,0,0,0,0,0,-0.0263159323252028,0,0,0.248904741431828,0,0,0,0.13835204987369
X601628.CH.EQUITY,0,0.0134756248975263,0,0.00354067398379517,0,0,0,0,0,0,0,0.0292068905566257,0.194495322947831,0,0,0.0228315369772091,0.0161974515129999,0,0,-0.0455287314181324,0,0,0,0,0,0,0.243944575689782,0,0,0,0,0,0,0.255149966599824,0,0,0,0,0,0,0,0.129748211033473,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.141860212014359,6.93889390390723e-18,0,0,0,0.00961967751021823,0.000938391699154307,0,0,0,0,0.112398894756444,0,0,0,0,0,0,0.0326014875558352,0.101825170636315,0.0188486009920482,0,0.0219058437181141,0,0,0.0784594899090524,0,0,0,0,0.112539641143232,0,0,0,0,0,-0.0217944453974349,0,0.164897427366575,0.224814209867538,0,0,0,0,0,0,0,0,0,0
