,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.149570920521572,0,0.0916210842877027,0,0,0,-0.0381230843037372,0,0,0,0.415774248020609,0,0,0,-0.0994006059235121,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0230400712853183,0,0,0,0,0,0,0,0,0,0.150921486991661,0,0,0,0,0,0.118421613079841,0,0,0.0432054991088168,0,-0.0159635010586862,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.116180195166863,0,0,0,0.201013771598261,-0.0455738457253094,0,0.197848164630957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0839299279378233,0,0,0.315135547865303,0,0,0,0,0,0.21776938513392,-0.261902765748874,0,0,0.253898224211283,0.191914218739417,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.562447529806177,0,0,0,0,0,0,-0.0742409124205931,0,0,0,0.0764140104976771,0,0,0.111875526550253,0,0,0,0,0,0,0,0,0,0.181701616891279,0,0,0,0,0,0,-0.018360191994462,0,0,0,0,0,0.104310560166514,0,0,0.308776384682152,0,0,0,0,0,-0.0027323491094479,0,0,0,0,0
X601288.CH.EQUITY,0.295780212898412,0,0.180017826618678,0,0,0.234703202623159,0,0,0,-0.0767702291410894,0,0,0,0,0,0,0.0684619342252187,-3.46944695195361e-18,0,-0.00396855832535902,0.0026324184196308,0,0,0,0,0.0400878213788839,0,0,0,0,0,0,0,-0.0867498649699446,0,0,0,0,-0.0257235496628398,0,0.222879672867076,0,0,0,0,0,0,0.165578648334658,0,0,0,0
X5.HK.EQUITY,0,0,0.0394353887662632,0.229920964287528,0,0.168824895443603,0,-0.312824900822432,0,0,0,0,0.0806409306300883,0,0,0,-0.043138434209771,-3.46944695195361e-18,0,0,0,0.419195138730684,0,0,0,0.415881769938576,0,0,0,0,0,0,0.0625293253164204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161820971280807,-0.109793772171905,0,0,0
X601988.CH.EQUITY,0.24054453226666,0.0514797870283692,0.205853678314646,0,0,0,0,0,0.175797691573455,0,0,0.20531712743164,0,-0.149485351019875,0,0,0,0,0,0,0,0,0,0,0.0242562274359138,0,0.0778994498162053,0,0,0,0,0,0,0,0.0711126903652466,0,0,0,0,0.184976333611446,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0196733496906272,-0.0120277084461661,0,0.0969616050873551,0,-0.0264345155251327,0.0290275332907531,0,0.32442071914922,0,0.262347965927615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0547263812018192,0.0715954422996663,0,0.0710211347324063,0,0,0,0.0904322402825762,0,0,0,0.117296013605021,0,0,0,0,0,0,0.0636092341790562,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0632882623982039,0,0,-0.0875261458576165,0,0.140586287597112,0.295734090007182,0,0,0,0,0.162936364835027,0,0,0,0,0.143817257969895,0,0,0,0,0,0.00970380790912027,0,-2.16840434497101e-19,0,0,0,0.102837986040472,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.124641175274804,0.261701760747725,0,0,0.0703731199873096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399820726505805,-0.146908021670309,0,0,0,0,0.235422990587353,0,0,0.0392540101086585,-0.257360224182023,0,0,0,0,0,0,0,-0.0401348641059791,0,0,0,0,0,0.0154804505712476,0,0,0.0823451214662302,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.114283813984312,-0.169113738476074,0,0,0,0,0,0,0,0,0.0336790439950643,0,0,0.685570847681943,0,0,0,0,0,0,0,0,0,0,0,0.540815353621457,0,0,0,-0.182093854580281,0,0,0,0,0,0.0669631250029933,0,-0.0734231776445733,0,-0.933800133649351,0,0.188185734025761
