,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.342409049245943,0.0614758418830367,0.110125979586964,0,0,0,0,0,0,0.209454335137558,0,0,0,0.0170792949524877,0,0,0,0,0,0,0,0,0,0.0134515606123676,-0.0258336622736048,0,0,0,0.0360727228685957,0.0087495920101784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450284733112325,0,0,0,0.14506519598168,0
X601939.CH.EQUITY,0.440856661885791,0,0,0,0,0,0,0,-0.0215307600569932,0,0.210120441147413,0,0,0.0416034781192293,-0.0104128281336966,0,0,0,0,0,0,0,0,0,0.158163074527661,0,0,0,0,0,0,0,0,0,0,0,-0.00637325238776929,0,0,0,0,0,0,0,0,0,0,0,0.0831676105410164,-2.16840434497101e-19,-0.0507059117713287,0
X601318.CH.EQUITY,0,0,0,0,0.166802212760597,0,0,0,0,0,0,0.182171358857895,0,0,0.0183187129094365,0,0,0,0,0,0,0.0954827873487464,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0580491677357605,0,0,0,0,0.19703620807802,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.176591327160361,0,0,0,0.365821140162005,0,0,0,0,0,0.0401747125670815,0,0,0.0943545944863734,0,0,0,0,0,0.0652218077033456,0,0,0,0,0.0957879424259355,0,0,0,0,0,0,0,0,0,0.146849715183411,0,0,0,0,0,0,0,0.0114075344339195,0,0,0,0,0,3.46944695195361e-18,0,0,0
X601988.CH.EQUITY,0,0,0,0.380980133419004,0,0,0,0,0,0.228543449641813,0,0,0,0,0,0.0623560720418361,0.157954250030021,0,0,0,0.0191259234476842,0,0,0,0,0,0.100159119162629,0,0,0,0,0,0,0,0,0,-0.500048463248798,0,0,0,0,0,0,0.0835972927983124,-6.93889390390723e-18,0,0,0,0,0,0,0.289821395020344
X600036.CH.EQUITY,0,0.0771957359167672,0,0,0,0,0,0,0.000918135185216608,0,0,0.190941113003232,0,0,0,0,0,0,0,0,0,0.273519075957767,0,0,0,0,0,0,0,0,0,0.282848258960179,0,0,0,0,0,0,0,0,0.0648072916602841,0.0539486166145748,0,0,0,0,0.0244230699774448,0.0890823230042134,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23624129308088,0,0,0,0.47973181303681,0,0,0,0,0,-3.46944695195361e-18,0,0.107385191636437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116677843313428,0,0,0,0,0.0458611139348823,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109232087621171,0,-0.299090608311516,0,0,0,0,0,0,-0.447390631118793,0.0741539523391159,0.746999753035136,-0.0100760012904662,0.649866858596369,0,0,0.0181630342191242,0,0,0,-0.151635304642102,0,0,0.37626664621752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.107925249296578,0,0,0,0,0.00253512755567825,0,0,0,0.381285160989767,0,0,0,0.034734627633451,0,0,0,0,0,0.00144149798565599,0,0.0512681449664327,0,0.0877700998619996,0,0,0,0,0.212289199490129,0,0,0,0,0,0,0,0,0,0.166184182679552,0.0370598263293391
X601658.CH.Equity,0,0,0,0.158291290605605,0.182111528855775,0,0,0,0,0,0,0,0,0.118446982097374,0,0,0,0,0,0,0,-0.0829008454402867,0,0,0,0,0.0367404134001036,0,0.0940672778895376,0,0,0,0,0,0,0,0,0.27652124419697,0,0,0,0,0,0,0,0,0,0,0.437061027175256,0,0,0
