,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.313129852720915,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209492161827443,0,0,0.11846776695179,0,0,0,0.161696621771721,-0.0580626451977729,0,0,0,0,0,0,0,0,0,0,-0.147728094509344,0.226925174144825,0,0.0110735826071193,0,0.0353213365046014,-0.132265616396435
X601939.CH.EQUITY,0.150076417891414,0,0,0.251220210065102,0,0,0,0,0,0,0,0,0,0.242532465423339,-0.0726788559673925,0,0,0,0,0,-0.067770385273755,0.0316889220910565,0,0,0,0.343497709332969,0,0,0,0,-0.0846785468334478,0,0,0,0,0,0,0,-0.0479963043340407,0,0,0,-0.0549629456748678,0,0,0,0,0,0.153491100071305,0,0,0
X601318.CH.EQUITY,0.0160048537769101,0,0,0,0.232707529010337,0,0,0,0,0,0,0,0.110460575396667,0,0,0,0,0,4.33680868994202e-19,0.0864214433461399,0,0,0,0,0.112137434315241,0,0,0,0,0,0,0,0,0,0,0.163787401758874,0,0,0,0.0953302674372722,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.236420406851636,0.0472452677484222,0,0.403125455276803,0,0,0,0,0,0.158401938561404,0,0.0975620685095007,0,0,-0.0195347609602951,0.0829625217794124,0,0,0,0,0.0144807049949744,0,0,0,0,0,0,0,0.0522676773504027,0,0,-0.0456618832817035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381468536231762,-0.0723231600237045,0,0
X601988.CH.EQUITY,0,0,0,0.380932247319675,0,0,0.0234299462697682,0,0,0.303477426310208,0,0,0,0,0,0.311719225914798,0,0,0.027984682958775,0.0929530084578423,0,0.140629382004564,0,-0.0627945523860905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.466351107260567,0,0,0,0.0465624219088186,0,0,0,0,0,0,0,0,0.344379442236904
X600036.CH.EQUITY,0,0.157897587843632,0.0170198209840827,0,0,0,0,0.0278456148300254,0,0,0,0,0.0638362635639419,0,0,0,0,0,0.0990006488601512,0,0,0,0,0,0.235945972877781,0,0,0,0,0,0,0,0,0.377374893042457,0,0,0,0,0,0,0.0676867976772132,0,0,0,0,0,0,0.0793099315178545,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0208198604985034,0,0.120935025192079,0,0,0.0765977513879229,0,6.93889390390723e-18,0.293967218406804,0,0,0,0,0,0,0.0257859478273496,0,0,0,0,0,0,0.0325718832675948,0,0,0,0,0,6.93889390390723e-18,0,0,0.340556457120709,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.390445650450402,0,0,0,0,0,-0.0812035946982283,0,0,0,0,0.020454407796854,0,0,0,0,0,0.215561537591627,0.0354832065754674,0,0,0,0,0,0,0,0.0267762647768985,0,0,0,0,0,0,0,0,0.019232361838299,0,0,0,0,0,0,0,0,0,0.201665918561048,0.0892960762599785
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132833805445335,0,-0.135325213316055,0,-0.0101557159685864,0,0,0,-0.395458528134153,0.807364362198001,0,0,0.574298230576194,0,0,0.195024037713288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109315882056081,0,0,0,0,0,0
X601658.CH.Equity,0,0.0263365467321616,0,0.0388925408593183,0.096356133627229,0,0,0,0,0,0,-0.0345893698344153,0,0.0548525480131333,0,0,0,0,0.140856512893807,0.23355097428696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333190239677714,0,0.134109360156926,-0.159247895508064,0,0,-0.134201151388025,0,0,-5.42101086242752e-20,0,0,0,0,0,0
