,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240275016407136,0,0,0,0,0.42228856692789,0,0,0,0,0,0,0,0,0,0,0,0.0733316292119238,0,-0.210606924963602,0.504059089002211,0,0,0,0,0,0,0,0,0,0.104189191267578,0.0159540144818622
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.141480331682252,0,0,0,0,0,0,0,0.0384007365437677,0,0.0707816838019153,0,0.0517154087291653,0,0,0,0,0.122169885057459,0,0.0508556091347616,0,0,0,0,0,0,0,0.24909112012985,0,0,0,0.232077007412554,0,0.00658760274344609,0,0,0.0338522337290218,0,0,0,0,0,-0.0128970870604318
X601939.CH.EQUITY,0.253744128365344,0,0,0,0,0,0,0,0,0.0352509334951459,0,0,0,0,0,-0.0128599998716005,0,0,0,0,0,0,0.0563740369106769,0,0,0,-0.141874944752966,0,0,0,0,0,-0.000303868090378771,0,0,0,0,0.0473005345077801,0,0.0481506764916682,0.511928931788267,0,0,0,0,0,0,0,0,0,0.116905479445574
X601288.CH.EQUITY,0,0,0,0,-0.243674495362568,0,-0.238314377567681,0,0,0,0.817785649902933,0,0,0,0.0470557146355745,0,0,0,0,-0.148645116898338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101141805169454,0,0,0.103394045730066,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.135544281690161,0.403618921707436,0,0,0,-4.33680868994202e-19,0,0,0,0.182252264327939,0,0,0,0,0,0,0,0.0608210286720537,0,0,0,0.0351174866465094,-0.133451712139029,0,0,0,0,0,0,0,0,0,0.06925061298183,0,0.158507104993519,0,0,0,0,0,-0.171523463963156,0,0,0.118248529854098,0,0
X601988.CH.EQUITY,0,0,0,0,0.273237589627393,0,0.0429873383345504,0,0.043038218178434,0,0.109117620086325,0,0,0,0.130664469440003,0,0,0.0967993271519577,0,-0.0307266039801375,0,0,0,0,0.0495627108071234,0,0,0,0,0,-0.270046695760815,0,0.107249203105017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880623180293214,0
X1299.HK.EQUITY,0,0,0,0,0.284772171025323,0,0,0,0,0,0,0,0,0,0,0,0,0.129036370323067,0,0,0.0601754948862147,0,0,0,0,0.0683031617806021,0,0.120658546459711,0,0.0945968389541451,0,0,0,0,0,0,0,0.31130952158257,0,0,0,0,0,-0.202432396089025,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.115559086786121,0,0,0,0,0,0,0,0.375651028105935,0,0,0,0,0,0.111911986187278,0,0,0,0.27809981851909,0,0,0,0,0,0,0,0,0.166735415380878,0,0,0,0,-0.124545313881977,0,0,-0.148458739555816,-0.159665325050068,0,-0.0852324810171833,0,0,0,0.265910399681729,0,0,0,0,0,0,0.0158146809495092
X601628.CH.EQUITY,0,0.181414858771571,0.0166011976547827,0.0831044512789919,0,0,0,0,0,0,0,0,0,0,0,0,0.212998193644576,0,0,0,0,0,0,0,0.0389195646847712,0,0,0,0,0,0,0,0,0,0.229306187400509,0.0192352925623409,0,0,0,0,0,0.0970762940012218,0,0.0930516463309144,0.112904177768903,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.75585803731506,0,0,0,0,0,0,0,0,0,0,0,0.147907455787423,0,0,0,0,0,0,0.0386993815460735,0,0,0,0,0,0,0,0,0,0,0,-0.00949363134411571,0,0,0.0207258314771817,0,0.00343242350843588,0,-0.204209706870702,0,0,0,0.0517767157524519,0
X601166.CH.EQUITY,0.135154556319399,0,0,0.262415995077944,0,0,0,0.0965614305841605,0.00216553983981621,0,0,0,0.307748244538548,0,0,0,0,0,0.034234604465235,-0.014795487304532,0.0253521193343944,0,0,0,0.0532540827862026,0,0,0,0,0,0,0,0.117087619662365,0,0,0,0,0,-0.1644441546775,0,0,0,0,0,0,0,0,0,0,0.0624908032159507,0
X601319.CH.EQUITY,0,0,-0.0103574256550693,0,0,0,0,0,0,-0.0230887106697828,0,0,0,0,0,0,0,0,-0.196081121537739,0.0586766890699398,0,0,0,0,0,0,0,0.0057437871325376,0,0,0,0,0,0,0,0.199286087274844,0,0,0,0,-6.93889390390723e-18,0,0.470478112869138,0,0,0.0750729131291712,0,0,-0.0271719723787602,0,0.0596857524185599
X600000.CH.EQUITY,0.00958566346008059,0,0,0,0,0,0,0.028083491104395,0,0.208810717291514,0.470355641071616,0,0,0,0,0,0,0,0,0,0.0405696246291051,0,0,0,0,0,0.33284974119902,0,0,0,0,0,0,0,-0.0776811453721598,0,-0.195510300125679,0,0,0,0,0,0,0,0,-0.072900357882524,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,-0.0854151178593232,0,0,0,0.0577041928902559,0,-0.0292067216685941,0,0,0,0.144379592503874,-0.191283360779938,0,0,0,0,0,0,0,0,0,0,0,0,0.342576613369754,0.156220516808445,0,0.222104732757491,0,0,-0.0357192159545496,0,0.56150529165162,0,0,0,0,0,0,0,0,0,0,-0.0266774589695037,0,0
