,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.066891163655856,0,0,0,0,0,0.022581642737297,0,0,0,0.18814238033202,0,0,0,0.437112044176062,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136235178328126,0.463881331689519,0,0,0,0,0,0,0,0,0,0.075539905373285,0.0329932954338399
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0465421566361759,0,0,0,0.0620806195955616,0,0,0,0,0.160549207843071,0.0727324803607102,0.104991703724765,0,0.00889762025359371,0,0,0,0,0.101473067854883,0,0.0743670279202261,0,0,0,0,0,0,0,0.266105720494518,0,0,0,0.129708284111875,0,0.0345350532294686,0,0.109328743492691,0,-0.017236889737149,0,0,0,0,0
X601939.CH.EQUITY,0.303049862641522,0,0,0,0,0,0,0,0,0.055011338561914,0,0,0,0,0,0,-0.18150522544384,0,0,0.164991093704288,0,0,0.247484617031594,0,0,0,-0.274834202488578,0,0,0,0,0,0,0,-0.111944929668772,0,0,0,0,0.00810916812106205,0.499728167012686,0,0,-0.0345020497081449,0,0.0513227656462715,0,0,0,0,0.164940070030654
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0519671678250605,0,0.153727355552945,0,0.259769251044973,0,0.0214947827675739,0,0.348603405375683,-0.103897496664984,0,0,0,0,-0.0726818611259456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.145542640859363,0.395609323481661,0,0,0,0,0,0,0,0.170932782635533,0,0,0,0,0,0,0,0.0897796035376553,0,0,0.0351273244255562,0.0436610859166246,-0.138096373171197,0,0,0,0,0,0,0,0,0.0535364204795793,0,0,0.131045227776472,0,0,0,0,0,-0.186026156756829,0,0,0.123724723414484,0,0
X601988.CH.EQUITY,0,0,0,0,0.25320557980728,0,0,0,0.173418414329935,0,0,0,0,0,0.140292828902795,0,0,0.0582933446241759,0,0,0,0,0,0,0.11134270229498,0,0,0,0,0,-0.151209610831468,0,0,0,0,0,0,0,0,0,0.0158238286597505,0,0,0,0,0,0,0,0,0.123816942162995,0
X1299.HK.EQUITY,0,0,0,0,0.161078433493347,0,0,0,0,0,0,0,0,0.0147466544497355,0,0,0,0.185041050974262,0,0,0,0,0,0,0,0.0673320250950807,0,0.0215910150631866,0,0.113195973826262,0,0,0.127219994975753,0,0,0,0.386382527795557,0,0,0,0,0,0,5.42101086242752e-20,-0.216745488491522,0,0,0,0,0,-0.0441340438335397
X600036.CH.EQUITY,0,0.0592898083789111,0,0,0,0,0,0,0,0.526322076961364,0,0,0,0,0,0,0.070094386698028,0,0,0,0.241542937942699,0,0,0,0,0,0,0,0.147636921512417,0,0,0,-0.197997926581024,0,0,0,0,-0.166477495843732,-0.00286042339188063,-0.0236012954691024,0,0,0,0,0.192274471077559,-0.0511641207892984,0,0,0,0.0305323225029701,0
X601628.CH.EQUITY,0,0.109675927475805,0.0100679559208837,0.0497678954465564,0,0,0,0,0,0,0,0,0,0,0,-0.0495399532581281,0.179445903541276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134930585260738,0.215819458535493,0,0,0,0,0,0.243502358017798,0,0.0774928545500767,0.13564167106252,0,0,0,0,0,-0.0631528986293225
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.703360948094106,0,0,0,0,0,0,0,0,0,0,0,0,0.132839389106571,0,0,0,0,0,0.0350892436753416,0,0,0,0,0,0,0,0,0,0,0,-0.00872365321685845,0,0,0.0204013672697884,0,0,0.0034258335319062,-0.182889592437353,0,0,0,0.0476572133528937,0
