,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0249255203292025,0.513921589302663,0,0,0,0.123618655711052,0,0,0.0818472592763723,0.0348764787973628,0,0,0,0.171997609960335,0,0,0.00897103340079621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148343318014195,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.127455874171421,0.280617208610381,0,0,0,0.0185984450467562,0,0,0.0146957025313875,0,0.327559450643213,0.0909934719828198,0,0,0.0673998542027396,0,0,0,0.0418738691620149,0,0,0,-0.0456366670814854,0,0,0,0,0,0,0,0,0,0.0579963877898799,0,0,0,0,0,0,0.00315083163501712,0,0,0,0.00437621058912858
X601939.CH.EQUITY,0.176402247491403,0,0,0.45914055410913,0.0660514304544912,0.0903173111539557,0,0,0,0,0,0,0,0,0,0,0,-0.0165554121467594,0,0,0,0,0,0,0,0,0,0.210318154607489,0,-0.0140898858297484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200794361303002,0,0,0.012922371026324,0.0415061574664828
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.0734230798878009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160845172255941,0,0,0.533666340884376,0,-0.0416286433064755,0,0.102683336265443,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0298627736031133,0,0,0,0.225106048356035,0,0.111455929546189,0,0,0.285928062327586,0,0,0,0,0.0409505722827524,0,0,0.0263052461382137,0,0,0,0,0,0,0.0541193542963073,0,0,-0.103153768396501,0,0,0,0,0,0.141206069953344,0,0,0,0,0.0739828995986034,0,0,0,0,0,0,0.175310796571944,-0.154478150038446,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.289865306680983,0,0,0,0.0734012348622031,0,0,0,0,0,0,0,0.0764836097727825,0,0,0,0,0,0,0,0.121662438045592,0,0,0,0,-0.221932566541299,0,0.0307418288987297,0.0397857270325614,0,0,0,0,0,0,0,0,0.105590432916537,0,0,0,0,0,0,0,0.150875925168823,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0960046332423446,0,0.0848600821970769,0,-0.150587288069597,0,0.0935296291273623,0,0,0,0.565486488588221,0,0,0.0136305706735576,0,0,0.0997050338579774,0,0,0,0,0,0.058932249434249,0,0,0,0,0.0446783085651036,0.234829894755282,0,0,0,0.123321805348521,0,0,0,0.0126886423975721
X1299.HK.EQUITY,0,0,0,0,0.243792859291957,0,0,0,0,0,0,0,0,0,0.0904773853346559,0,0.115056043224509,0,0,0,0,0.060826971634053,0,0,0,0,0.0738649641291167,0,0.167697202873677,0,0.0294580056153415,0.119378352771312,0,0,0.0581032623691416,0,0,0,0,0,0,0,0,-0.102657087479857,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.175627270682164,0,0.175336359684937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617956731057054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114231404096464,0,0,0.387673423458531,0,0,0.0424704128966603,0.0117200770891931,0,0.126022563897539,0.0615691249175402,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.371302956670178,0,0,0,6.93889390390723e-18,0,0,0,0,0.419973711277486,0,0,0,0,0,0,0,0,0.0103964032416685,0,0.150825464805722,0,0,0,0,0,0,0,-0.0180498525081512,0,0,0.0271794917467323,0,0,0,0,0,0.0913446216524174,0,-0.0160761197279116,0.213486022381122,0,0,0,0.0812979406337479,0,0,0,0
