,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0302497119741722,0,0.37822045420154,0,0,0.108188201410923,0,0.29781209381396,0,5.55111512312578e-17,0.126025976546902,0,0,0,0,0,0,0,0.0253690259523075,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.284909680361006,0,0,0.179126559840862,0,0,0,0,0,0.0462355318822721,0,0,0.431228689502882,-0.0520222743963599,0,0,0,0,0,0,0,0,0,0,0,0,-0.103472464377094,0,0,0,0,0,0.0590826484165219,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018726309516406,0,0.00518650867671402
X601318.CH.EQUITY,0,0,0,0,0.0755062170240691,0,0.114425385046413,0,0.0546886243147075,0,6.93889390390723e-18,0.254115414188917,0,0,0,0,0,0,0,0,0.0102641993107903,0,0,0,0,0.0456869649754802,0,0,0,0,0,0,0,0,0,0,0.0239700291533692,0,0.0831691512675627,0.186766126343816,0,0,0,0,0,0,0.116644641440696,0,0,0,0,0
X601288.CH.EQUITY,0.41530483105612,0,0,0,0.400217813369354,0,0,0,0,0,0.0656493732922519,0,0,0,0.0696456646080689,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0340161963877277,0,-0.0148059615727716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.277723491024022,0,0,0,0,0,0.00162965095112779,0,0,0,0,0,0,0,0.136276584552037,0.135504405923829,0,0,0,0,0,0,0,0,0,0.0014848939827,0.0668047017738996,0,0,0,0.0119147750775636,0,0,0.0468697351441793,0,0,0,0,0,0,0,0.16581655373262,0,0.149335066456016,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258370310946114,0.104082120463129,0,0,0,0,0.0103797384800133,0,0.498129790944704,0.128633953511665,0,0,0.487239538565057,0,-0.590109814491542,0,0,0,0,0,0,0,0,0,0,0.136547997311332,-0.0286864461039773,0,0.0900822501923929,0,0,0,0,0,0,0,0,0.118370354215605,-0.0314662004956764
X600036.CH.EQUITY,0,0,0.087001002104111,0,0,0,0,0.120107844071609,0,0,0,0.351664403832335,0,0,0,0,0,0,0,0,0,0,0,0,-1.45036882569713e-05,0,0.0913233171731551,0,0.0792930923014185,0,0,0.122057404646313,0,0,0.168482474123301,0,0,0,0,0,0.0309031991167994,0,0,0,-0.0971303473957231,-0.0404248585024708,0,0,0,0.242006769430633,-0.0231899970773426,0.0940102353141938
X1299.HK.EQUITY,0,0,0,0,0,0,0.0455177742933329,0,0,0,0,0,0,0,0.109553975629121,0,0.0396386471569816,0,0,0,0,0.208404071769342,0.0915281988647328,0,0.111193668191163,0,0,0,0,0.143441671261449,0,0,0,0,0,0,0.0912842860981703,0,0,0,0.0153705621921836,0,0,0,0,0,0,0,0,0.242735632524588,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.068713165450271,0,0,0,0,0,0.105046475731747,0,0,0.201535626917568,0,0,0.356715047262,0,0,0,0,0,0.0648917352124124,0,0,0,0,0,0.0183375341043911,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0404115013227833,0
X601658.CH.Equity,0,0,0,0,0.310284307872313,0,0,0,0,0,0,0,0,0,-0.0656726530382724,0,0,0,0,0,-0.34125721334899,0,0,0,0,0,0,0,0,0.274037788967338,0,0,0,0,0.175155230743201,0,0,0,0,0.232983768461871,0.0411014073711394,-0.204904417458991,0,0,0,0,0.779594876936933,0,0,0,0,-0.0177083341721167
