,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.448782480423531,0,0.102899420265247,0.0674642001254963,0,0.0577383139622094,0,0,0,0,0,0.0414832918112708,0,0,0,0,0.0455445561628722,0.0477253469981388,0,0,0,0,0,0,0.116487284807487,0,0.0133442001921172,0,0,0,0.0177422153841205,0,-6.93889390390723e-18,0,0,0,0,0.00165348236994015,0,0,0,0,0,0,0,0,0,0,0.0126089816019032,0
X601939.CH.EQUITY,0.253417679789839,0,0,0.368499484138875,0,0.149063809527984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315458345660199,0.046935095706643,0,0,0,0,0,0.0814345231966473,0,0,0,-0.0124067173806648,0,0,0.00857097657868585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109455455685529
X601318.CH.EQUITY,0,0.0860142702827651,0,-1.38777878078145e-17,0,0,0,0,0.00711072975982909,0.0591621603127143,0,0,0,0,0,0,0,0.114063940667684,0.0256168041404635,0,0,0,0,0,0,0,0,0,0,0,0,0.0887726838482587,0,0.167777707191176,0.0316731291877221,0,0,0,0.109687908175426,0,0,0,0,0,0,0.219715183603998,0,0,0,0,0
X601288.CH.EQUITY,0.217317999539281,0.0754157189694522,0,0,-0.0155212837827932,0.0162497026147367,0,0,0,0.156023341176747,0,0,0,0,0,0,0,0.118916133147387,0,0,0,0,0,0,0.0064793918869217,0.270857926670443,0,0.0731161850029658,0,0.0687864749516198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.403692583198623,0,0.208805575226131,0,2.77555756156289e-17,0,0,0,0,0.255144530819287,0,0,-0.445369355650236,0,0,0.000225408991034788,0,0,0,0,0,0,0,0,0.140238555215816,0,-0.202647378692656,0,0.643292527109501,0,0,-0.424216068305889,0,0,0,0,-0.0467100612898995,0,0,-0.43246846740345,0,0,0,0,0.266972470745759,0
X601988.CH.EQUITY,0.0130126675894588,0.27109107367143,0,0,0,0,0,0,0.0265748345992298,0,0,0,0.109286198384664,0,0,0,0,0,0,0,0,0,0.607814072183244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297179972443445,0.0494792645094162,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0136608128995126,0,0,0,0,-0.00215707149904324,0,0,0,0,0.047707372773791,0,0,0,0,0,0,0.731060088695915,0,0,0,0.139067216048739,0.00315994353095007,0,0,0,0,0,0,0,0,0,-0.00173547053739586,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.100059605251498,0,0,-0.110268597592258,0,0,0.169920589936698,0,0,0,0,0,-0.0850909928671834,0,0.282417955940126,0,0,0,0.014063969291845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052469916976286,0,-0.00369520748513899,0,0,0,0,0,0,0.289446239109891,0,0.123139837118163
X601628.CH.EQUITY,0,0,0.146520872678702,0.0753515893594802,0,0,0,0,0,0,0.0515908993325645,0,0,0,0,0,0.0677639429316934,0.091137371676979,0,0,0,0,0,0,0,0.0837964443923022,0,0,0,0,0,0,0,0.0316015219046505,0,0.229349972956061,0,0,0,0,0,0,0.129924804069108,0,-0.0401990250854299,0.0855535941844495,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0665059046924306,0,0.000896089387813384,0,0.0468410556955897,0.0057864065101034,0,0,0,0.116054510950146,0,0,0,0,0,0,0,0,0.0128727060671158,0.200599689835201,0,0,0,0,0,0,0,0,0,0.15059944147056,0,0,0,0,0,0,0.170693534501912,0.26714058708171,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0
