,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.254111442588852,0,0,0,0,0,0,0.127074615904973,0,0,0,0,-0.169651050046427,0,0,0,0,0.367896363324179,0,0,0,0,0,0,0.233215072369673,0,0.0815909753293295,0,0.105649370953326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0575816296369785,0,-0.0552875826476538,0
X601318.CH.EQUITY,0,0,0,0,0,0.0260389500244494,0,0,0.243247806580376,0,0,0.267185939394797,0,0,0,0.0985849112379385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108924424442622,0,0,0,0,0,0,-0.254695234573115,0.0954705859212846,0,0,0.177915998496524,0,0,0,0,0.101708075312161,0,0,0
X601939.CH.EQUITY,0.439501488550196,0,0,0,0,0.19045632778915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569589379735724,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360536455170445,0,-0.15316323424599,0,0.086289719371927,0,0,-0.0110082556664216,0,0,0,0,0
X601288.CH.EQUITY,0.565710744154943,0.0318391937770502,0.106064182515998,0,0.0655855222330636,0.0109612837217855,0,0,0.048323240430467,0,0,0,0,0,-3.46944695195361e-18,-0.0354026172497669,0,0,0,0,0,0,0,0,0,0,0.0812941502895849,0,0,0,0,0,0,0.0507419390374545,0,0,0,0.158004123887474,0.179549052994569,0,0,0,0,0,0,0.0435021812316844,0,0,0,0,-0.0593785640903268
X5.HK.EQUITY,0,-0.116166906628981,0.188302921801504,0.139967026310502,0,0,0,-0.155933001326658,0,0,0,0.229106397037809,0,0,0,0,0,0.590349928133152,0,0,-0.0643242145679618,0,0,0.141050906976054,0,0,-0.166679395035417,0,0,0,0,0,0,0,0,0.0231292395668819,0,0,0,0,0,0,0,0,0,0.145595554442018,0,0,0.11811220735042,0,0
X601988.CH.EQUITY,0.105588908040066,0.065095875409097,0.229924904890889,0.199419249042538,0,0,0,0,0.0956960664415462,0.0976388019227264,0.132744750705463,0,-0.314982788389225,0,0,0,0,0,0,0,0,0,0.0292915742844416,0,0,0,0.10465191145841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484566663000325,0,0,0,0,0.0572047711090672,0.0600062864383891
X600036.CH.EQUITY,0,0.372163143076225,0,0,0,0,0,0.034327207044983,-0.0112398910361305,0,0,0,0,0.288333718068793,0,-3.46944695195361e-18,0.0201779869655023,0,0,0,0,0,0,0.176251079845671,0,0,0,0,0,0,0,0.0927032601787338,0,-0.0399122573211997,0.000544414852262531,0,0,0,0,0,0.164788337113914,0,0,0,0,0,0.0163948660749154,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.161054193414435,0,0,0,0,-0.0488592496625827,0,-0.0494435382522702,0,0,0.274057024496515,0.273015976890891,0,0,0.143438373297435,0,0,0,0,0,0.0955165725494141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710557998346339,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0591850240553882,0.317945774746355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482011021189004,0.0430808650037257,0,0,0,0,0,0.12242370732752,0,0,0,0,0,0,0,0,0,0,0,0.170432652733921,0,0,0,0.23403759233505,0.100961395745015
X601166.CH.EQUITY,0.117395278010886,0,0,0,0,0.0437511592269946,0.499670100186778,0,0,0,0,0,0,0.0393398528429537,0,0.246709701499509,0,0,0,0,0,0,0,0,0,0,0,0.0835485788362528,0,0,0,0.0441059538412919,0,0.109042358942171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
