,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X12.HK.EQUITY,0,0,0,0,0.146448678910404,-0.348370019225332,0.482956659247325,0,0,0,0,0,0,0,0,0,0,0,0,-0.198203161308027,0,0,0,0,0,0,0,0,0,0,0.0265178995201741,0,0.470695873146945,0,0,0.235206729807767,0,0,0,0,0,0,0,0,0,0.318999158496649,0,0,0,0,0.0662708038804408
X823.HK.EQUITY,0,0,-0.0384902907242293,0.037791745407575,0,0,0,0,0,0,0,0,0.202824111737937,-0.214556181525177,0,0,0.113894418913009,0,0,0,-0.0409907419491854,0,0,0,0,0,0.0565803062285138,0.104299881072964,0,0,0,0,0,0,0,0,0.0905858692827098,0,0,-0.00689235287756968,0,0,0,0,0,0.112789530836741,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45322943483833,0,0,0,-0.0532785709535871,0,0.0300954703903671,0,0,0,0.0362416477685287,0,0,0,0,0,0.212234912972952,0,0,0,0,0.093874625857491,0,0,0.0624170339132756,0,-0.0787832809567682,0,0
X001979.CH.EQUITY,0,0,0.0478537383146281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0920520708433619,0,0,0.343554252817151,0,0,0,0,0.0346986307294253,0,0,0,0,0,-0.0417337546829745,0,0.203060219050252,0.192141394443851,-0.0301040647979167,0.0304151494044028,0
X600048.CH.EQUITY,0,0,0.196525797656512,0,0,0,-0.083119485903787,0,0,0.0365763542677937,0,0,0.18406445367787,0,0.280961890970669,0,0,0,0,-0.00759661920217758,0,0.166165884558771,0,0,0,0,0,0,0,0,0,0,0,0,0.064389689211034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225927987584425,-0.207046783888783
X601211.CH.EQUITY,0,-8.67361737988404e-19,0,0,0,0.0059920585635164,0,0,0.0122406369181088,0,0,0.063780767189695,0.0308818406949335,-0.0252683593762798,0,0,0,0,0,0,0.0463194434535394,0,0.458759895826729,0.0394964354928989,0,0,0,0,0.0589718569195973,0.0407887257425841,0,0,0,0,0,0,0,0.0299259610929391,0,0,0,0,0,0.149483057138531,0.0559057371775087,0,0,0.197404055224226,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0.111704856148399,0,0,0,0,0.136982522271483,0,0,0.0178520261216787,0,0,0.0902558729067264,0,0,0,0,0.12182630570608,0,0.328808426815937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855844180774135,0,0,0,0,0,0,0,0,0,-0.0195009212315004,0.105254053560007
X1997.HK.EQUITY,0,0,0,0,0,0,0.0141667255170738,-0.0291885070500558,0,0,0,-0.366044664525181,0.31430597396423,-0.00153284089105958,0,0,0,0,0,0,0.0113637394906548,0,0,0,0,0.188957626160067,0,0.0394402141370211,0,0.160263374850124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408558408240111,0.0660259338935779,0,0.0215957293591004,0,0
X601066.CH.EQUITY,-0.221513119144571,0,0,0,-0.0654425102784162,0,0,0,0,0,-0.0747871999587659,0.0768883257263911,0,0,0,-0.334283672054089,0,0,0,0,-0.105187765462798,0,0,0,0,0,0,0,0.181806644080567,0,0.256980371704607,0.396698052233262,0,0,0,0,0,0,0,0,0,0,0,0.309191206549976,0,0,0,0,-0.00414348140163945,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0.0195164164009395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553756292788322,0,0,0,0,0,0,0,0,0.19197125113021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0338592388502395,0
X002142.CH.EQUITY,0,0,0.0434469641934198,0,0,0.0709530849683524,0,0.191926435910263,0.114424864452663,0,0,0.0481536266767877,0,0,0,0,0,0,0,0,0.162657818434363,0,0,0,0.214602118140998,0,0,0,0,0.00998002314748653,0,0,0,0,1.38777878078145e-17,0.147464837606755,0,0,0,0,0,0,0,0,0,0,0,0,0.102118225468696,0,0
X601229.CH.EQUITY,0.306369562183241,0,0,0,0,0,0,0.240055232269572,0,0,0,0,0,0.074153009351548,0,0,0,0,0,0.0808456761326322,0,0,0,0,0,0,0,0,0,0,0,0.109425213448959,0,0,0,0,0,0,0,0.0804928055500757,0,0,0,0,0,0,0,0,0.0724905541171213,0,0
X601169.CH.EQUITY,0,0,0,0.0540705324947927,0,0,0.0347380709556004,0.123635241000503,0.0308876880319525,0,0.0232753744150005,0,0.0379933872714576,0,0,0,0,0,0,0,0,0.286359203953292,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.0930861111588916,0,0,0,0,0,0.259524244406807,0,0,0,0.0484845082658989,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,-0.089613030119691,0,0,0.28742274276583,0,0,0,0,-0.0465533998106165,-0.369661892161406,-1.38777878078145e-17,0,0,0,0,0,0,0.605629744051714,0,0,0,0,0.128671252980017,0,0.358676109849798,0,0,0,0,0,0.0536244604193272,0,0,0.00582333363522009,0,0,0,0,0,0,0,0,0,0,0,0,0.200990814073076
X000166.CH.EQUITY,-0.0897548111902906,-0.0850623350376631,0,0.0136530959161564,0,0,0,0,0,0,0,0.124492930091226,0,0,0.00893953099243441,0.167482174381119,0,3.46944695195361e-18,0,0,0,0,0,-0.0174248764176194,0,0,-0.169866339217764,0,0,-0.00445734774646066,0,0,0,0,0.486330327076419,0,0,0.0217120579485074,0.292341545029384,0,0,0,0,0,0,0,0.278024860557802,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,-0.0552103551780205,0,0,0,0,0,0,0,0,0,-0.0574323520757142,0,-0.0314988017826657,0,0,0,0,0,0,-0.207774372692714,0,0,0,0,-0.0635471752318341,0,0,0,0,0,0,0,0,0.28161212509815,0,0,0,0,0,0,0.894100664285951,0,0
X17.HK.EQUITY,0,0,0,0,0.179818424961362,0,0,0,0,0,0,0,0.511878312216427,0,0,0.0862330930695248,0,0,0.0535672200811626,0.119593658857634,0,0,0,0,0,0,0,0,0,0.0464774573185851,-3.46944695195361e-18,0,0,0,0,0,0.27470238340741,0.139325628330633,0,0,0,0,0,0,0,0,0.0043571982434795,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0.0683604617147497,0,0,0,0,0,0,0,0,0,0,0.0242038431002483,0,0,0,0.0127312614126809,0,0.406449762898081,0,0,0,0,0,0.00724361996591531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11053892868696,0.432179995645817,0.0635414511617418,0.00336269741991181,0,0,0,0,0
X600999.CH.EQUITY,0,0.0309251498878579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552692917266414,0,0,0.00864335103428841,0.0208742472027375,0,0,0,0,0,0,0,0,0,0,0,0.471293046996035,0,0,0.0674497942348973,0,0,0,0.0190589742559383,0,0.0924877952576529,0,0,0.305091271591559,0,0,-0.0122814597236473,0
X2881.TT.EQUITY,0,0,0,0,0,-0.0948785886917826,0.00892849756128538,0,0,0,0,0,-0.465831691943288,-0.0986456449041078,0,0,0,0.0138219597844025,0,0,0,0,0,0,0,-0.105625453461187,0,0,0,0,0,0,0,-0.140034024433021,0,0,0.13786192347093,0,0,0.220495232275111,0.0910183639118233,0,-0.125027998701862,0,0.555163912432154,0,0.126368417369249,0,0,0,0
FXI.US.EQUITY,0,0,0,0,-0.0216244155916318,0,-0.0814590794186167,0,0,0,0,0,0,0,0.407095426585442,-0.179572079763067,-0.10853433894601,0,0,0,0,0,0,0.377983583149772,0,0,-0.0514030959690421,0,0,-0.179245628482892,0,0,0,0.337359164989359,0,0,0,-0.393172137483845,0.229622953867608,0,-0.329289560979817,0,0,0,0,0,0,0,0.00573392810414781,0,0
CN2YR,0,0,0,0,-0.293011531426708,0,0,0.129942829669171,-0.0799606659002166,0,0,0,0,0,0,0,0.216181990815177,0.251011059366108,0,0,0.0572360376976292,0,0,0,0,0,-0.0855773036975685,0,0,0,0,0,-0.0472234160803759,0,0,0,0,0,0,0.0156378900706329,0,0,0.0785712949964426,0,-0.172516951362599,-0.0613901318026866,0,-0.112964134252218,0,0.0877937774066797,0
