,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.146947309240506,6.93889390390723e-18,0.0855917337752731,0,0,0,0,0,0,0,0.358138415552263,0.0867214560911806,0,0,0,-0.124580349117225,0,0,0,0,0,0,0,0,0,0,0,0.119467915474057,0,0,0,0,0,0,0.239046439943821,-0.010159662753982,0,0,0,0,0,0,0.0476861684702401,0,0,0.0544070263323775,0,0,0,0,0.0655108628394721
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.131755672445387,0,0,0,0.0265370796326408,-0.155987431075541,0.0981304107683253,0,0.0754444665899601,0,0,0,0,0,-0.0417827653284762,0,0,0,0,0,0,0,0,0,0,0.179332597239966,-0.0281784234977581,0,0,0,0,-0.219907394200957,0,0.368527830021038,0.181087083673045,0.117660085894299,0,0,0,0,0.195914385190231,0,0,0
X601939.CH.EQUITY,0.250552246877063,0,0,0.232729001979662,0,0.137700960232926,0,-0.0333197459156922,0,0,0,0,0,0,0.0343769920169875,0,0,0,0,0,-0.00631091314871765,0,0.0664841159896788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476110992405257,-0.102209797447052,0,0.0235967498509289,0,0,-0.0427821862899154,0,0,0.0262703045780115,-0.0158850226240509,0,0
X601288.CH.EQUITY,0.561875844659239,0,0.168062000353321,0,0,0.0262485306650209,0,0,0.0127408845455911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242839816313123,0,0,0,0,0,0,0.10793156807159,0,0,0,0.0574915915240918,0.0961572957022229,0,0,0.0435087868977706,0,0,0,0,0,0,0.127506112633969,0,0
X5.HK.EQUITY,0,-0.112803755540104,0.0378780707712624,0.273814582204262,0,0,0,-0.24141375806546,0,0,0,0,0.147733277305375,0,0,0,0,0,0,0.627639842507036,0,0,0,0,0.302393794433316,0,0,-0.0241936333568381,0,0,0,0,0.020745675011754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183096475469394,0,0,-0.0714786003925065,0,0
X601988.CH.EQUITY,0.196443314219588,0,0.0848939722313152,0.0214145150269829,0,0,0,0,0.0311565275648291,0,0.077009833197604,0,0,-0.328834735987372,0,0,0,0,0,0,0,0.509085841609046,0,0.0689986720370697,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.115697086555632,0,0,0,0,0,0,0,0,0.0300883863999522
X600036.CH.EQUITY,0,0.00768703602365234,0,0,0,0,0,0.11200694780982,0,0,0,0,0,0,0.274950032259446,0,0.176200298421532,0.00419328559144491,0,0.088072025511892,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.115652302330762,-0.00266516165365339,0,0,0,0,0,0,0,0,0.0942854697847646,0,0,0,0.129072410383367,0,0,0.0191303302867608,0
X1299.HK.EQUITY,0,0,0,0,0,-0.030692731403207,0.0391548361794001,0,0,0,0.189295528444448,0,0,0,-0.180975521653712,0,0,0,0.349269633754699,0.283279904103373,0,0,0,0.0356960347795345,0,0,0,0.0838359180278715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617123356158117,0,0,0,0,0
X601628.CH.EQUITY,0.253117167064215,0.277870848114708,0,0.0265887209937216,0,0,0,0,0,0,0.00245665525094787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592690478346173,0,0,0,0,0,0,0.0796180657459271,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0246919942951314,0,-0.186899718235604,0,0,0.231599091396311
X601658.CH.Equity,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,-0.00214202648594923,-0.0377260905094725,-0.0210044721467392,0,0,0,0,0.00130278352693114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341476908969837,0,0,0,0,0,0.00719571168634596,0,0,0.0238240240972498,0.00487339253610704,0,0
