,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0813787860878122,0.481203712029259,0,0,0,0,0,0,0.0497015883487881,0.130055292620887,0,0,0.195338141597491,-0.0193631628147616,0,0.0779207956655602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420857756125679,0,0,0,0,0,0,0,0,0,0,0,0.0398196011723926
X601318.CH.EQUITY,0,0,0,0,0,0,0.0347658443825478,0.0933178118865469,0.283179230112362,0,0,0,0,0,0,0.0588473838424328,0.337681739421577,0.0881665180311752,0,0,0,0.0655462856538685,0,0,0,0.0186999226547243,0,0,0,-0.0405584151988881,0,0,0,0.00117727478023032,0,0,0,0,0.0623919472179284,0,0,0,0.00109605483995694,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.177406914315726,0,0,0.451912027078609,0.0212124908170063,0.0942408141948551,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164321254339832,0,-0.0150016068009985,0,0,0,0.0269626737176027,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0.0324575150351645,0,0.0164435460045735,0.0147314007080283,0.0648167701080139
X601288.CH.EQUITY,0,0,0.273640468732127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176092384683945,0,0,0.0523868766605693,0,0,0.00692519068616422,0,0,0,0,0,0,0,0,0,0.013523297231303,0.278921274595332,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0740970781049444,0,0,0.196370522811688,0,0.238591477911746,0,0,0,0,0.272858311962323,0,0,0,0,0.116463250109558,0.0533427986994151,0.0109564663558561,0,-0.264721022038015,0,0,0,0.202596576113786,0,0,-0.172751454154969,0,0,0,0,0,0.135116680385648,0,0,0,0,0,0,0,0,0,0,0,0.104477855169062,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.211555060679001,0,0,0.0472286078930647,0,0.205067054336879,0,0,0,0.209745011415052,0,0,0,0,0,0,0,0,0,0,0.248454670323353,0.016992841788308,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102585704456082,0,-3.46944695195361e-18,0.266566466787032,0,0,0,-0.0171089720350576,0,0,0.0127397129493381,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0125280303832103,0,0,0,0,0,-0.034023007689177,0,0,0,0,0,0,0,0,0,0.720967041529128,-0.017523121740348,0,0.0697938507369267,0,0,0.108200689109664,0,0,0,0,0,0,0,0,0,0,0.106039092280542,0,0.0576655168753943,0,0,0,-0.0137883879311732,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.251708556150183,0,0,0,0,0,0,0,0,0.094079839536293,0,0,0,0,0,0.0431572170658399,0,0,0,0,0,0,0.0499513811604044,0,0.0833137816558049,0,0.0243925589110005,0.301020249600753,0,0,0.170822292879508,0,0,0,0,0,0,-0.0443996164646763,0,-0.0462020892011847,0,0.0800181975032888,0,0,0,0,0
X601628.CH.EQUITY,0,0.151839572531144,0,0.0399914639466444,0,0,0,0,0,0,0,0,0,0,0,0,0.0648912648724906,0,0,0,0,0,0,0,0.146327288844857,0,0,0,0,0,0,0,0,0,0,0,0,0.370628492219477,0,0,0.129700763379638,0.0606064142120996,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.236097320279381,0,0,0,0,0,0.0285315440614726,0,0,0,0,0,0.324624617645387,0,0,0,0,0,0,0,0,0,0.337837543099244,0,0,0,0,0,0,0,-0.00320738200774694,0,0,0.0240433837815553,-0.00647773914575613,0,0,0,-3.46944695195361e-18,0,0,0.0833372852193477,0,0,0,0,0.0792379303143744,0,0,0,0
