,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.281981393329656,0.0354790101684841,0,0,0,0.311577049988704,0,0,0,0.0794960616984495,0,0,0.0355594030602754,0,0,0,0,0,0,0,0,0.157615256367428,0,0,0.00927469652114033,0,0,0,0,0,0,0,0,0,0,0.120708513518023,0,0,0,0,0,0,0,0,0,0,0,-0.0274747551371726,0,0
X601318.CH.EQUITY,0,0,0.297970850475456,0,0,0,0,0,0.079008844422684,0,0,0,0.00308901332842412,0,0,0.204393322495063,0,0,0,0,0.0207648441444649,0,0,0,0,0,0,0,0,0.0818485344489024,0,0,0,0,0,0.0703782735341768,0,0,0,0,0,0.0406224287830412,0,0.0863844082049586,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.400476518642079,0.266289286250869,0,0,0,0,0,0.408963584297981,0,0,0,0,0,0,0,0,0.0278820172142817,0,0,-0.0772480817241672,0,0,0,0,0,0,0,0,-0.00536579830014206,0.0857741516653275,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160384739519593,0
X600036.CH.EQUITY,0,0.0828367919021512,0,0,0,0.117278128531381,0,8.67361737988404e-19,0,0,0,-0.0854456674949203,0.120189241273905,0,0.162081824083372,0,0,0.238488633836447,0,0,0,0,0,0,0.298898736593245,0.10788439104541,0,0,0,0.00764040895958633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13439938084539,0.0182480903343148
X601288.CH.EQUITY,0,0,0,0,0,0,0.0162366223318698,0.495890808537552,0,-0.083445462980169,0,0.0934314135323277,0,0,0,0,0,0.0211029063554005,0,0,0,0,0.0638801248017605,0.123014110167882,0,0,0,0,0,0.0881887958553745,0,0,0.0404683039718761,0,0,0,0,0,0,0,0,0,0,0,0,0.0481539963798639,0,0,0,0.0117714079005457,0,0
X1299.HK.EQUITY,0,0,-0.0476040557084731,0,0,0,0,0,0,0.110949373706873,0,0,0,0,0,0,0,0,0,0,0,0.0370266289813206,0.133435457834289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136981602474021,0,0.230535703999071,0.155711790367438,0.0795658024924317,0,0,0,0,0,0,0.239852881273969,0,0
X601628.CH.EQUITY,0.14565661381241,0,0,-0.00685057763204582,0,0,0,0,0,0,0,0,-0.0272659856137863,0,-0.195181409991506,0,0,0,0,0.142220262630145,0,0,0,0,0,0,-0.110390350905034,0,0,0,0,0,0,0,0.590560137689532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766235001721712
X601988.CH.EQUITY,0,0,0.0581701339700462,0.0217900759522953,0.47802415823201,0,0,0,0,0.0168190258850442,0,0,0.0802843693689041,0,0,0,0.209718357603157,0,0,0,0,0,0,0,0,0,0.0359889990530727,0.0136984143799448,0.061540992934647,0,0,0,0,0,0,0,0.00133945886249898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.204215112760104,0.0399589765006676,0,0,0,0,0,0,-0.0071432475652315,0,0.0140150748390923,0,0,0,0,0,0,0,-0.240776483092133,0,0,0.166366254973694,0,0,0.151872766523185,0.045338184108119,0,0,0,0,0,0.0548619838595528,0,0,0,0,0,0,0,0,0.0903532422043941,0.190460041962111,0,0,0.0316075738650315,0,0,0,0,0.0712261916742092,-0.139408063388786
X388.HK.EQUITY,0,0,0,-0.0814673362258071,0,0.229212622821541,0,0,0,0,0,-0.0435947155349325,0,0,0,-0.0562434822822481,0,0,0,0.502293593118399,0,-0.123042171308312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144797538859191,0,0,0,0,0.0795874695315344,0.0409770906681476,-0.176835892076891,0,0,0,0.165872151686848,0
