,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.211099230029751,0,0.0177686125027711,0,0,0.386783055479357,0,0,0,0.0205459432894705,0,0,0,0,0,0,0,0,0,0,0,0,0.237404307644976,0,0,0,0.02619454682971,0,0,0,0.101010784054933,0,0.0669015455579861,0,0,0,0,0,0,0,0.0300038740312433,0,0,0,0,0,-0.101459604232409,0,0,0
X601318.CH.EQUITY,0,0,0.128877551228074,0,0,0,0,0,0.168399401246951,0,0,0,0.205252070677542,0,0.09148064204417,0,0.0336483142319293,0,0.0465016368542471,0.00949859376569395,0,0.0584046415516027,0,0,0,0,0,0,0.179073839436815,0,0,0.0480055577224788,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152161250590824,0.152087682546518,0,0,0,0,0
X601939.CH.EQUITY,0.540901827941465,0.0948605577278847,0,0,0,0,0,0,0.133726705617914,0,0.130933187301376,0,0,0,0,4.33680868994202e-19,0,0.0542874629272646,0.148652666321021,0,0,0,0,0,0,0,0,0,0,0.187747995001785,0,0,0.0375111503764229,0,0,0,0,0,0.0767157623228878,0,0,-0.0863473357178047,0,0,0,0,0,0,0,0,0.0137894599700097,0
X600036.CH.EQUITY,-0.0232515001633194,0,0,0,0,0.212102052799856,0,0,0,-0.127436304481149,0,-0.0356451843762003,0.108747504847806,0,0,0.137319344633841,0,0,0.153034166305511,0,0,0,0,0,0,0.425579687000815,0,0,0,0.0434031712464474,0,0,0,0,0,0,0,0,-0.0679173012022192,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0461798364446261,0,0,0,0,0.552018313928287,0,-0.0805542194692906,0,0,0,0,0,0,0,0,0.0358750461405263,0,0,0,0,0.0881603423962377,0.104532110403034,0,0,0,0,0.112945211351713,0,0,0.0796605823052012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200916167467184,0.00121003972588426,0.0057816014466235,0.0388162826941998,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0624499364745053,0,0.127786525870547,0,0,-0.0216794706962265,0,0,0,0,0,0,0,0,0,0,0.212304368770253,0,0,0,0,0,0,0,0,0.077480402039809,0,0,0,0,0,0.0566573019247076,0,0,0.106968660039914,0,0,0.141714113087851,0,0,0,0.210343892526246,0,-0.170517930934577,0
X601628.CH.EQUITY,0.0549766188316004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0538095880311733,0.156738134799472,0,0,0.0058042878379189,0,0,-0.160205911079776,0,0,0,0,0,0,0,0,-0.0353819433698664,0,0,0,-0.0206631931576532,0,0.474151861600291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0313993776079561,0,0,0,0.478966553656008,0,0,0,0,0,0,0.0425448401710361,-0.0479806336408379,0,0,0,0,0.229563986305625,0,0,0,0,0,0,0.0105561491495916,0,0,0,0,0,0,0,-0.104281796282928,0,0,0,0,0,0,0,0,0.116606869095793,0,0.146237536521316,0,-0.0411437494427194,0,0,0,0,0,-0.0675748677872098
X5.HK.EQUITY,0,0.145554696514912,0.00272050558212256,0,0,0,0,0,0,-0.182733539831533,0.0651654363073737,0.089016491482422,0,0,0,0,0,0,0,0,0,0,0,0.222890640127784,0,0,0.152545042550707,0.0378944672069765,0,0,0.000293242203475674,0,0.13281764634901,0,0,0,0,0,0.254805334374674,0,0,0,0,0,0.21833566937806,0,0,0.0171017492236266,0,0,0,-0.0468355975171623
X388.HK.EQUITY,0,0,0,-0.0696050798490404,0,0,-0.110828823901155,0,-0.210756292014871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835409067967059,0,0,0,0,0,0,0,-0.179208313548282,0,0,0,0,0.216764227296012,0,0,0,0,0.199327352020619,0.21991876143463,0,0,0,0,0.114799392175433,0,0.118891608386323,0
X601166.CH.EQUITY,0,0,0.0287384827062098,0,0,0,0,0,0,-0.113229161151372,0,0,0.40963196601099,0,0,0,0,0,0,0,-0.0293633063499861,0,0,0,0,0,0,0,-0.0696111325549219,0.238711362415356,0.0616278936295539,0.0846880360541685,0.0339517861138009,0,0,0,0,0.0909221293735333,-0.107004510995047,0,0,0,0,0,0,0,0,0.0817854497952538,0,0,8.67361737988404e-19,0
X601658.CH.Equity,0,0,0,0,0.0297205423199386,-0.0902490318919799,0.0651749246756961,0.485503244273065,0,-0.0142825385650509,0,0,0,0,0.148607418929444,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.404624271084792,0.0872879364284068,0,0,-0.11427101628078,0,0.0720142211966594,0,0,0,0,0,0,0.151274002301303,0,0,0,0.125910882327172,0,0,0,0,0.0558568641827406,-0.0396651026146112
X000001.CH.EQUITY,0,0,0,0.303483545711689,0,0,0,0,0,0,0.44410472690352,0,0,0,0.117062002768638,0,0.171693004144658,0,0,0,0,0,0.118906378566175,0,0,0,0,-0.0536270461192471,0,0,-0.0903802318343907,-0.0349858359446519,-0.108627420002476,0,0,0,0,0,0,0,-0.0209024491018266,0,0,0,0,0,0,0,0,0,0,0.227042703312766
