,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.300114169523222,0,0.397749654364736,0,0,0,0,0,0,0.0897881146383206,0,0,0,0,0,0,0,0,0,0.0459725770509681,0,-0.0538165973339126,0,0,0,0,0,0,0,0.0258398196511835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209396830862495,0.0550964219228772,0,0.105773127995617,0
X601939.CH.EQUITY,0.37353457993692,0,0,0.243208751383714,0,0,-0.0878046777105717,0,0,0,0.0244851054394312,0,0.173822768621107,-0.0644276273172504,0,0,0,0,0,0,0,0,0,0,0,0.00303804943838189,0,0,0,0,0,0,0,0,0,0,0,-0.0127290251100371,0,0,0,0,0,0,0,0,0.213087940199327,0,0,0,-0.0239112063923406,0
X601318.CH.EQUITY,0.0238766222102825,0,0,0,0,0,0,0,0,0,0.257268719686473,0,0,0,0,0,0,0,0,0,0.178937085270962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192879330794717,0,0,0,0,0,0,0,0.0601294247612293,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.313455986216497,0.138094917849104,0,0,0.131901043436178,0,0,0,0,0,0,0,0.0122924845284405,0,0,0,0,0,0,0,0.160698558068863,0,0,0,0,0,0,0,0,0,0,0,0.0367874659549428,0,0.0172126735432881,0,0,0,0,0,0.10004598815018,0,0.0734522598299745,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0738594848260833,0,0.438396151321386,0,0,0,0,0,0.27105677846763,0,0,0,0,0.10007961314477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147032001382344,0,0,0,0,0,0,0,0,0,0,0,0.0177184905001855
X600036.CH.EQUITY,0,0,0.0350771605655424,0,0,0,0,0,0,0,0,0.371415305698398,0,0,0,0,0,0,0,0,0,0,0.0355281764039263,0.124142617726221,0.0245496253593315,0,0,0,0,0,0,0,0.0130979410662018,0.0876378042043958,0,0,0,0,0,0.0546181736472303,0,0,0,0,0,0,0,0,0.279390810034743,0,0,0
X1299.HK.EQUITY,0,0,0,-1.73472347597681e-18,0,0.0849349950731535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554127806753652,0.245365774449435,0,0,0.1301425308708,0,0,0,0.134495192233271,0,0,0,0,0,0,0,0,0,0,0,0.146787276556119,0.0446216847168542,0,0,0
X5.HK.EQUITY,0,-0.151898187854072,0,-0.144945405621891,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,1.2052013296248,0,-0.759018769250474,0,0.478248182821231,-0.039730140676307,0,0,0,0,0,0,0,0,0,0,0,0,0.447620056578811,0,0,0,0,0,0,0,0,0,0.106171713837373,0
X601628.CH.EQUITY,0,0.0315182337845361,0,0,0,0,0,0,0,0,0,0.182490733773818,0,0,0,0,0,0.128957463382434,0,0,0,0,0,0,0,0,0,0,0.172863440258386,0,0,0,0.0680766799188749,0,0,0,0,0,0,0,0,0,0.192569564619112,0,0,0,0.038526258490441,0,0,0,0.0660094994921408,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894302391397863,0.27494942407295,0.0710189498962459,0,0,0.332369906455096,0,0,0,0,0,0,0,0.080387232696051,0,0,0,0,0.132876642414502,0,0,0,0,0,0,0,0,0,0,0
