,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.0558633265537525,0,0.44128690612208,0,0.0814466010137658,0,0,0,0,0,0,0,0,0,0,0,0.125616933251631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391476158451397,0.0305920530100015,0,0,0,0,0.0383603693478171,0,0,0.00898618307715906,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.016003859436751,0,0,0,-0.0146849596175125,0,0,0,0.186658329699704,0,0,0,0,0,0.48971767525335,0,0,0,0,0,-0.0516591830517092,0,0.118303245667513,0,0,0,0,0,0,0.0652560027356997,0,0,0.0771779999464769,0,0,0,0,0,0,0,0,0,0.010891593156494,-6.93889390390723e-18,0.000832170110100987,0,0.144175710171134
X601939.CH.EQUITY,0,0,0,0,0.144108945619749,0,0.32570173405809,0,0,0,0.072559507346257,0,-0.146736008831204,0,0.0124070687818228,0,0,0,0,0,0.0836804225960534,0,0.535314457135932,0,6.93889390390723e-18,0,0,-0.0339794186801451,0,0,0,0,0,0,0,0,0,-0.0378344955301347,0,-0.0194214248322677,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.147394690241337,0,0,0,0,0,0,0,0.268119244535689,0,0,0,0,0,0.0503950745227783,0,0,0,-0.200814230384658,0,0.00836047689362867,0.0596706740555874,0,0.386485470677708,0,0.269121397930677,0,0,0,0,0,0,0,0,0,0,0,0.117164209164097,0,0,0,-0.0300318957386602,0.0332669994165896
X601288.CH.EQUITY,0.0825229328217317,0,-2.16840434497101e-19,0,0,0,0,-0.0116096020154815,0,0.0133916339608865,0,0,0,0.0410489577973309,0,0.451380159649133,0,0,0,0,0,0,0.315973767254025,0,0,0,0,0,0.000647785539517228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260502283837512,0,0,-0.0155336927904933,0,-0.0605832803307105
X600036.CH.EQUITY,0.191333671382844,0.0654738513945138,0,0.0588388084926485,0,0,0,0,0,0,0,0,0,0.30306883567422,0,0,0,0,0.0256086488677537,0,0,0,0,0,0.271193243288123,0,0,0,0,0.0451063784396851,0,0,0,0,0,0,0,0,0,0,0,0.0255529953693921,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.032888054817803,0,0,0,0.262514070990815,0.257089130926836,0,0,0,0,0,0,0,0,0,0.0417756201551869,0,0,0,0,0.0709517004477602,0,0,0,0.286971708539995,-0.0262646430098874,0,0,0,0,0.102401836355218,-6.93889390390723e-18,-0.101860781066329,0,0,0,0.0188195345194009,0,0,0,0,0,0.106860874682788,-0.0734787885416666,0,0,0,0,0,0,-0.0331439782682464,-0.0944149976309962
X1299.HK.EQUITY,0,0,-0.157926344511874,0,-0.0643047581927524,0,0,0,0,0.249442929793769,0,0,0,0,0,0,0.0260134343559396,0,0,0,-0.106663976041664,0,0,0,0.0470496265690426,0.177154720488908,0.449824404101593,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0429174285258634,0,-0.0500701316421572,0.0285181187760201,0.127846181338327,0,0,0,0.210812040925778,1.38777878078145e-17,0,-0.0448621173607393
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.000909573724000814,0,-0.186349215397124,0,0,0,0,0,-0.130492201461239,0,0,0,0.148820169837599,0,0,0,0,0.09802795022424,0.439839143688357,0,0,0,0.0539011252387473,0,0,0,0,0,0,0,0,0,0,0.0252040596958594,0.179463938903634,0.184815906878574,0,0,0,0,0.122831667570732,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11255126681649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124195108722988,0,0,0.326542253352091,0.176532617117231,0,0,0,0,0.0713889278197638,0.154207568601014,0,0,-0.246964389238144,-0.159691175613186,0,0.0336912018471611,0,0.307267455345616,0,0,0,0.00782920580729962,4.33680868994202e-19
