,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X823.HK.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.00538885294330083,0,0.231900091360477,0,0,0,0,0,-0.216382021565538,0,0,0,0,0,0,0,0,0,0,0,0.470064948487721,0.47502405074811,0,0,0.104619091960709,0,0,0,0,0,-0.0825233208714319,0,0,-0.180865849034196,0,0,0,-0.618052769859865,0,0,-0.0944250651616383,0.0352223665380966,0.0321861924304977,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0723735130467093,0,0,0.211987625279571,0.0208800542904268,0,0,0,0,0,0,0.100698630980799,0.211557855577918,0,0,0,0,0,0,0,0,0,0,0.0422479295061462,0,0,0,-0.0245311738517627,0,0,0,0,0,0,0,0,-0.01336652590759,0,0,0,0,0,0,0,0,0,0.022320595160343,0,0.371804765965262,0,0,0.09873532602146
X601318.CH.EQUITY,0,0,0,0,0.0243562361848062,0.263515410908052,0.138410551894354,0,0,0,0,0,0,0,0,0,0,0,0,0.223195202833636,0,0.153491329435086,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.27914158716032,0,0,0.340720515493538,0,0,0.0555825227676743,0,0,0.0254873585144794,0,0.141708323897899,0,-8.67361737988404e-19,-0.0276842747553591,0,0,0.0505647637986471,0,0.10939861027679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0706925006864477,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.225898505370802,0,0,0,0,0,0.556909133514737,0,0.151936614526318,0,0,0,0,0.083322219909278,0.01186692430413,0,0,0,0,0,0.195568979547585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24131484006794,0,0,0,0,0,0,0,0,0,0,0.0963449126821791
X600036.CH.EQUITY,0,0.0870717123335153,0,0,0,0,0.0349540969233103,0.0623215737081082,0,0,0,0.114600178984456,0,0,0,0,0,0,0,0.126739914967822,0,0,0,0,0.0166544139359678,0,0.00162359211325531,0,0,0,0,0,0,0.387396975445368,0,0,0,0,0,0,0,0,0,0,0,0.0727731781254907,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.287049068572072,0,0.042519322720924,0,0,-0.0888815773602228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241483130497149,0,0,0,0,0,0,0,0,0,0,0.107337906246415,0.200576021963508,0.0793839254054673,0,0,0,0,0,0,0.0312924660748868,0,0,0,0,0,0.0123350166822798
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841442754824605,6.93889390390723e-18,-0.0601510945287585,0.0330444776571678,0,0,0,0,0,0.208892395456933,0,0,0,0,0,0.127656714287559,0.105351143105138,0,0,0,0,0.176727530727309,0.0424415673464825,0,0.359626204868534,0,0,0,0,0.161054588728919,0.0524257121965481
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048197341743369,0,-0.0656634971183428,0,0,-0.543717310706235,0.804298478621115,0,0,0.132064684727851,0.63717393110106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.181380924236376,0,0
X601658.CH.Equity,0,0,0,0.0410483350896579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294572530899142,0.0540562608990703,0,0,0,-0.00683528852365625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217610264610587,0,0,-0.0123315743477483,0,0,0,0,0,0
