,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.481527604268855,0.125292392395488,0.0324592980170406,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0755344089936022,0,0,0,0,0,0,0,0,0,0.0651839778780269,0,0,0,0,0,0,0,0,0.131796854547188,0,0,0,0,0.014436589519723,0,-6.93889390390723e-18,0,0,0.0921848742508606,0,0.0960642729848644,0.139943863877349,-0.201961860566458,0.0648539078109825
X601318.CH.EQUITY,0,0,0.02296255734102,0.166047560018148,0,0,0,0,0.126496837288474,0,0,0.0424403229808624,0,0,0,0,0.00893556625362315,0.171537606783904,0,0,0.172656822532054,0.131108066128503,0,0,0,0,0,0,0.0669233297187837,0,0.0770227462432743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117851704022966
X601939.CH.EQUITY,0,0,0,0,0.283277183692788,0,0,0,0,-0.0716501300726265,0,0.109567273644216,0,0,0.0848428163814317,0,0,0,0.012038817731467,0.0323448045019345,-0.0525513640065467,0,0,0,0.404980891951189,-0.0526450876987974,0.222031795187226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,1.73472347597681e-18,0.158863002927517,0,0,0,0,0.0329174596918219,0.139626696273118,0,0,0,0,0.163341506710836,0,0.0128623687819948,0,0,0,0,0,0,0,0,0.238916924133837,0,0,0,0.0449899139125805,0,0.0594063727935989,0,0,0,0,0,0,0,0,0,0,0.0458588865778049,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0741184551046199,0,0.12851561108664,0,0,0.146644432906602,0,0.416551873930957,0,0,0,0.0341720504107277,0,0,0,0,0.0447278506341106,0,0,0,0,0,0,0,0,0,0,0,0.0714554227719162,0,0,0,0,0,-0.0332192554496169,0,0,0,0,0,0,0.0308908815896957,0,0,0,0.0884350506798131,0,0,0,0,0.115097558809533,-0.110468684697544
X601628.CH.EQUITY,0.100317610653587,0,0,-0.0351466473297628,0.0559399444611452,0,0,0,0,0.131723545443152,0,0,0,0,-0.0952189941377415,0,0,0,0.0598794223946541,-0.0457245291448082,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.634259374767367,0,0,0,0,0,0,0,0,0,0,0.129364302068709,0,0,0.147855934730418
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.154999104362482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114225492477666,0,0,-0.176887795827668,0,0,0,0.03550388561286,0,0,0,0,0,0.0896454364447856,0,0.210502539517335,0.110455833263167,0.033455609340069,0.139026836602688,0.0557716651380284,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.00998528888155464,0.0885814192421494,0.0926797362101681,0.153538613524013,0,0,0,0,0,0,0,0,0,0,0,0,0.277926551644846,0,0,0,0,0,0.194767342853196,0.0361000803578133,0.322238374243126,0,-0.0204216947417996,0,0,0.174654851894211,-0.113380847162522,0,0,0,0,0,0,0,0.093662027949928,0,0,0,0,0,0.034260195581835,0,0,0,-3.46944695195361e-18,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0353613392254484,0,0.222289790921362,0,0.0945970950596418,-0.0613155608199779,0,0,0,0,0,0,0,0,0,0.14323577220497,0,0.120832875547111,0,0,0.267040004412452,0,0,0,0.0597494403152809,-0.0650252736442476,0,0,0,0,0,0,0,0.323106478611225,-0.107670780500017,0,0,0,0.111497474317361,0,0,0,0,0.074283715850703,0,0,0
X388.HK.EQUITY,0,0,-0.0172204872984006,-0.148136647248149,0,-0.158055985611642,0.161359008509807,0,0,0,0,0,0,0.462547822635943,0,0,0,0,0,-0.0872625761296167,0,0.219844171216602,0,0,0,0.150414781535424,0,0,0,0,0,0.118703703428508,-0.0148687733336727,0,0,0,0,0,0,0.00762508789356646,0,0,0,0,0.00146777199294883,0,-0.0593116164716423,0,-0.0377781326384675,0,0.158164990428013,0
